window,model,mask,n_actual,actual_freq,mean_pred_prob,abs_diff
A_TB1_to_TB2,L_LEGACY_4_HEADS,1,3228,0.25038783741855414,0.1379515153274404,0.11243632209111373
A_TB1_to_TB2,L_LEGACY_4_HEADS,2,3066,0.23782190505739995,0.1342802316500568,0.10354167340734313
A_TB1_to_TB2,L_LEGACY_4_HEADS,3,1,7.756748371082842e-05,0.03757447223933708,0.037496904755626254
A_TB1_to_TB2,L_LEGACY_4_HEADS,4,1337,0.1037077257213776,0.12392357306102614,0.02021584733964854
A_TB1_to_TB2,L_LEGACY_4_HEADS,5,11,0.0008532423208191126,0.054040366185553974,0.05318712386473486
A_TB1_to_TB2,L_LEGACY_4_HEADS,6,507,0.03932671424139001,0.06324577762047763,0.02391906337908762
A_TB1_to_TB2,L_LEGACY_4_HEADS,7,2,0.00015513496742165683,0.012219101043846168,0.012063966076424511
A_TB1_to_TB2,L_LEGACY_4_HEADS,8,1334,0.10347502327024512,0.1222637141507169,0.01878869088047179
A_TB1_to_TB2,L_LEGACY_4_HEADS,9,559,0.04336022339435309,0.0687953365275309,0.025435113133177818
A_TB1_to_TB2,L_LEGACY_4_HEADS,10,11,0.0008532423208191126,0.050270660322180756,0.049417418001361645
A_TB1_to_TB2,L_LEGACY_4_HEADS,11,0,0.0,0.012244084337549761,0.012244084337549761
A_TB1_to_TB2,L_LEGACY_4_HEADS,12,2727,0.2115265280794291,0.10796310224023155,0.10356342583919755
A_TB1_to_TB2,L_LEGACY_4_HEADS,13,48,0.003723239218119764,0.036339645374423954,0.03261640615630419
A_TB1_to_TB2,L_LEGACY_4_HEADS,14,61,0.0047316165063605335,0.03382134129246443,0.029089724786103898
A_TB1_to_TB2,L_LEGACY_4_HEADS,15,0,0.0,0.005067078627163522,0.005067078627163522
A_TB1_to_TB2,A_COND_INDEPENDENT_CRF,1,3228,0.25038783741855414,0.18238020648761372,0.06800763093094042
A_TB1_to_TB2,A_COND_INDEPENDENT_CRF,2,3066,0.23782190505739995,0.17610135603478766,0.06172054902261229
A_TB1_to_TB2,A_COND_INDEPENDENT_CRF,3,1,7.756748371082842e-05,0.018508953178149306,0.018431385694438477
A_TB1_to_TB2,A_COND_INDEPENDENT_CRF,4,1337,0.1037077257213776,0.17957868829501134,0.07587096257363374
A_TB1_to_TB2,A_COND_INDEPENDENT_CRF,5,11,0.0008532423208191126,0.03436187820490968,0.03350863588409057
A_TB1_to_TB2,A_COND_INDEPENDENT_CRF,6,507,0.03932671424139001,0.03951260517657271,0.00018589093518269623
A_TB1_to_TB2,A_COND_INDEPENDENT_CRF,7,2,0.00015513496742165683,0.0032816751814107705,0.0031265402139891135
A_TB1_to_TB2,A_COND_INDEPENDENT_CRF,8,1334,0.10347502327024512,0.178449534410066,0.07497451113982088
A_TB1_to_TB2,A_COND_INDEPENDENT_CRF,9,559,0.04336022339435309,0.04327318212636008,8.704126799300577e-05
A_TB1_to_TB2,A_COND_INDEPENDENT_CRF,10,11,0.0008532423208191126,0.032080996431710265,0.031227754110891154
A_TB1_to_TB2,A_COND_INDEPENDENT_CRF,11,0,0.0,0.003309803032230598,0.003309803032230598
A_TB1_to_TB2,A_COND_INDEPENDENT_CRF,12,2727,0.2115265280794291,0.08057878444412088,0.1309477436353082
A_TB1_to_TB2,A_COND_INDEPENDENT_CRF,13,48,0.003723239218119764,0.014134687640497334,0.01041144842237757
A_TB1_to_TB2,A_COND_INDEPENDENT_CRF,14,61,0.0047316165063605335,0.013529148123225311,0.008797531616864779
A_TB1_to_TB2,A_COND_INDEPENDENT_CRF,15,0,0.0,0.0009185012333343527,0.0009185012333343527
A_TB1_to_TB2,B_MULTINOMIAL_15_MASK,1,3228,0.25038783741855414,0.25139428486782556,0.0010064474492714193
A_TB1_to_TB2,B_MULTINOMIAL_15_MASK,2,3066,0.23782190505739995,0.24098649385798895,0.0031645888005890077
A_TB1_to_TB2,B_MULTINOMIAL_15_MASK,3,1,7.756748371082842e-05,0.00023718792454465468,0.00015962044083382628
A_TB1_to_TB2,B_MULTINOMIAL_15_MASK,4,1337,0.1037077257213776,0.10287054464112551,0.000837181080252089
A_TB1_to_TB2,B_MULTINOMIAL_15_MASK,5,11,0.0008532423208191126,0.0007589659811939336,9.427633962517902e-05
A_TB1_to_TB2,B_MULTINOMIAL_15_MASK,6,507,0.03932671424139001,0.039550579108001756,0.00022386486661174487
A_TB1_to_TB2,B_MULTINOMIAL_15_MASK,7,2,0.00015513496742165683,0.00017684979032352228,2.1714822901865453e-05
A_TB1_to_TB2,B_MULTINOMIAL_15_MASK,8,1334,0.10347502327024512,0.09978936080439121,0.0036856624658539033
A_TB1_to_TB2,B_MULTINOMIAL_15_MASK,9,559,0.04336022339435309,0.04195602218046713,0.0014042012138859583
A_TB1_to_TB2,B_MULTINOMIAL_15_MASK,10,11,0.0008532423208191126,0.0010035527407252242,0.00015031041990611158
A_TB1_to_TB2,B_MULTINOMIAL_15_MASK,11,0,0.0,0.00018676964914848007,0.00018676964914848007
A_TB1_to_TB2,B_MULTINOMIAL_15_MASK,12,2727,0.2115265280794291,0.2103423212099564,0.0011842068694726815
A_TB1_to_TB2,B_MULTINOMIAL_15_MASK,13,48,0.003723239218119764,0.005171465176697262,0.0014482259585774978
A_TB1_to_TB2,B_MULTINOMIAL_15_MASK,14,61,0.0047316165063605335,0.00548106370283318,0.0007494471964726466
A_TB1_to_TB2,B_MULTINOMIAL_15_MASK,15,0,0.0,9.453836477719193e-05,9.453836477719193e-05
A_TB1_to_TB2,C_PAIRWISE_CRF,1,3228,0.25038783741855414,0.2491763497454494,0.0012114876731047497
A_TB1_to_TB2,C_PAIRWISE_CRF,2,3066,0.23782190505739995,0.23979398209820307,0.0019720770408031274
A_TB1_to_TB2,C_PAIRWISE_CRF,3,1,7.756748371082842e-05,0.0008974978079276871,0.0008199303242168587
A_TB1_to_TB2,C_PAIRWISE_CRF,4,1337,0.1037077257213776,0.10442742095205373,0.0007196952306761373
A_TB1_to_TB2,C_PAIRWISE_CRF,5,11,0.0008532423208191126,0.0009577434545409543,0.00010450113372184166
A_TB1_to_TB2,C_PAIRWISE_CRF,6,507,0.03932671424139001,0.039987799256774745,0.0006610850153847339
A_TB1_to_TB2,C_PAIRWISE_CRF,7,2,0.00015513496742165683,9.710656826905767e-06,0.00014542431059475107
A_TB1_to_TB2,C_PAIRWISE_CRF,8,1334,0.10347502327024512,0.10137825756624952,0.0020967657039955984
A_TB1_to_TB2,C_PAIRWISE_CRF,9,559,0.04336022339435309,0.043056818243350094,0.0003034051510029945
A_TB1_to_TB2,C_PAIRWISE_CRF,10,11,0.0008532423208191126,0.0010152803169805825,0.0001620379961614699
A_TB1_to_TB2,C_PAIRWISE_CRF,11,0,0.0,1.114771066265384e-05,1.114771066265384e-05
A_TB1_to_TB2,C_PAIRWISE_CRF,12,2727,0.2115265280794291,0.2075351738828451,0.003991354196584002
A_TB1_to_TB2,C_PAIRWISE_CRF,13,48,0.003723239218119764,0.005788681354927557,0.002065442136807793
A_TB1_to_TB2,C_PAIRWISE_CRF,14,61,0.0047316165063605335,0.0059599397579307885,0.001228323251570255
A_TB1_to_TB2,C_PAIRWISE_CRF,15,0,0.0,4.197195277226626e-06,4.197195277226626e-06
B_TB1TB2_to_TB3,L_LEGACY_4_HEADS,1,3155,0.25201693425992494,0.1404571203967791,0.11155981386314584
B_TB1TB2_to_TB3,L_LEGACY_4_HEADS,2,2938,0.23468328141225336,0.12728180753941834,0.10740147387283502
B_TB1TB2_to_TB3,L_LEGACY_4_HEADS,3,3,0.00023963575365444525,0.0353424587025944,0.03510282294893995
B_TB1TB2_to_TB3,L_LEGACY_4_HEADS,4,1252,0.10000798785845515,0.12778995485813538,0.027781966999680233
B_TB1TB2_to_TB3,L_LEGACY_4_HEADS,5,9,0.0007189072609633358,0.0551722512094237,0.05445334394846036
B_TB1TB2_to_TB3,L_LEGACY_4_HEADS,6,460,0.036744148893681605,0.06413290573824507,0.02738875684456346
B_TB1TB2_to_TB3,L_LEGACY_4_HEADS,7,1,7.987858455148175e-05,0.011898533839000483,0.011818655254449001
B_TB1TB2_to_TB3,L_LEGACY_4_HEADS,8,1348,0.1076763319753974,0.1250143547682354,0.017338022792837984
B_TB1TB2_to_TB3,L_LEGACY_4_HEADS,9,584,0.04664909337806534,0.06992093546347149,0.02327184208540615
B_TB1TB2_to_TB3,L_LEGACY_4_HEADS,10,15,0.0011981787682722263,0.05033260893202918,0.04913443016375695
B_TB1TB2_to_TB3,L_LEGACY_4_HEADS,11,4,0.000319514338205927,0.011930659001383414,0.011611144663177487
B_TB1TB2_to_TB3,L_LEGACY_4_HEADS,12,2647,0.2114386133077722,0.10531119676670703,0.10612741654106517
B_TB1TB2_to_TB3,L_LEGACY_4_HEADS,13,50,0.003993929227574087,0.03537767635111644,0.03138374712354235
B_TB1TB2_to_TB3,L_LEGACY_4_HEADS,14,53,0.004233564981228533,0.03507082351454246,0.030837258533313927
B_TB1TB2_to_TB3,L_LEGACY_4_HEADS,15,0,0.0,0.00496671291891815,0.00496671291891815
B_TB1TB2_to_TB3,A_COND_INDEPENDENT_CRF,1,3155,0.25201693425992494,0.18479328217777147,0.06722365208215347
B_TB1TB2_to_TB3,A_COND_INDEPENDENT_CRF,2,2938,0.23468328141225336,0.16877388666630339,0.06590939474594998
B_TB1TB2_to_TB3,A_COND_INDEPENDENT_CRF,3,3,0.00023963575365444525,0.017530605591347333,0.017290969837692887
B_TB1TB2_to_TB3,A_COND_INDEPENDENT_CRF,4,1252,0.10000798785845515,0.1845637458566013,0.08455575799814614
B_TB1TB2_to_TB3,A_COND_INDEPENDENT_CRF,5,9,0.0007189072609633358,0.03458859245104239,0.03386968519007905
B_TB1TB2_to_TB3,A_COND_INDEPENDENT_CRF,6,460,0.036744148893681605,0.040556451419292476,0.003812302525610871
B_TB1TB2_to_TB3,A_COND_INDEPENDENT_CRF,7,1,7.987858455148175e-05,0.0031390213196079357,0.003059142735056454
B_TB1TB2_to_TB3,A_COND_INDEPENDENT_CRF,8,1348,0.1076763319753974,0.18259154764578434,0.07491521567038693
B_TB1TB2_to_TB3,A_COND_INDEPENDENT_CRF,9,584,0.04664909337806534,0.04314073084605139,0.0035083625320139478
B_TB1TB2_to_TB3,A_COND_INDEPENDENT_CRF,10,15,0.0011981787682722263,0.03229016714002603,0.031091988371753802
B_TB1TB2_to_TB3,A_COND_INDEPENDENT_CRF,11,4,0.000319514338205927,0.003127601559486914,0.002808087221280987
B_TB1TB2_to_TB3,A_COND_INDEPENDENT_CRF,12,2647,0.2114386133077722,0.07722303537454034,0.13421557793323186
B_TB1TB2_to_TB3,A_COND_INDEPENDENT_CRF,13,50,0.003993929227574087,0.012960609780524313,0.008966680552950225
B_TB1TB2_to_TB3,A_COND_INDEPENDENT_CRF,14,53,0.004233564981228533,0.01388639250288208,0.009652827521653548
B_TB1TB2_to_TB3,A_COND_INDEPENDENT_CRF,15,0,0.0,0.0008343296687384018,0.0008343296687384018
B_TB1TB2_to_TB3,B_MULTINOMIAL_15_MASK,1,3155,0.25201693425992494,0.2523644337373899,0.00034749947746498533
B_TB1TB2_to_TB3,B_MULTINOMIAL_15_MASK,2,2938,0.23468328141225336,0.23344855338620094,0.0012347280260524285
B_TB1TB2_to_TB3,B_MULTINOMIAL_15_MASK,3,3,0.00023963575365444525,0.00018352851190412295,5.61072417503223e-05
B_TB1TB2_to_TB3,B_MULTINOMIAL_15_MASK,4,1252,0.10000798785845515,0.10538236972920721,0.005374381870752065
B_TB1TB2_to_TB3,B_MULTINOMIAL_15_MASK,5,9,0.0007189072609633358,0.000828178611520514,0.00010927135055717821
B_TB1TB2_to_TB3,B_MULTINOMIAL_15_MASK,6,460,0.036744148893681605,0.040338564511538964,0.003594415617857359
B_TB1TB2_to_TB3,B_MULTINOMIAL_15_MASK,7,1,7.987858455148175e-05,0.00018266076231875713,0.00010278217776727538
B_TB1TB2_to_TB3,B_MULTINOMIAL_15_MASK,8,1348,0.1076763319753974,0.10219478068022447,0.005481551295172929
B_TB1TB2_to_TB3,B_MULTINOMIAL_15_MASK,9,584,0.04664909337806534,0.0420668868377119,0.004582206540353441
B_TB1TB2_to_TB3,B_MULTINOMIAL_15_MASK,10,15,0.0011981787682722263,0.0009131676350584119,0.0002850111332138144
B_TB1TB2_to_TB3,B_MULTINOMIAL_15_MASK,11,4,0.000319514338205927,9.575963206321735e-05,0.00022375470614270963
B_TB1TB2_to_TB3,B_MULTINOMIAL_15_MASK,12,2647,0.2114386133077722,0.2123782076086742,0.0009395943009020136
B_TB1TB2_to_TB3,B_MULTINOMIAL_15_MASK,13,50,0.003993929227574087,0.004505630746140473,0.0005117015185663858
B_TB1TB2_to_TB3,B_MULTINOMIAL_15_MASK,14,53,0.004233564981228533,0.005069755738527641,0.0008361907572991085
B_TB1TB2_to_TB3,B_MULTINOMIAL_15_MASK,15,0,0.0,4.752187151926268e-05,4.752187151926268e-05
B_TB1TB2_to_TB3,C_PAIRWISE_CRF,1,3155,0.25201693425992494,0.25169288529309003,0.00032404896683491113
B_TB1TB2_to_TB3,C_PAIRWISE_CRF,2,2938,0.23468328141225336,0.23431792647477334,0.00036535493748002246
B_TB1TB2_to_TB3,C_PAIRWISE_CRF,3,3,0.00023963575365444525,0.0005553819595668656,0.00031574620591242036
B_TB1TB2_to_TB3,C_PAIRWISE_CRF,4,1252,0.10000798785845515,0.10642679109070603,0.006418803232250886
B_TB1TB2_to_TB3,C_PAIRWISE_CRF,5,9,0.0007189072609633358,0.0008598903945670792,0.00014098313360374343
B_TB1TB2_to_TB3,C_PAIRWISE_CRF,6,460,0.036744148893681605,0.03972961728942261,0.0029854683957410075
B_TB1TB2_to_TB3,C_PAIRWISE_CRF,7,1,7.987858455148175e-05,4.999449515220484e-06,7.487913503626127e-05
B_TB1TB2_to_TB3,C_PAIRWISE_CRF,8,1348,0.1076763319753974,0.10231291805798494,0.005363413917412463
B_TB1TB2_to_TB3,C_PAIRWISE_CRF,9,584,0.04664909337806534,0.04249838222820655,0.0041507111498587865
B_TB1TB2_to_TB3,C_PAIRWISE_CRF,10,15,0.0011981787682722263,0.0009372004783121553,0.00026097828996007096
B_TB1TB2_to_TB3,C_PAIRWISE_CRF,11,4,0.000319514338205927,5.9963062931986745e-06,0.0003135180319127283
B_TB1TB2_to_TB3,C_PAIRWISE_CRF,12,2647,0.2114386133077722,0.21056896485322907,0.000869648454543126
B_TB1TB2_to_TB3,C_PAIRWISE_CRF,13,50,0.003993929227574087,0.004791622159314816,0.0007976929317407289
B_TB1TB2_to_TB3,C_PAIRWISE_CRF,14,53,0.004233564981228533,0.005295646814325975,0.001062081833097442
B_TB1TB2_to_TB3,C_PAIRWISE_CRF,15,0,0.0,1.7771506921782921e-06,1.7771506921782921e-06
