metric,count,rate
NONE,94498,0.39454720053442444
UPPER_ONLY,37357,0.15597261074694166
LOWER_ONLY,37723,0.15750073065842762
BOTH,69932,0.29197945806020625
first_UPPER_INWARD,104556,0.4365412717631832
first_LOWER_INWARD,104850,0.4377687779215899
first_UPPER_NON_INWARD,2733,0.011410797043964761
first_LOWER_NON_INWARD,2805,0.011711410797043964
any_UPPER_INWARD,124969,0.5217694459521524
any_LOWER_INWARD,124982,0.5218237234353472
