window,comparison,delta_sample_mean,ci_lo,ci_hi,verdict
A_TB1_to_TB2,K1-K0,-1.6403325667095778,-1.6603521957864047,-1.6203843893030048,CI_below_zero
B_TB1TB2_to_TB3,K1-K0,-1.6432254873774568,-1.6642894750278598,-1.6233646773736932,CI_below_zero
