window,comparison,delta_sample_mean,ci_lo,ci_hi,n_episodes,estimand,cluster,resampling,verdict
A_TB1_to_TB2,T0-TP,-0.003194947975968728,-0.004815117148741923,-0.0015565240459047291,12999,EPISODE_WEIGHTED_MEAN,TRADING_DAY,WITH_REPLACEMENT_MULTIPLICITY_PRESERVED,CI_below_zero
A_TB1_to_TB2,T1-T0,-0.024066343497918436,-0.02924110349020132,-0.019177616804524022,12999,EPISODE_WEIGHTED_MEAN,TRADING_DAY,WITH_REPLACEMENT_MULTIPLICITY_PRESERVED,CI_below_zero
A_TB1_to_TB2,T2-T1,-0.0018554865595780574,-0.0037064434388090406,-0.0001849906770829345,12999,EPISODE_WEIGHTED_MEAN,TRADING_DAY,WITH_REPLACEMENT_MULTIPLICITY_PRESERVED,CI_below_zero
B_TB1TB2_to_TB3,T0-TP,-0.004238230285404103,-0.0059119703592648955,-0.0026653312478173877,12741,EPISODE_WEIGHTED_MEAN,TRADING_DAY,WITH_REPLACEMENT_MULTIPLICITY_PRESERVED,CI_below_zero
B_TB1TB2_to_TB3,T1-T0,0.002497271616041827,-0.003025354037343287,0.007562341769916965,12741,EPISODE_WEIGHTED_MEAN,TRADING_DAY,WITH_REPLACEMENT_MULTIPLICITY_PRESERVED,CI_contains_zero
B_TB1TB2_to_TB3,T2-T1,-0.0032950065504510503,-0.005066122360239201,-0.0015622911901930253,12741,EPISODE_WEIGHTED_MEAN,TRADING_DAY,WITH_REPLACEMENT_MULTIPLICITY_PRESERVED,CI_below_zero
