window,symbol,n,joint_nll_C,joint_nll_A,joint_nll_L,delta_C_minus_A,delta_C_minus_L
A_TB1_to_TB2,AG,888,1.559039761364465,1.8464134746396175,1.996352202052939,-0.28737371327515243,-0.43731244068847397
A_TB1_to_TB2,AL,797,1.6206561019457546,1.8304961459208162,1.943935259295966,-0.20984004397506134,-0.32327915735021123
A_TB1_to_TB2,AU,899,1.5994335016986265,1.841040210114814,1.9778735093974644,-0.24160670841618728,-0.3784400076988374
A_TB1_to_TB2,CF,790,1.5370990128619721,1.8142779107205529,1.9297559592223599,-0.277178897858581,-0.39265694636038806
A_TB1_to_TB2,CU,874,1.5251466315655222,1.7993614696476046,1.9143108330236907,-0.2742148380820822,-0.38916420145816866
A_TB1_to_TB2,I,823,1.4705420584743707,1.721879754205185,1.8686144647272496,-0.25133769573081427,-0.3980724062528787
A_TB1_to_TB2,M,844,1.4547410559601166,1.7561921056528884,1.8609465248630983,-0.3014510496927718,-0.4062054689029818
A_TB1_to_TB2,MA,792,1.4645730036151667,1.7366065535110289,1.83466054167563,-0.2720335498958624,-0.37008753806046324
A_TB1_to_TB2,NI,985,1.5351696730928128,1.8121787512001186,1.9324754125576398,-0.2770090781073058,-0.3973057394648269
A_TB1_to_TB2,P,800,1.5214045947401467,1.841528090465823,1.9036348024805354,-0.32012349572567644,-0.38223020774038863
A_TB1_to_TB2,RB,854,1.4086189177751893,1.732770671436318,1.8268082982822984,-0.3241517536611287,-0.418189380507109
A_TB1_to_TB2,RU,850,1.4624113088300692,1.7877688217566579,1.8724691176765036,-0.3253575129265886,-0.41005780884643456
A_TB1_to_TB2,SC,901,1.6769426724494232,1.982627120475996,2.13251824327152,-0.30568444802657274,-0.45557557082209693
A_TB1_to_TB2,SN,964,1.5622946431565032,1.8202178587804991,1.9185853354357552,-0.2579232156239958,-0.35629069227925186
A_TB1_to_TB2,TA,831,1.474243547838633,1.7397036872463056,1.8548638124454089,-0.2654601394076728,-0.3806202646067761
B_TB1TB2_to_TB3,AG,824,1.5727908727959268,1.8653932403497833,1.9978577963661728,-0.2926023675538564,-0.425066923570246
B_TB1TB2_to_TB3,AL,825,1.4748818443037786,1.76641597988629,1.8668082252688547,-0.29153413558251134,-0.39192638096507637
B_TB1TB2_to_TB3,AU,933,1.5865776915524374,1.8385011272521066,1.9768026567293484,-0.25192343569966924,-0.3902249651769108
B_TB1TB2_to_TB3,CF,788,1.5247367175277553,1.8135676611681502,1.9253614309318718,-0.28883094364039474,-0.4006247134041164
B_TB1TB2_to_TB3,CU,808,1.502038111255489,1.7951759793349538,1.8815820325861714,-0.29313786807946424,-0.3795439213306822
B_TB1TB2_to_TB3,I,790,1.5477925187747967,1.7401223227338078,1.8912202139001932,-0.1923298039590115,-0.34342769512539656
B_TB1TB2_to_TB3,M,818,1.5407254434437163,1.8148602024184612,1.9226581964996716,-0.27413475897474526,-0.38193275305595586
B_TB1TB2_to_TB3,MA,793,1.5246490437375482,1.7984451073954335,1.8862810193278454,-0.2737960636578851,-0.3616319755902968
B_TB1TB2_to_TB3,NI,894,1.5156129996511545,1.792785629808116,1.8914970165333798,-0.27717263015696164,-0.37588401688222545
B_TB1TB2_to_TB3,P,786,1.500888210409617,1.822069529599326,1.888288452191242,-0.32118131918970927,-0.3874002417816251
B_TB1TB2_to_TB3,RB,834,1.5453115975809528,1.8041913738408109,1.9180803032934937,-0.25887977625985825,-0.372768705712541
B_TB1TB2_to_TB3,RU,875,1.4507846948206473,1.8223612525449657,1.8962302615361233,-0.37157655772431825,-0.44544556671547586
B_TB1TB2_to_TB3,SC,885,1.6805851702154229,1.8885976786350038,2.0464128794156604,-0.20801250841958074,-0.36582770920023766
B_TB1TB2_to_TB3,SN,851,1.6231484441758346,1.8613751267941807,1.9520894241303302,-0.23822668261834617,-0.32894097995449545
B_TB1TB2_to_TB3,TA,815,1.4465195760544878,1.7311818832284627,1.8483984303794738,-0.28466230717397484,-0.4018788543249857
