window,event_pair_code,n,mean_sample_loss_Q3_minus_Q1
A_TB1_to_TB2,1>1,1045,-0.0012958417520629666
A_TB1_to_TB2,2>2,959,0.002324385696480385
A_TB1_to_TB2,2>12,927,-0.0005355635188290227
A_TB1_to_TB2,12>2,925,0.0014340499415529625
A_TB1_to_TB2,12>1,898,0.0006742150575898145
A_TB1_to_TB2,1>12,877,-0.0031521496190783514
A_TB1_to_TB2,1>8,394,-0.0052424938834999026
A_TB1_to_TB2,2>4,387,0.0007542685577576923
A_TB1_to_TB2,4>1,380,0.0009313843286909524
A_TB1_to_TB2,12>12,356,-0.0019509877742617937
A_TB1_to_TB2,8>1,344,0.002364143959152159
A_TB1_to_TB2,8>2,343,0.0028790921518387544
A_TB1_to_TB2,4>2,331,-0.000540131139822483
A_TB1_to_TB2,1>4,318,-0.004556654994201195
A_TB1_to_TB2,2>8,308,0.006365819666349182
A_TB1_to_TB2,4>8,256,-0.0025088084246253136
A_TB1_to_TB2,9>1,243,-0.0009497005321564366
A_TB1_to_TB2,6>2,239,0.02138050420447436
A_TB1_to_TB2,8>4,231,-0.0028651511539726305
A_TB1_to_TB2,1>9,220,0.01062818763936859
A_TB1_to_TB2,2>6,207,0.0010273600104533564
A_TB1_to_TB2,12>4,204,0.002677222645948741
A_TB1_to_TB2,8>12,204,0.007433543276080607
A_TB1_to_TB2,12>8,186,0.0011428060896689627
A_TB1_to_TB2,2>1,160,0.0008366997016432523
A_TB1_to_TB2,4>12,156,-0.007816540201767424
A_TB1_to_TB2,1>2,154,0.0019122918222491821
A_TB1_to_TB2,9>12,109,-0.0013052931252973835
A_TB1_to_TB2,1>6,104,-0.00025153346302165717
A_TB1_to_TB2,6>12,101,0.00522098834255667
A_TB1_to_TB2,2>9,94,0.00536755736001741
A_TB1_to_TB2,4>9,93,-0.0029921255542928018
A_TB1_to_TB2,4>4,89,0.007233786412573119
A_TB1_to_TB2,8>8,88,0.007096383112199987
A_TB1_to_TB2,8>6,80,-0.0033432359567822346
A_TB1_to_TB2,12>9,73,-0.004200399694903535
A_TB1_to_TB2,12>6,69,0.006882186810713825
A_TB1_to_TB2,6>4,55,0.013882451791451252
A_TB1_to_TB2,9>8,53,0.003083762817217463
A_TB1_to_TB2,9>4,51,0.02388524058612216
A_TB1_to_TB2,9>2,50,-0.00995510795747288
A_TB1_to_TB2,6>1,45,-0.015724788917521867
A_TB1_to_TB2,6>8,44,-0.003919585390371005
A_TB1_to_TB2,14>2,41,2.0555687696812113e-05
A_TB1_to_TB2,13>1,36,-0.004604252096685103
A_TB1_to_TB2,8>9,34,0.040582108480776743
A_TB1_to_TB2,2>14,28,0.016646033646151193
A_TB1_to_TB2,4>6,24,0.0018466497476002572
A_TB1_to_TB2,1>13,19,-0.009052157138124834
A_TB1_to_TB2,14>1,15,-0.039275278674276166
A_TB1_to_TB2,1>14,15,0.016941069927212542
A_TB1_to_TB2,9>9,15,0.006494526854804548
