window,comparison,symbol,n,mean_delta,n_negative,n_positive
B_TB1TB2_to_TB3,M1-M0,TA,829,-0.22999574717286111,694,135
B_TB1TB2_to_TB3,M2-M1,AG,869,0.001187386925377929,421,448
B_TB1TB2_to_TB3,M2-M1,AL,851,-0.07257446302266408,482,369
B_TB1TB2_to_TB3,M2-M1,AU,961,0.0026948321291479557,489,472
B_TB1TB2_to_TB3,M2-M1,CF,798,-0.06187976888858261,459,339
B_TB1TB2_to_TB3,M2-M1,CU,831,-0.015757594487244633,415,416
B_TB1TB2_to_TB3,M2-M1,I,790,-0.05896083692669546,462,328
B_TB1TB2_to_TB3,M2-M1,M,819,-0.026862728314632257,427,392
B_TB1TB2_to_TB3,M2-M1,MA,813,-0.030673878802680278,431,382
B_TB1TB2_to_TB3,M2-M1,NI,908,-0.04366098539656764,482,426
B_TB1TB2_to_TB3,M2-M1,P,794,-0.0453576605866283,420,374
B_TB1TB2_to_TB3,M2-M1,RB,834,-0.06865781133970521,483,351
B_TB1TB2_to_TB3,M2-M1,RU,875,-0.09033926333647783,516,359
B_TB1TB2_to_TB3,M2-M1,SC,895,-0.042017145025801235,487,408
B_TB1TB2_to_TB3,M2-M1,SN,874,-0.06864797856902938,459,415
B_TB1TB2_to_TB3,M2-M1,TA,829,-0.03700723737016691,455,374
B_TB1TB2_to_TB3,M3-M2,AG,869,-0.0062735811434960626,384,485
B_TB1TB2_to_TB3,M3-M2,AL,851,0.0010465842100275838,368,483
B_TB1TB2_to_TB3,M3-M2,AU,961,-0.003836101698558988,402,559
B_TB1TB2_to_TB3,M3-M2,CF,798,-0.0021648697711875407,359,439
B_TB1TB2_to_TB3,M3-M2,CU,831,-0.0025837229005505748,368,463
B_TB1TB2_to_TB3,M3-M2,I,790,-0.0010548122323170927,360,430
B_TB1TB2_to_TB3,M3-M2,M,819,-0.0043416645906848295,373,446
B_TB1TB2_to_TB3,M3-M2,MA,813,-0.005437827784474945,379,434
B_TB1TB2_to_TB3,M3-M2,NI,908,0.0038579270419366605,389,519
B_TB1TB2_to_TB3,M3-M2,P,794,-0.015786523556269798,360,434
B_TB1TB2_to_TB3,M3-M2,RB,834,-0.005563104393564922,384,450
B_TB1TB2_to_TB3,M3-M2,RU,875,-0.0019159675189665958,409,466
B_TB1TB2_to_TB3,M3-M2,SC,895,0.0010426520725523491,386,509
B_TB1TB2_to_TB3,M3-M2,SN,874,0.00010132611550514408,382,492
B_TB1TB2_to_TB3,M3-M2,TA,829,-0.0007317476585030091,358,471
B_TB1TB2_to_TB3,M4-M3,AG,869,-0.018125910920074675,489,380
B_TB1TB2_to_TB3,M4-M3,AL,851,0.001321567497029661,425,426
B_TB1TB2_to_TB3,M4-M3,AU,961,-0.01708906412133342,513,448
B_TB1TB2_to_TB3,M4-M3,CF,798,0.010809772743396704,349,449
B_TB1TB2_to_TB3,M4-M3,CU,831,0.003436237301247035,434,397
B_TB1TB2_to_TB3,M4-M3,I,790,0.000979721987452905,379,411
B_TB1TB2_to_TB3,M4-M3,M,819,-0.004817254942520981,419,400
B_TB1TB2_to_TB3,M4-M3,MA,813,0.0027282045800698304,378,435
B_TB1TB2_to_TB3,M4-M3,NI,908,-0.002725547151416098,400,508
B_TB1TB2_to_TB3,M4-M3,P,794,0.00481200849744896,337,457
B_TB1TB2_to_TB3,M4-M3,RB,834,-0.0020801932460329884,391,443
B_TB1TB2_to_TB3,M4-M3,RU,875,0.009678125498590484,368,507
B_TB1TB2_to_TB3,M4-M3,SC,895,-0.010738231946975511,483,412
B_TB1TB2_to_TB3,M4-M3,SN,874,8.603767660564543e-05,437,437
B_TB1TB2_to_TB3,M4-M3,TA,829,0.005061930377043752,371,458
