comparison,role,mean_bit_logloss_A,mean_bit_logloss_B,delta_sample_weighted,delta_daily_mean,n_days,ci_lo,ci_hi,verdict
M3_GEOMETRY_PREV_EVENT_DURATION_PATH - M2_GEOMETRY_PREV_EVENT_DURATION,PRIMARY_path_morphology_given_event_duration,0.5295025308012573,0.5297769071049641,-0.00027437630370668106,-0.000285603150414768,102,-0.0009557476470100261,0.0004152090356011136,CI_contains_zero
M1_GEOMETRY_PREV_EVENT - M0_CURRENT_GEOMETRY,SECONDARY_prev_endpoint_given_geometry,0.5293842840850347,0.5365384129920694,-0.00715412890703474,-0.007165155454171992,102,-0.008842670912332002,-0.005595849860387131,CI_below_zero
M2_GEOMETRY_PREV_EVENT_DURATION - M1_GEOMETRY_PREV_EVENT,SECONDARY_duration_given_endpoint,0.5297769071049641,0.5293842840850347,0.0003926230199293023,0.00041186953379937334,102,0.00012208039290670023,0.0006965268717406411,CI_above_zero
M3_GEOMETRY_PREV_EVENT_DURATION_PATH - M0_CURRENT_GEOMETRY,SECONDARY_total_prev_history,0.5295025308012573,0.5365384129920694,-0.007035882190812119,-0.007038889070787387,102,-0.00914205215338211,-0.004970167322220971,CI_below_zero
