feature,kind,non_zero_rate,mean,std
upper_newest_log_age_residual,compact,0.039848323946246184,-0.05666956324838471,0.347786990895485
upper_current_newest_age_zero,compact,0.04930305742895745,0.04930305742895745,0.216500036852455
upper_active_identity_count_delta,compact,0.039848323946246184,0.04280622939335139,0.21892780064963957
lower_newest_log_age_residual,compact,0.038305431537276835,-0.05418136503978699,0.3405980770744169
lower_current_newest_age_zero,compact,0.04925023768883057,0.04925023768883057,0.21639004546518367
lower_active_identity_count_delta,compact,0.038305431537276835,0.04121051724425516,0.21373764326527392
upper_oldest_log_age_residual,dropped,0.0,0.0,0.0
upper_current_oldest_age_zero,dropped,0.040943638557298295,0.040943638557298295,0.19815967556237982
lower_oldest_log_age_residual,dropped,0.0,0.0,0.0
lower_current_oldest_age_zero,dropped,0.04099089832478024,0.04099089832478024,0.19826912159816457
tempo_signed_speed,tempo_derived_repr,0.8421245767470824,-0.0001734953002548024,0.2641711542384332
tempo_abs_speed,tempo_derived_repr,0.8421245767470824,0.15394766193704618,0.21467777299106258
tempo_signed_efficiency,tempo_derived_repr,0.8421245767470824,0.0012297196195812114,0.5065450379416623
tempo_abs_efficiency,tempo_derived_repr,0.8421245767470824,0.36807437962888473,0.3480095382808847
