window,target,kind,mean_nll_k0,mean_nll_k1,delta_k1_minus_k0
A_TB1_to_TB2,z_d_up,continuous,0.7682556373883138,0.7567765340808795,-0.01147910330743429
A_TB1_to_TB2,z_log1p_dmfe,continuous,-0.5569720163122157,-0.6393103015710672,-0.08233828525885145
A_TB1_to_TB2,z_log1p_dmae,continuous,-0.5383198791790281,-0.6186569572827325,-0.08033707810370438
A_TB1_to_TB2,z_delta_dcr,continuous,0.019434984896119008,-0.18404137627443048,-0.20347636117054949
A_TB1_to_TB2,z_log1p_next_range,continuous,-0.1289013866049721,-0.3312787070861066,-0.20237732048113452
A_TB1_to_TB2,z_delta_upper_newest_resid,continuous,-0.07157153997050517,-0.09453601926561904,-0.022964479295113874
A_TB1_to_TB2,z_delta_upper_count,continuous,-1.1194167733835692,-1.1201922747078359,-0.0007755013242667363
A_TB1_to_TB2,z_delta_lower_newest_resid,continuous,-0.12667599388406617,-0.1499859826264414,-0.02330998874237522
A_TB1_to_TB2,z_delta_lower_count,continuous,-1.1389092489986854,-1.139567901743076,-0.0006586527443905865
A_TB1_to_TB2,z_agezero_code,discrete_4class,0.07042675348992065,0.06868373602628708,-0.0017430174636335755
B_TB1TB2_to_TB3,z_d_up,continuous,0.8176606398918018,0.8104345496063184,-0.0072260902854833775
B_TB1TB2_to_TB3,z_log1p_dmfe,continuous,-0.55028026884794,-0.6368333074670516,-0.08655303861911157
B_TB1TB2_to_TB3,z_log1p_dmae,continuous,-0.5168201295973582,-0.6023900619788156,-0.08556993238145738
B_TB1TB2_to_TB3,z_delta_dcr,continuous,0.026419851621732916,-0.17211306266239126,-0.19853291428412417
B_TB1TB2_to_TB3,z_log1p_next_range,continuous,-0.14566936710409717,-0.33399588063911206,-0.1883265135350149
B_TB1TB2_to_TB3,z_delta_upper_newest_resid,continuous,-0.1671937619776583,-0.18875057332914402,-0.02155681135148571
B_TB1TB2_to_TB3,z_delta_upper_count,continuous,-1.2313000862314798,-1.2319270512353855,-0.0006269650039056884
B_TB1TB2_to_TB3,z_delta_lower_newest_resid,continuous,-0.22649442163384234,-0.2500527432409487,-0.023558321607106386
B_TB1TB2_to_TB3,z_delta_lower_count,continuous,-1.2336025186007409,-1.2344714308749225,-0.0008689122741816213
B_TB1TB2_to_TB3,z_agezero_code,discrete_4class,0.05988506945271636,0.058452244848012924,-0.0014328246047034324
