window,symbol,n,mean_bit_logloss_S1,mean_bit_logloss_S3,delta_S3_minus_S1,mean_bit_logloss_S0,mean_bit_logloss_S2,delta_S2_minus_S0
A_TB1_to_TB2,AG,888,0.5598216548076902,0.5483583272977369,-0.011463327509953304,0.5631867565386255,0.5486237778894741,-0.014562978649151391
A_TB1_to_TB2,AL,797,0.5490025525298801,0.5356608063355882,-0.013341746194291907,0.5376847245130613,0.5353759491382618,-0.0023087753747995034
A_TB1_to_TB2,AU,899,0.561776129982621,0.5456417511812646,-0.016134378801356555,0.5483952587072546,0.5423957883227976,-0.005999470384456929
A_TB1_to_TB2,CF,790,0.5479501446919273,0.5404003904827704,-0.007549754209156741,0.5343886325547513,0.5327599175753299,-0.0016287149794214349
A_TB1_to_TB2,CU,874,0.5424551416622494,0.529451522880021,-0.013003618782228417,0.5269952572539123,0.5251398570878065,-0.001855400166105658
A_TB1_to_TB2,I,823,0.5301007489431796,0.5167738481276098,-0.01332690081556977,0.5240018494799479,0.5157057952083346,-0.008296054271613265
A_TB1_to_TB2,M,844,0.5215504080568489,0.5152362349016021,-0.006314173155246829,0.5206733484259991,0.5154341201773208,-0.005239228248678277
A_TB1_to_TB2,MA,792,0.5205524064711171,0.5086700747280083,-0.011882331743108711,0.516440754747128,0.5065790936410131,-0.009861661106114908
A_TB1_to_TB2,NI,985,0.5358311282657414,0.5297062437536232,-0.006124884512118241,0.5355012546674066,0.5291316235526118,-0.006369631114794809
A_TB1_to_TB2,P,800,0.5414040472926196,0.5271145517690512,-0.014289495523568296,0.5291218059315339,0.5234365936866149,-0.005685212244919071
A_TB1_to_TB2,RB,854,0.5180304100352622,0.5070205893904557,-0.011009820644806526,0.5136055017349638,0.5047011957901838,-0.008904305944779877
A_TB1_to_TB2,RU,850,0.520576846864608,0.5157939185483182,-0.004782928316289702,0.5213696118732906,0.517211553170165,-0.004158058703125587
A_TB1_to_TB2,SC,901,0.6188163870175699,0.598316186278137,-0.02050020073943296,0.6045928024113023,0.5938930839616371,-0.010699718449665354
A_TB1_to_TB2,SN,964,0.5406633892787549,0.5287804212552273,-0.011882968023527637,0.5379278678062801,0.5283766836870833,-0.009551184119196705
A_TB1_to_TB2,TA,831,0.5280694590218997,0.5172580974552669,-0.010811361566632826,0.5259536802128438,0.5147761662961675,-0.011177513916676244
B_TB1TB2_to_TB3,AG,824,0.5522980354696864,0.5471311580014027,-0.005166877468283776,0.5545427660505613,0.5476476892339236,-0.006895076816637761
B_TB1TB2_to_TB3,AL,825,0.5277813575214026,0.5168565912598199,-0.010924766261582754,0.5271307667815858,0.5161739690746688,-0.01095679770691702
B_TB1TB2_to_TB3,AU,933,0.5514031941177906,0.5431952900172223,-0.008207904100568255,0.5506330402281197,0.5423672065570273,-0.008265833671092402
B_TB1TB2_to_TB3,CF,788,0.542353717746843,0.5348864249312764,-0.007467292815566749,0.5422270666471601,0.5343902711886594,-0.007836795458500754
B_TB1TB2_to_TB3,CU,808,0.5262616882645724,0.5202181228262772,-0.006043565438295166,0.525551998394939,0.5195484729096461,-0.0060035254852930636
B_TB1TB2_to_TB3,I,790,0.5286057504440742,0.5230786441105166,-0.005527106333557589,0.5312372251033417,0.5249851057203656,-0.006252119382976055
B_TB1TB2_to_TB3,M,818,0.548969846075872,0.539158084666197,-0.009811761409675003,0.5425798830042156,0.5348073221666744,-0.007772560837541228
B_TB1TB2_to_TB3,MA,793,0.5301961554208551,0.5206000574384686,-0.009596097982386484,0.5283236292856602,0.5208653507410262,-0.007458278544633931
B_TB1TB2_to_TB3,NI,894,0.5350655631906719,0.5236412022182582,-0.011424360972413634,0.5336949813032549,0.5227779386826077,-0.010917042620647225
B_TB1TB2_to_TB3,P,786,0.5319156981963131,0.5240586407528744,-0.007857057443438639,0.5313899271596715,0.5243859805861661,-0.007003946573505442
B_TB1TB2_to_TB3,RB,834,0.5363859476359705,0.5318433566593859,-0.004542590976584779,0.5365433137449934,0.5315492366507113,-0.004994077094282014
B_TB1TB2_to_TB3,RU,875,0.5345294494821446,0.5286402804690306,-0.005889169013114152,0.5345841412579271,0.526510891537806,-0.008073249720121141
B_TB1TB2_to_TB3,SC,885,0.5677163799591879,0.561337450383547,-0.006378929575640883,0.5685421547444903,0.561855493303389,-0.006686661441101276
B_TB1TB2_to_TB3,SN,851,0.5481869081749757,0.5372101367251965,-0.010976771449779293,0.548781443336584,0.53670703570986,-0.012074407626723935
B_TB1TB2_to_TB3,TA,815,0.5202392788948318,0.5126282517605545,-0.007611027134277254,0.5201571564219976,0.5132131990455324,-0.006943957376465108
