window,model,n_params,success,elapsed_seconds
A_TB1_to_TB2,K0_UNCONDITIONAL,34,True,0.168
A_TB1_to_TB2,K1_STATE,852,True,2.268
A_TB1_to_TB2,M0_STATE_AVAIL,869,True,2.174
A_TB1_to_TB2,MF_STATE_LAG1,1124,True,2.993
A_TB1_to_TB2,MZ_STATE_INNOV,1141,True,2.626
A_TB1_to_TB2,MC_STATE_CURREENCODING,1039,True,2.002
A_TB1_to_TB2,MMEM_STATE_TRUE_INNOV,971,True,2.262
B_TB1TB2_to_TB3,K0_UNCONDITIONAL,34,True,0.297
B_TB1TB2_to_TB3,K1_STATE,852,True,4.409
B_TB1TB2_to_TB3,M0_STATE_AVAIL,869,True,4.583
B_TB1TB2_to_TB3,MF_STATE_LAG1,1124,True,6.792
B_TB1TB2_to_TB3,MZ_STATE_INNOV,1141,True,5.839
B_TB1TB2_to_TB3,MC_STATE_CURREENCODING,1039,True,4.22
B_TB1TB2_to_TB3,MMEM_STATE_TRUE_INNOV,971,True,4.599
