frozen_outcome,n,reconfig_rate,upper_inward_rate,lower_inward_rate,mean_first_reconfig_fraction,median_bars_to_first_reconfig
UP,122620,0.603319197520796,0.4928396672647203,0.5461017778502691,0.3222019740271406,8.0
DOWN,116890,0.6076909915304988,0.5521173753101206,0.4963555479510651,0.3210609677618121,8.0
