window,model,n_params,n_iter,final_fun,success,elapsed_seconds
A_TB1_to_TB2,B0_VALIDATED_STATE,174,516,1.1563572113655147,True,2.56
A_TB1_to_TB2,Pc_COMPACT_PROVENANCE,198,560,1.1502008372515153,True,2.82
A_TB1_to_TB2,PF_FULL_PROVENANCE,214,572,1.1498828387370061,True,2.79
A_TB1_to_TB2,T_DERIVED_TEMPO,190,582,1.1540038665418728,True,2.91
A_TB1_to_TB2,PTc_COMPACT_PROV_TEMPO,214,562,1.1467742396018883,True,2.73
B_TB1TB2_to_TB3,B0_VALIDATED_STATE,174,673,1.154295670118681,True,6.46
B_TB1TB2_to_TB3,Pc_COMPACT_PROVENANCE,198,715,1.147884885059867,True,7.19
B_TB1TB2_to_TB3,PF_FULL_PROVENANCE,214,698,1.1475602032749042,True,6.98
B_TB1TB2_to_TB3,T_DERIVED_TEMPO,190,718,1.1516455955608398,True,7.16
B_TB1TB2_to_TB3,PTc_COMPACT_PROV_TEMPO,214,731,1.1441221972451174,True,7.2
