window,block,mean_nll_m0,mean_nll_mf,mean_nll_mz,delta_mf_minus_m0,delta_mz_minus_m0,delta_mf_minus_mz
A_TB1_to_TB2,Location,0.756770329644595,0.7556045645415705,0.7568533012719041,-0.0011657651030245804,8.2971627309116e-05,-0.001248736730333696
A_TB1_to_TB2,Path,0.3782367767076517,0.30532226420308034,0.09625095613870413,-0.07291451250457136,-0.28198582056894755,0.2090713080643762
A_TB1_to_TB2,LiquidityResidual,0.16797145029657595,0.1681272095400996,0.03201288858288452,0.0001557592435236303,-0.13595856171369144,0.13611432095721507
A_TB1_to_TB2,CountOccurrence,0.0700404928984707,0.06988254550430159,0.07002195995458829,-0.0001579473941691054,-1.853294388241608e-05,-0.00013941445028668931
B_TB1TB2_to_TB3,Location,0.8104278722168552,0.8100132562554,0.8101681808194364,-0.0004146159614551756,-0.0002596913974187989,-0.0001549245640363766
B_TB1TB2_to_TB3,Path,0.40621316645087946,0.33750608603258114,0.1303774289281936,-0.0687070804182984,-0.2758357375226859,0.2071286571043875
B_TB1TB2_to_TB3,LiquidityResidual,0.12900465519917614,0.1272846567680094,0.033414191444383796,-0.001719998431166731,-0.09559046375479234,0.09387046532362561
B_TB1TB2_to_TB3,CountOccurrence,0.059016632502413104,0.058871922511671025,0.058979060529484865,-0.0001447099907420821,-3.7571972928244707e-05,-0.00010713801781383746
