symbol,n_identities,n_price_cells,n_price_cells_both_sides,n_bars,n_primary,n_conflict_bars,conflict_rate
AG,5762,2945,302,44451,41010,68,0.0016581321628871006
AL,5473,1031,558,37323,35999,430,0.011944776243784549
AU,5911,3306,211,44451,41226,14,0.000339591519914617
CF,5125,801,421,27819,26933,1078,0.040025247837225705
CU,5528,1827,539,37323,35482,124,0.0034947297221126204
I,5170,301,254,27819,27391,1617,0.059033989266547404
M,5052,597,396,27819,27046,1067,0.039451305183761
MA,5020,1011,518,27819,26865,574,0.021366089707798252
NI,5613,2025,566,37323,36317,45,0.0012390891318115483
P,5021,1253,587,27819,26997,135,0.00500055561729081
RB,5203,441,336,27819,27344,1273,0.04655500292568754
RU,5050,950,555,27819,27229,187,0.006867677843475706
SC,5624,1882,593,44449,42635,120,0.0028145889527383607
SN,5652,3045,269,37323,35842,9,0.0002511020590368841
TA,5085,1074,482,27819,27063,440,0.01625836012267672
