block,cost_ATR0,net_EV_per_signal_ATR0,net_EV_per_trade_ATR0,total_net_ATR0,break_even_cost_ATR0
TB2,0.0,0.0061015680383885,0.0061015680383885,759.986908589518,0.0061015680383885
TB2,0.01,-0.003898431961611499,-0.003898431961611499,-485.5730914104819,0.0061015680383885
TB2,0.02,-0.013898431961611507,-0.013898431961611507,-1731.1330914104828,0.0061015680383885
TB2,0.03,-0.023898431961611503,-0.023898431961611503,-2976.6930914104823,0.0061015680383885
TB2,0.05,-0.0438984319616115,-0.0438984319616115,-5467.813091410482,0.0061015680383885
TB2,0.1,-0.09389843196161152,-0.09389843196161152,-11695.613091410483,0.0061015680383885
TB3,0.0,0.0013941236469649282,0.0013941236469649282,167.54577989224506,0.0013941236469649282
TB3,0.01,-0.008605876353035072,-0.008605876353035072,-1034.254220107755,0.0013941236469649282
TB3,0.02,-0.01860587635303508,-0.01860587635303508,-2236.054220107756,0.0013941236469649282
TB3,0.03,-0.028605876353035076,-0.028605876353035076,-3437.8542201077553,0.0013941236469649282
TB3,0.05,-0.04860587635303508,-0.04860587635303508,-5841.454220107756,0.0013941236469649282
TB3,0.1,-0.09860587635303508,-0.09860587635303508,-11850.454220107757,0.0013941236469649282
