cause,n_side_events,n_states_with_this_cause,rate_states_with_this_cause
TOUCH_ELIGIBILITY,5538,5538,0.023122207841008727
NEW_ACTIVATION_NON_INWARD,0,0,0.0
EXPIRY,0,0,0.0
OTHER_NON_INWARD,0,0,0.0
