symbol,n_identities,n_no_bar_after_available,available_time_before_activation_end,available_time_equal_activation_end,available_time_after_activation_end,diff_bars_min,diff_bars_median,diff_bars_max
AG,5762,0,5762,0,0,-655,-1.0,-1
AL,5473,0,5473,0,0,-673,-1.0,-1
AU,5911,0,5911,0,0,-655,-1.0,-1
CF,5125,0,5125,0,0,-697,-1.0,-1
CU,5528,0,5528,0,0,-1657,-1.0,-1
I,5170,0,5170,0,0,-2521,-1.0,-1
M,5052,0,5052,0,0,-697,-1.0,-1
MA,5020,0,5020,0,0,-697,-1.0,-1
NI,5613,0,5613,0,0,-1081,-1.0,-1
P,5021,0,5021,0,0,-697,-1.0,-1
RB,5203,0,5203,0,0,-1081,-1.0,-1
RU,5050,0,5050,0,0,-697,-1.0,-1
SC,5624,1,5623,0,0,-1081,-1.0,-1
SN,5652,0,5652,0,0,-673,-1.0,-1
TA,5085,0,5085,0,0,-697,-1.0,-1
TOTAL,80289,1,80288,0,0,-2521,-1.0,-1
