window,subset,event_pair_code,n,p_UP_PEN,p_DOWN_PEN,p_NEW_UPPER,p_NEW_LOWER
A_TB1_to_TB2,eval,10>1,2,0.5,0.5,0.0,0.0
A_TB1_to_TB2,eval,10>2,8,0.125,0.375,0.375,0.625
A_TB1_to_TB2,eval,10>5,1,0.0,1.0,0.0,0.0
A_TB1_to_TB2,eval,12>1,898,0.40200445434298443,0.11247216035634744,0.4153674832962138,0.4766146993318486
A_TB1_to_TB2,eval,12>10,1,0.0,1.0,0.0,0.0
A_TB1_to_TB2,eval,12>12,356,0.41292134831460675,0.3960674157303371,0.1544943820224719,0.14887640449438203
A_TB1_to_TB2,eval,12>13,8,0.625,0.25,0.0,0.125
A_TB1_to_TB2,eval,12>14,7,0.2857142857142857,0.7142857142857143,0.0,0.0
A_TB1_to_TB2,eval,12>2,925,0.09945945945945946,0.40540540540540543,0.46054054054054056,0.4118918918918919
A_TB1_to_TB2,eval,12>4,204,0.3872549019607843,0.3333333333333333,0.14215686274509803,0.28921568627450983
A_TB1_to_TB2,eval,12>5,3,1.0,0.0,0.0,0.0
A_TB1_to_TB2,eval,12>6,69,0.18840579710144928,0.43478260869565216,0.3188405797101449,0.2898550724637681
A_TB1_to_TB2,eval,12>8,186,0.3870967741935484,0.3655913978494624,0.27419354838709675,0.15591397849462366
A_TB1_to_TB2,eval,12>9,73,0.4931506849315068,0.1643835616438356,0.2876712328767123,0.2876712328767123
A_TB1_to_TB2,eval,13>1,36,0.3888888888888889,0.25,0.3888888888888889,0.3333333333333333
A_TB1_to_TB2,eval,13>10,1,0.0,1.0,0.0,0.0
A_TB1_to_TB2,eval,13>2,7,0.7142857142857143,0.0,0.0,0.2857142857142857
A_TB1_to_TB2,eval,13>8,3,0.0,0.3333333333333333,0.6666666666666666,0.6666666666666666
A_TB1_to_TB2,eval,13>9,2,0.5,0.5,0.0,0.0
A_TB1_to_TB2,eval,14>1,15,0.5333333333333333,0.2,0.2,0.06666666666666667
A_TB1_to_TB2,eval,14>2,41,0.1951219512195122,0.3170731707317073,0.4146341463414634,0.4146341463414634
A_TB1_to_TB2,eval,14>4,4,0.25,0.25,0.25,0.25
A_TB1_to_TB2,eval,14>6,1,0.0,1.0,0.0,0.0
A_TB1_to_TB2,eval,1>1,1045,0.43444976076555025,0.042105263157894736,0.4382775119617225,0.5320574162679426
A_TB1_to_TB2,eval,1>10,2,0.5,0.5,0.0,0.0
A_TB1_to_TB2,eval,1>12,877,0.39680729760547323,0.27936145952109465,0.25997719498289623,0.2862029646522235
A_TB1_to_TB2,eval,1>13,19,0.9473684210526315,0.0,0.0,0.05263157894736842
A_TB1_to_TB2,eval,1>14,15,0.2,0.8,0.0,0.0
A_TB1_to_TB2,eval,1>2,154,0.07142857142857142,0.4675324675324675,0.525974025974026,0.38961038961038963
A_TB1_to_TB2,eval,1>3,1,0.0,0.0,1.0,1.0
A_TB1_to_TB2,eval,1>4,318,0.37735849056603776,0.20125786163522014,0.2358490566037736,0.4528301886792453
A_TB1_to_TB2,eval,1>5,4,0.75,0.25,0.0,0.0
A_TB1_to_TB2,eval,1>6,104,0.07692307692307693,0.5769230769230769,0.3076923076923077,0.25961538461538464
A_TB1_to_TB2,eval,1>8,394,0.3248730964467005,0.2563451776649746,0.434010152284264,0.2969543147208122
A_TB1_to_TB2,eval,1>9,220,0.4954545454545455,0.08181818181818182,0.33636363636363636,0.34545454545454546
A_TB1_to_TB2,eval,2>1,160,0.425,0.10625,0.425,0.48125
A_TB1_to_TB2,eval,2>10,4,0.25,0.75,0.0,0.0
A_TB1_to_TB2,eval,2>12,927,0.28047464940668826,0.4261057173678533,0.27292340884573896,0.2405609492988134
A_TB1_to_TB2,eval,2>13,8,0.375,0.5,0.0,0.375
A_TB1_to_TB2,eval,2>14,28,0.25,0.6071428571428571,0.14285714285714285,0.0
A_TB1_to_TB2,eval,2>2,959,0.05213764337851929,0.38894681960375393,0.5443169968717414,0.48383733055265904
A_TB1_to_TB2,eval,2>4,387,0.26356589147286824,0.32558139534883723,0.22739018087855298,0.4289405684754522
A_TB1_to_TB2,eval,2>6,207,0.07246376811594203,0.45410628019323673,0.3961352657004831,0.3719806763285024
A_TB1_to_TB2,eval,2>8,308,0.25,0.2922077922077922,0.461038961038961,0.24675324675324675
A_TB1_to_TB2,eval,2>9,94,0.5,0.0851063829787234,0.3404255319148936,0.3723404255319149
A_TB1_to_TB2,eval,3>12,1,0.0,0.0,1.0,1.0
A_TB1_to_TB2,eval,4>1,380,0.3473684210526316,0.11578947368421053,0.4368421052631579,0.49736842105263157
A_TB1_to_TB2,eval,4>10,2,0.0,1.0,0.0,0.0
A_TB1_to_TB2,eval,4>12,156,0.38461538461538464,0.48717948717948717,0.10897435897435898,0.14743589743589744
A_TB1_to_TB2,eval,4>13,5,0.8,0.2,0.0,0.2
A_TB1_to_TB2,eval,4>14,6,0.3333333333333333,0.6666666666666666,0.0,0.0
A_TB1_to_TB2,eval,4>2,331,0.10876132930513595,0.39274924471299094,0.4471299093655589,0.43202416918429004
A_TB1_to_TB2,eval,4>4,89,0.42696629213483145,0.23595505617977527,0.23595505617977527,0.39325842696629215
A_TB1_to_TB2,eval,4>6,24,0.125,0.4166666666666667,0.2916666666666667,0.375
A_TB1_to_TB2,eval,4>8,256,0.30859375,0.375,0.29296875,0.2421875
A_TB1_to_TB2,eval,4>9,93,0.45161290322580644,0.1935483870967742,0.2903225806451613,0.3010752688172043
A_TB1_to_TB2,eval,5>1,8,0.25,0.25,0.25,0.5
A_TB1_to_TB2,eval,5>2,2,0.0,0.0,0.5,0.5
A_TB1_to_TB2,eval,5>9,1,1.0,0.0,0.0,0.0
A_TB1_to_TB2,eval,6>1,45,0.5333333333333333,0.08888888888888889,0.28888888888888886,0.35555555555555557
A_TB1_to_TB2,eval,6>12,101,0.43564356435643564,0.31683168316831684,0.25742574257425743,0.2079207920792079
A_TB1_to_TB2,eval,6>13,2,1.0,0.0,0.0,0.0
A_TB1_to_TB2,eval,6>14,1,1.0,0.0,0.0,0.0
A_TB1_to_TB2,eval,6>2,239,0.07112970711297072,0.36401673640167365,0.5355648535564853,0.45188284518828453
A_TB1_to_TB2,eval,6>4,55,0.4,0.18181818181818182,0.18181818181818182,0.4727272727272727
A_TB1_to_TB2,eval,6>6,10,0.0,0.9,0.1,0.0
A_TB1_to_TB2,eval,6>8,44,0.13636363636363635,0.29545454545454547,0.4772727272727273,0.25
A_TB1_to_TB2,eval,6>9,11,0.18181818181818182,0.09090909090909091,0.6363636363636364,0.6363636363636364
A_TB1_to_TB2,eval,7>2,2,0.0,0.0,1.0,0.5
A_TB1_to_TB2,eval,8>1,344,0.4418604651162791,0.10174418604651163,0.3953488372093023,0.39244186046511625
A_TB1_to_TB2,eval,8>10,1,1.0,0.0,1.0,0.0
A_TB1_to_TB2,eval,8>12,204,0.4264705882352941,0.36764705882352944,0.18627450980392157,0.15196078431372548
A_TB1_to_TB2,eval,8>13,5,0.8,0.2,0.0,0.0
A_TB1_to_TB2,eval,8>14,3,0.0,1.0,0.3333333333333333,0.0
A_TB1_to_TB2,eval,8>2,343,0.119533527696793,0.3294460641399417,0.5597667638483965,0.4606413994169096
A_TB1_to_TB2,eval,8>4,231,0.44155844155844154,0.2510822510822511,0.19047619047619047,0.2857142857142857
A_TB1_to_TB2,eval,8>5,1,1.0,0.0,0.0,0.0
A_TB1_to_TB2,eval,8>6,80,0.225,0.525,0.2375,0.2625
A_TB1_to_TB2,eval,8>7,2,0.0,1.0,0.0,0.0
A_TB1_to_TB2,eval,8>8,88,0.22727272727272727,0.3977272727272727,0.3977272727272727,0.2727272727272727
A_TB1_to_TB2,eval,8>9,34,0.6176470588235294,0.08823529411764706,0.29411764705882354,0.2647058823529412
A_TB1_to_TB2,eval,9>1,243,0.4074074074074074,0.06172839506172839,0.4156378600823045,0.4609053497942387
A_TB1_to_TB2,eval,9>12,109,0.3944954128440367,0.3211009174311927,0.23853211009174313,0.26605504587155965
A_TB1_to_TB2,eval,9>13,2,1.0,0.0,0.0,0.0
A_TB1_to_TB2,eval,9>14,1,0.0,1.0,0.0,0.0
A_TB1_to_TB2,eval,9>2,50,0.02,0.48,0.48,0.38
A_TB1_to_TB2,eval,9>4,51,0.2549019607843137,0.27450980392156865,0.21568627450980393,0.39215686274509803
A_TB1_to_TB2,eval,9>5,2,1.0,0.0,0.0,0.5
A_TB1_to_TB2,eval,9>6,12,0.08333333333333333,0.3333333333333333,0.4166666666666667,0.4166666666666667
A_TB1_to_TB2,eval,9>8,53,0.24528301886792453,0.32075471698113206,0.4528301886792453,0.22641509433962265
A_TB1_to_TB2,eval,9>9,15,0.6,0.13333333333333333,0.3333333333333333,0.26666666666666666
B_TB1TB2_to_TB3,eval,10>1,2,1.0,0.0,0.0,0.0
B_TB1TB2_to_TB3,eval,10>2,13,0.23076923076923078,0.23076923076923078,0.46153846153846156,0.46153846153846156
B_TB1TB2_to_TB3,eval,11>1,1,1.0,0.0,0.0,0.0
B_TB1TB2_to_TB3,eval,11>2,3,0.0,0.0,1.0,1.0
B_TB1TB2_to_TB3,eval,12>1,927,0.3948220064724919,0.1111111111111111,0.4153182308522114,0.47896440129449835
B_TB1TB2_to_TB3,eval,12>10,3,0.0,1.0,0.0,0.0
B_TB1TB2_to_TB3,eval,12>11,1,0.0,1.0,0.0,0.0
B_TB1TB2_to_TB3,eval,12>12,358,0.48324022346368717,0.37988826815642457,0.12290502793296089,0.13687150837988826
B_TB1TB2_to_TB3,eval,12>13,7,0.8571428571428571,0.14285714285714285,0.0,0.0
B_TB1TB2_to_TB3,eval,12>14,5,0.6,0.4,0.2,0.0
B_TB1TB2_to_TB3,eval,12>2,827,0.12212817412333736,0.3978234582829504,0.4752116082224909,0.4207980652962515
B_TB1TB2_to_TB3,eval,12>4,195,0.38974358974358975,0.358974358974359,0.15384615384615385,0.3333333333333333
B_TB1TB2_to_TB3,eval,12>5,2,1.0,0.0,0.0,0.0
B_TB1TB2_to_TB3,eval,12>6,69,0.2028985507246377,0.4782608695652174,0.2753623188405797,0.2898550724637681
B_TB1TB2_to_TB3,eval,12>8,192,0.4322916666666667,0.3541666666666667,0.23958333333333334,0.14583333333333334
B_TB1TB2_to_TB3,eval,12>9,86,0.46511627906976744,0.19767441860465115,0.32558139534883723,0.36046511627906974
B_TB1TB2_to_TB3,eval,13>1,34,0.5,0.17647058823529413,0.23529411764705882,0.3235294117647059
B_TB1TB2_to_TB3,eval,13>2,8,0.5,0.5,0.0,0.0
B_TB1TB2_to_TB3,eval,13>8,6,0.16666666666666666,0.3333333333333333,0.3333333333333333,0.3333333333333333
B_TB1TB2_to_TB3,eval,13>9,1,1.0,0.0,0.0,0.0
B_TB1TB2_to_TB3,eval,14>1,10,0.5,0.1,0.4,0.2
B_TB1TB2_to_TB3,eval,14>2,39,0.15384615384615385,0.23076923076923078,0.5384615384615384,0.4358974358974359
B_TB1TB2_to_TB3,eval,14>4,2,0.5,0.0,0.5,0.5
B_TB1TB2_to_TB3,eval,14>6,3,0.0,0.6666666666666666,0.3333333333333333,0.0
B_TB1TB2_to_TB3,eval,1>1,931,0.3952738990332975,0.05155746509129968,0.4489795918367347,0.5574650912996778
B_TB1TB2_to_TB3,eval,1>10,4,0.25,0.75,0.0,0.0
