block,bin_idx,n,mean_p_h,observed_H1_rate,mean_abs_score,EV_0a,EV_0b,rho_trad_0a,H1_share
TB2,0,12456,0.04191935122811206,0.04969492614001284,0.052695343244634506,0.00038446557153684033,0.0001599803422854416,0.0234351598517007,0.047619047619047616
TB2,1,12456,0.060066819481597006,0.06422607578676943,0.05155117009651842,0.007107208651963379,0.006690856788828501,0.03483940844192758,0.06154319563043311
TB2,2,12455,0.07189954141575926,0.07226013649136893,0.052810015673540406,0.00017520043849826488,0.00014659561909898113,0.020621012954412075,0.06923609508423725
TB2,3,12456,0.08266097774056778,0.07434168272318561,0.054134866603108366,0.006573294009306401,0.006044676189100126,0.031425889898143725,0.07123624894222633
TB2,4,12455,0.09328491003879576,0.09104777197912485,0.05617238958885356,0.010200604924104599,0.009233455116358272,0.04219475406375702,0.08723747980613894
TB2,5,12456,0.10486612874188957,0.09858702633269108,0.058492236624488325,-0.0012397580311301311,-0.0011139678947362942,0.02435255816341084,0.09446880529271483
TB2,6,12455,0.11799495876231264,0.11079887595343235,0.06309009809402513,0.009685439462145659,0.008560704449665916,0.042367190528639194,0.10616201246249711
TB2,7,12456,0.13377445192091092,0.12355491329479769,0.06736892702303514,0.005851774512774739,0.005076420455459039,0.039184197337032996,0.1183937225940457
TB2,8,12455,0.1554883978379936,0.15158570855078282,0.07532689403887076,0.009702608498483797,0.008155077790088257,0.051135164915957376,0.14524194168782215
TB2,9,12456,0.2040443961557525,0.2075305073859987,0.09591451889551565,0.012575272466719252,0.01015382434695121,0.0487450455563042,0.19886145088083698
TB3,0,11620,0.042157680457720746,0.05800344234079174,0.05343326988653791,-0.007655019594085818,-0.007771965651037281,0.02113219382544613,0.05290008633545248
TB3,1,12299,0.06015193776242399,0.06878608016911944,0.04958232766533009,-0.0030282582846598233,-0.002850502652734014,0.0021160015064065085,0.06639981163174005
TB3,2,12557,0.07193534617083669,0.07947758222505376,0.05045939493795781,0.0015923516916977632,0.0014656423111743108,0.024602594697083396,0.0783298014284593
TB3,3,12225,0.08269253541036561,0.08875255623721881,0.05343640055425679,-0.005604690231958067,-0.005125105021976812,0.009655766738917593,0.0851581508515815
TB3,4,12114,0.09331288836341829,0.09179461779758956,0.05538512501286159,-0.0015175128300134071,-0.0013650300381695412,0.01947873327617621,0.08727729377599874
TB3,5,12389,0.10477511990503757,0.10283315844700944,0.058959067060090846,0.00668919944671422,0.005984636603034585,0.029607132112018614,0.09999215132250217
TB3,6,12048,0.11798215045014897,0.10873173970783533,0.06341467110684731,0.016374240276327667,0.014396581171017426,0.04255568126259778,0.10281767522172514
TB3,7,12010,0.13367767281481258,0.12464612822647793,0.06741253169238173,-0.0006672152354673086,-0.0005919785995723246,0.034931231454652795,0.11749470214268895
TB3,8,11753,0.1555399176265971,0.14523951331574916,0.07477763349745555,0.006608619737408802,0.0055239791344131066,0.04888822703931228,0.13397692488815635
TB3,9,11165,0.20169502284203544,0.20044782803403494,0.09394684898685825,0.0009708726326943862,0.0009722959597149027,0.03915369770467451,0.1756534024016953
