window,comparison,delta_sample_mean,ci_lo,ci_hi,verdict
A_TB1_to_TB2,K1-K0,-0.8450007606163229,-0.8951934649068993,-0.7993812288390575,CI_below_zero
A_TB1_to_TB2,K2-K1,-0.14646268823306333,-0.16305007155304072,-0.13162434674176945,CI_below_zero
B_TB1TB2_to_TB3,K1-K0,-0.8748559918428004,-0.9025039026378994,-0.8483649341107286,CI_below_zero
B_TB1TB2_to_TB3,K2-K1,-0.1718873001171514,-0.18196416009427208,-0.16227626697302774,CI_below_zero
