window,comparison,symbol,n,mean_delta,n_negative,n_positive
B_TB1TB2_to_TB3,T-B0,AG,869,-0.0003837687809909341,459,410
B_TB1TB2_to_TB3,T-B0,AL,851,-0.005961278353493926,454,397
B_TB1TB2_to_TB3,T-B0,AU,961,-0.0034208940971536955,507,454
B_TB1TB2_to_TB3,T-B0,CF,798,-0.0027589109309492463,395,403
B_TB1TB2_to_TB3,T-B0,CU,831,-0.0010847382619469555,458,373
B_TB1TB2_to_TB3,T-B0,I,790,-0.006367663065085615,426,364
B_TB1TB2_to_TB3,T-B0,M,819,-0.007240571173488981,452,367
B_TB1TB2_to_TB3,T-B0,MA,813,-0.00031322050615475533,424,389
B_TB1TB2_to_TB3,T-B0,NI,908,-0.0007115831639325027,494,414
B_TB1TB2_to_TB3,T-B0,P,794,-0.0049540436008489695,463,331
B_TB1TB2_to_TB3,T-B0,RB,834,-0.002887426784336184,453,381
B_TB1TB2_to_TB3,T-B0,RU,875,-0.0037666738706461614,485,390
B_TB1TB2_to_TB3,T-B0,SC,895,-0.00761394508823068,498,397
B_TB1TB2_to_TB3,T-B0,SN,874,-0.0036176203167565322,485,389
B_TB1TB2_to_TB3,T-B0,TA,829,-0.004923383712120921,462,367
B_TB1TB2_to_TB3,PT-T,AG,869,-0.008252666045842075,460,409
B_TB1TB2_to_TB3,PT-T,AL,851,-0.0016725214186692919,469,382
B_TB1TB2_to_TB3,PT-T,AU,961,0.0013509834355705927,486,475
B_TB1TB2_to_TB3,PT-T,CF,798,-0.0078124807715830484,454,344
B_TB1TB2_to_TB3,PT-T,CU,831,-0.007117225798214385,468,363
B_TB1TB2_to_TB3,PT-T,I,790,-0.014959964494127617,453,337
B_TB1TB2_to_TB3,PT-T,M,819,-0.004767007523122129,480,339
B_TB1TB2_to_TB3,PT-T,MA,813,-0.007983959457944024,456,357
B_TB1TB2_to_TB3,PT-T,NI,908,-0.0013892112394732503,477,431
B_TB1TB2_to_TB3,PT-T,P,794,-0.0014725566740442088,459,335
