window,comparison,symbol,n_episodes,mean_delta,n_negative,n_positive
A_TB1_to_TB2,B1-B0,AG,929,-0.9227096144256699,698,231
A_TB1_to_TB2,B1-B0,AL,804,-0.8693662057634156,611,193
A_TB1_to_TB2,B1-B0,AU,927,-0.8672021746011892,680,247
A_TB1_to_TB2,B1-B0,CF,796,-0.8700399555211037,611,185
A_TB1_to_TB2,B1-B0,CU,880,-0.8978749643241846,689,191
A_TB1_to_TB2,B1-B0,I,822,-0.9337133961428117,646,176
A_TB1_to_TB2,B1-B0,M,844,-0.8358172080491392,636,208
A_TB1_to_TB2,B1-B0,MA,795,-0.7880960440178814,599,196
A_TB1_to_TB2,B1-B0,NI,984,-0.9005225705158606,772,212
A_TB1_to_TB2,B1-B0,P,804,-0.7403421987115052,596,208
A_TB1_to_TB2,B1-B0,RB,853,-0.8138652477453411,664,189
A_TB1_to_TB2,B1-B0,RU,849,-0.800868045074517,648,201
A_TB1_to_TB2,B1-B0,SC,904,-0.6245604756222333,683,221
A_TB1_to_TB2,B1-B0,SN,963,-0.9120193790331449,735,228
A_TB1_to_TB2,B1-B0,TA,830,-0.8647548298200257,604,226
A_TB1_to_TB2,B2-B1,AG,929,-0.0018251974323295536,435,494
A_TB1_to_TB2,B2-B1,AL,804,-0.016220716585216132,414,390
A_TB1_to_TB2,B2-B1,AU,927,0.006752320236249407,390,537
A_TB1_to_TB2,B2-B1,CF,796,-0.013772809047788144,415,381
A_TB1_to_TB2,B2-B1,CU,880,-0.006805626093251016,398,482
A_TB1_to_TB2,B2-B1,I,822,-0.010768060580226151,428,394
A_TB1_to_TB2,B2-B1,M,844,-0.005111296826793149,418,426
A_TB1_to_TB2,B2-B1,MA,795,0.0008024957183611057,417,378
A_TB1_to_TB2,B2-B1,NI,984,-0.010814545186393461,466,518
A_TB1_to_TB2,B2-B1,P,804,4.356282807091397e-05,378,426
A_TB1_to_TB2,B2-B1,RB,853,-0.002364165227885973,418,435
A_TB1_to_TB2,B2-B1,RU,849,-0.00431718802383151,412,437
A_TB1_to_TB2,B2-B1,SC,904,0.0023741310740337204,408,496
A_TB1_to_TB2,B2-B1,SN,963,0.0023193165906853427,449,514
A_TB1_to_TB2,B2-B1,TA,830,-0.002823963662859973,424,406
B_TB1TB2_to_TB3,B1-B0,AG,868,-0.7738597955353695,627,241
B_TB1TB2_to_TB3,B1-B0,AL,850,-0.763899147239325,636,214
B_TB1TB2_to_TB3,B1-B0,AU,960,-0.8387126435511736,728,232
B_TB1TB2_to_TB3,B1-B0,CF,797,-0.9266351146884533,630,167
B_TB1TB2_to_TB3,B1-B0,CU,830,-0.8124701908535007,645,185
B_TB1TB2_to_TB3,B1-B0,I,789,-1.0373256257276056,635,154
B_TB1TB2_to_TB3,B1-B0,M,818,-0.4386598348071686,597,221
B_TB1TB2_to_TB3,B1-B0,MA,812,-0.6809727854711164,624,188
B_TB1TB2_to_TB3,B1-B0,NI,907,-0.8421671203176752,695,212
B_TB1TB2_to_TB3,B1-B0,P,793,-0.7669696651660687,611,182
B_TB1TB2_to_TB3,B1-B0,RB,833,-0.9580671757318274,657,176
B_TB1TB2_to_TB3,B1-B0,RU,874,-0.7736227444311804,691,183
B_TB1TB2_to_TB3,B1-B0,SC,894,-0.9346216189429136,683,211
B_TB1TB2_to_TB3,B1-B0,SN,873,-0.9067962770755061,692,181
B_TB1TB2_to_TB3,B1-B0,TA,828,-0.8183987826520666,647,181
B_TB1TB2_to_TB3,B2-B1,AG,868,0.00022464623220270753,393,475
B_TB1TB2_to_TB3,B2-B1,AL,850,-0.006842837384031541,455,395
B_TB1TB2_to_TB3,B2-B1,AU,960,-0.010326162348573127,424,536
B_TB1TB2_to_TB3,B2-B1,CF,797,-0.00693475408705092,401,396
B_TB1TB2_to_TB3,B2-B1,CU,830,-0.000798336938081357,383,447
B_TB1TB2_to_TB3,B2-B1,I,789,0.0009556146995890956,404,385
B_TB1TB2_to_TB3,B2-B1,M,818,-0.002100165473010307,401,417
B_TB1TB2_to_TB3,B2-B1,MA,812,0.004138689587941206,400,412
B_TB1TB2_to_TB3,B2-B1,NI,907,-0.00610396326014495,440,467
B_TB1TB2_to_TB3,B2-B1,P,793,0.004329661271447667,346,447
B_TB1TB2_to_TB3,B2-B1,RB,833,-0.006485841466983795,432,401
B_TB1TB2_to_TB3,B2-B1,RU,874,-0.00031266816796474947,426,448
B_TB1TB2_to_TB3,B2-B1,SC,894,2.820101804677487e-06,412,482
B_TB1TB2_to_TB3,B2-B1,SN,873,-0.0022987072400306443,414,459
B_TB1TB2_to_TB3,B2-B1,TA,828,-0.010056606315226348,404,424
