window,comparison,gate,model_hi,model_lo,delta_sample_mean,ci_lo,ci_hi,verdict
A_TB1_to_TB2,Pc-B0,PROVENANCE_COMPACT_STANDALONE,Pc_COMPACT_PROVENANCE,B0_VALIDATED_STATE,-0.00630927009476587,-0.008826096347493869,-0.004555140083439532,CI_below_zero
A_TB1_to_TB2,PF-B0,PROVENANCE_FULL_REFERENCE,PF_FULL_PROVENANCE,B0_VALIDATED_STATE,-0.006767321767775148,-0.009178253837404497,-0.004928681607999148,CI_below_zero
A_TB1_to_TB2,T-B0,TEMPO_DERIVED_REPRESENTATION,T_DERIVED_TEMPO,B0_VALIDATED_STATE,-0.00241497939824674,-0.003806470998481682,-0.001132951158442221,CI_below_zero
A_TB1_to_TB2,PTc-Pc,PROVENANCE_UNIQUE_COMPACT,PTc_COMPACT_PROV_TEMPO,Pc_COMPACT_PROVENANCE,-0.0030348588127147376,-0.004474915372247423,-0.0018718445221052435,CI_below_zero
A_TB1_to_TB2,PTc-T,TEMPO_UNIQUE_COMPACT,PTc_COMPACT_PROV_TEMPO,T_DERIVED_TEMPO,-0.006929149509233867,-0.009133321539102587,-0.00497788512223992,CI_below_zero
B_TB1TB2_to_TB3,Pc-B0,PROVENANCE_COMPACT_STANDALONE,Pc_COMPACT_PROVENANCE,B0_VALIDATED_STATE,-0.0056736563694147054,-0.00823360409692065,-0.0037255114054618285,CI_below_zero
B_TB1TB2_to_TB3,PF-B0,PROVENANCE_FULL_REFERENCE,PF_FULL_PROVENANCE,B0_VALIDATED_STATE,-0.005514404195027937,-0.008133395712733646,-0.0035793096413587375,CI_below_zero
B_TB1TB2_to_TB3,T-B0,TEMPO_DERIVED_REPRESENTATION,T_DERIVED_TEMPO,B0_VALIDATED_STATE,-0.0037166257196836966,-0.005398330104240136,-0.002458973624189526,CI_below_zero
B_TB1TB2_to_TB3,PTc-Pc,PROVENANCE_UNIQUE_COMPACT,PTc_COMPACT_PROV_TEMPO,Pc_COMPACT_PROVENANCE,-0.004420932918994663,-0.006142733712648023,-0.003141366346395972,CI_below_zero
B_TB1TB2_to_TB3,PTc-T,TEMPO_UNIQUE_COMPACT,PTc_COMPACT_PROV_TEMPO,T_DERIVED_TEMPO,-0.006377963568725672,-0.008850439459294578,-0.004308801570373349,CI_below_zero
