cause,n_first_inward_side_events,share_of_first_inward_side_events,n_upper,n_lower,n_states_with_this_cause,rate_states_with_this_cause
NEW_ACTIVATION,208904,0.9976027429968578,104303,104601,139237,0.5813410713540145
EQUALITY_ELIGIBILITY,497,0.002373379941357936,252,245,497,0.002075069934449501
ACTIVATION_BAR_ELIGIBILITY,5,2.3877061784285074e-05,1,4,5,2.0875955074944677e-05
ACTIVE_ELIGIBLE_ALREADY,0,0.0,0,0,0,0.0
OTHER_INWARD,0,0.0,0,0,0,0.0
