window,n_train_pairs,n_eval_pairs,n_train_positive_gap,n_eval_positive_gap,geometric_p,geometric_mean,mean_gap
A_TB1_to_TB2,12232,12984,419,106,0.0421147854055684,23.744630071599044,0.8133584041857423
B_TB1TB2_to_TB3,25216,12726,525,221,0.040932480898175576,24.430476190476192,0.508645304568528
