block,hazard_bin,conviction_bin,n,mean_p_h,mean_abs_m,observed_H1_rate,mu0,mu1,EV,H1_loss_rate,H1_mean_pi,p_star
TB2,0,0,5788,0.05106457174022379,0.00921897250910156,0.03610919143054596,0.003039932640372246,0.03954673115941887,0.004358163616612871,0.4449760765550239,0.03954673115941887,
TB2,0,1,5671,0.051355567628357704,0.027954039919123857,0.037383177570093455,0.008133059548521166,-0.2201348791421141,-0.0004003213371100626,0.5849056603773585,-0.2201348791421141,0.0356294431674159
TB2,0,2,5388,0.051296568366462444,0.04932248092101019,0.04305864884929473,0.013645502844075631,-0.09731824967984487,0.008867553589148097,0.5086206896551724,-0.09731824967984487,0.12297261523427719
TB2,0,3,4893,0.05101816951549788,0.07631305683020871,0.05702023298589822,0.03768138581095249,-0.36998583131205215,0.014436106109886016,0.6630824372759857,-0.36998583131205215,0.09243172918557972
TB2,0,4,3171,0.04965513536272532,0.14110475144547024,0.15357931251970988,0.07714581769999511,-0.5222647319380775,-0.014911242430481515,0.7802874743326489,-0.5222647319380775,0.12870280268936904
TB2,1,0,5681,0.07727354186751881,0.009064911415605878,0.049463122689667315,0.015361682435468694,-0.04635324283991547,0.012309069514788717,0.47686832740213525,-0.04635324283991547,0.2489135710190337
TB2,1,1,5556,0.07712600473281432,0.028100195476781407,0.04697624190064795,-0.0012365878428631449,-0.10267158975370924,-0.006001623029819739,0.5210727969348659,-0.10267158975370924,
TB2,1,2,5406,0.07738768947648667,0.049265515646620045,0.05179430262671106,0.01845432298919304,-0.11638778453365344,0.011470270065331219,0.4928571428571429,-0.11638778453365344,0.13685875523761223
TB2,1,3,4790,0.07726970822448934,0.07663404055569409,0.0709812108559499,0.03456915105344771,-0.3687627051183854,0.005940167525593165,0.6352941176470588,-0.3687627051183854,0.085708952874578
TB2,1,4,3478,0.07738053573122103,0.1411797356236017,0.19091431857389304,0.10056237217114185,-0.4920740409608669,-0.012580404804031746,0.7620481927710844,-0.4920740409608669,0.16968645520730388
TB2,2,0,5324,0.09896366257373954,0.008991771227430556,0.0608564988730278,0.012594307964234717,-0.10303075604717708,0.005557771386530468,0.48148148148148145,-0.10303075604717708,0.10892368425406192
TB2,2,1,5295,0.09878581171769382,0.028019880793209308,0.07138810198300283,0.010178327182238022,-0.20973898133137603,-0.005521152065759356,0.5132275132275133,-0.20973898133137603,0.046282519784512234
TB2,2,2,5193,0.09889615341582894,0.049334877617290177,0.07683419988445984,0.018229246950651368,-0.17296962708951402,0.0035386344449656404,0.5363408521303258,-0.17296962708951402,0.09534181120136684
TB2,2,3,4984,0.09930329705820212,0.07680622722654556,0.08948635634028893,0.04396776073484886,-0.33199150457447446,0.010324535949945536,0.647982062780269,-0.33199150457447446,0.11694820368018873
TB2,2,4,4115,0.09953928050393916,0.1441000897441623,0.19805589307411908,0.12314763868098635,-0.4471810410980447,0.01019068266156711,0.6993865030674846,-0.4471810410980447,0.21592398041195976
TB2,3,0,4723,0.1255249804587938,0.009090856056939064,0.08066906627143765,0.004461560395870176,-0.09013349462983504,-0.0031693343669487273,0.5170603674540682,-0.09013349462983504,0.047164837471237724
TB2,3,1,4755,0.12548975460601497,0.02808977226986579,0.07549947423764458,0.012628190519722271,-0.07302954745461203,0.0061610763382741116,0.5069637883008357,-0.07302954745461203,0.1474261499119445
