symbol,n,mean_bit_logloss_M2,mean_bit_logloss_M3,delta
SC,901,0.5971205939512216,0.5923306952124214,-0.0047898987388000636
AG,888,0.549773462776062,0.5463106294326511,-0.0034628333434109293
CU,874,0.5267871681181124,0.5258399880267451,-0.0009471800913672671
RU,850,0.5168286641577522,0.5160728230390622,-0.0007558411186899945
MA,792,0.506849178969646,0.5061522758833817,-0.0006969030862642616
TA,831,0.5145510036312043,0.5138741164383656,-0.0006768871928387605
SN,964,0.527952764975277,0.5280312971160974,7.853214082039251e-05
CF,790,0.5327019373069695,0.532840042375974,0.00013810506900460785
RB,854,0.5039562004772999,0.5044845959140594,0.0005283954367593542
M,844,0.5157739473162476,0.5164113773633464,0.0006374300470987355
NI,985,0.5289240262399547,0.5296568822766269,0.0007328560366722564
I,823,0.5162113090167233,0.5172526899932526,0.0010413809765293714
AU,899,0.5433684323384838,0.544624077890752,0.001255645552268221
P,800,0.5227427916981153,0.5242803611940141,0.0015375694958988447
AL,797,0.5357080090615863,0.5373721583445358,0.001664149282949373
