role,delta,model_a,model_b,n_days,n_boot,seed,mean_delta_logloss,ci_lo,ci_hi,verdict
PRIMARY,M3_GEOMETRY_SYMBOL - M1_SYMBOL_ONLY,M1_SYMBOL_ONLY,M3_GEOMETRY_SYMBOL,102,1000,20260913,-0.09910791895301072,-0.11041016013281382,-0.0887998239162068,LOCAL_GEOMETRY_INCREMENT_SUPPORTED
SECONDARY,M2_GEOMETRY_ONLY - M0_GLOBAL_PRIOR,M0_GLOBAL_PRIOR,M2_GEOMETRY_ONLY,102,1000,20260913,-0.10050475476831704,-0.11211016370606723,-0.09044034801906711,LOCAL_GEOMETRY_INCREMENT_SUPPORTED
DIAGNOSTIC,M1_SYMBOL_ONLY - M0_GLOBAL_PRIOR,M0_GLOBAL_PRIOR,M1_SYMBOL_ONLY,102,1000,20260913,-0.00022597469552270612,-0.003187131575203497,0.002795764590767524,LOCAL_GEOMETRY_INCREMENT_AMBIGUOUS
DIAGNOSTIC,M3_GEOMETRY_SYMBOL - M2_GEOMETRY_ONLY,M2_GEOMETRY_ONLY,M3_GEOMETRY_SYMBOL,102,1000,20260913,0.0011708611197835733,-0.0008097844118953924,0.0030941331865348516,LOCAL_GEOMETRY_INCREMENT_AMBIGUOUS
