symbol,violations_timeonly_active,side_position_violations_total,side_position_violations_after_first_observed_bar
AG,753,0,0
AL,576,0,0
AU,806,0,0
CF,420,0,0
CU,675,0,0
I,378,0,0
M,480,0,0
MA,525,0,0
NI,635,0,0
P,644,0,0
RB,448,0,0
RU,460,0,0
SC,792,0,0
SN,648,0,0
TA,515,0,0
