block,cost_ATR0,net_EV_0A,net_EV_0B,net_ENEV_0A,net_ENEV_0B,total_net_0A,total_net_0B,break_even_cost_0A,break_even_cost_0B
TB2,0.0,0.0061015680383885,0.005310723359652136,0.0061015680383885,0.005944395270358869,759.986908589518,661.4824587848315,0.0061015680383885,0.005944395270358869
TB2,0.01,-0.003898431961611499,-0.0036232776919494056,-0.003898431961611499,-0.004055604729641131,-485.5730914104819,-451.30097619845014,0.0061015680383885,0.005944395270358869
TB2,0.02,-0.013898431961611507,-0.012557278743550945,-0.013898431961611507,-0.014055604729641128,-1731.1330914104828,-1564.0844111817314,0.0061015680383885,0.005944395270358869
TB2,0.03,-0.023898431961611503,-0.021491279795152488,-0.023898431961611503,-0.02405560472964113,-2976.6930914104823,-2676.8678461650134,0.0061015680383885,0.005944395270358869
TB2,0.05,-0.0438984319616115,-0.039359281898355566,-0.0438984319616115,-0.04405560472964113,-5467.813091410482,-4902.434716131576,0.0061015680383885,0.005944395270358869
TB2,0.1,-0.09389843196161152,-0.08402928715636328,-0.09389843196161152,-0.09405560472964114,-11695.613091410483,-10466.351891047985,0.0061015680383885,0.005944395270358869
TB3,0.0,0.0013941236469649282,0.001082610548625883,0.0013941236469649282,0.001210299727745094,167.54577989224506,130.1081357338586,0.0013941236469649282,0.001210299727745094
TB3,0.01,-0.008605876353035072,-0.007862368317418246,-0.008605876353035072,-0.008789700272254907,-1034.254220107755,-944.8994243873249,0.0013941236469649282,0.001210299727745094
TB3,0.02,-0.01860587635303508,-0.016807347183462374,-0.01860587635303508,-0.01878970027225491,-2236.054220107756,-2019.9069845085082,0.0013941236469649282,0.001210299727745094
TB3,0.03,-0.028605876353035076,-0.025752326049506502,-0.028605876353035076,-0.028789700272254908,-3437.8542201077553,-3094.9145446296916,0.0013941236469649282,0.001210299727745094
TB3,0.05,-0.04860587635303508,-0.043642283781594765,-0.04860587635303508,-0.04878970027225492,-5841.454220107756,-5244.929664872059,0.0013941236469649282,0.001210299727745094
TB3,0.1,-0.09860587635303508,-0.08836717811181541,-0.09860587635303508,-0.09878970027225491,-11850.454220107757,-10619.967465477976,0.0013941236469649282,0.001210299727745094
