window,comparison,delta_sample_mean,ci_lo,ci_hi,n_pairs,estimand,cluster,resampling,verdict
A_TB1_to_TB2,R1-R0,-0.8199034580255571,-0.8675890727272703,-0.7645109213283005,12984,EPISODE_WEIGHTED_MEAN,TRADING_DAY,WITH_REPLACEMENT_MULTIPLICITY_PRESERVED,CI_below_zero
A_TB1_to_TB2,R2-R1,-0.0021374273777965387,-0.00462430890505592,0.0006162820993363186,12984,EPISODE_WEIGHTED_MEAN,TRADING_DAY,WITH_REPLACEMENT_MULTIPLICITY_PRESERVED,CI_contains_zero
B_TB1TB2_to_TB3,R1-R0,-0.8213549023601068,-0.865607871278059,-0.7707862134888515,12726,EPISODE_WEIGHTED_MEAN,TRADING_DAY,WITH_REPLACEMENT_MULTIPLICITY_PRESERVED,CI_below_zero
B_TB1TB2_to_TB3,R2-R1,0.0003416174373403235,-0.002039681547849961,0.0026201156577934353,12726,EPISODE_WEIGHTED_MEAN,TRADING_DAY,WITH_REPLACEMENT_MULTIPLICITY_PRESERVED,CI_contains_zero
