window,comparison,symbol,n_episodes,mean_delta,n_negative,n_positive
A_TB1_to_TB2,T0-TP,AG,930,0.001882318865771749,482,448
A_TB1_to_TB2,T0-TP,AL,805,-0.002620792908163346,455,350
A_TB1_to_TB2,T0-TP,AU,928,-0.006290096094740982,506,422
A_TB1_to_TB2,T0-TP,CF,797,-0.0031632743683693457,441,356
A_TB1_to_TB2,T0-TP,CU,881,-0.0009281762228054315,490,391
A_TB1_to_TB2,T0-TP,I,823,-0.0003265372423933185,451,372
A_TB1_to_TB2,T0-TP,M,845,-0.003408744060487115,458,387
A_TB1_to_TB2,T0-TP,MA,796,-0.0051365216218452,450,346
A_TB1_to_TB2,T0-TP,NI,985,-0.002883739049273072,529,456
A_TB1_to_TB2,T0-TP,P,805,-0.009847770843487647,437,368
A_TB1_to_TB2,T0-TP,RB,854,-0.0028159138957646766,444,410
A_TB1_to_TB2,T0-TP,RU,850,-0.004812042357443305,456,394
A_TB1_to_TB2,T0-TP,SC,905,-0.0007766664216525405,489,416
A_TB1_to_TB2,T0-TP,SN,964,-0.004178971564879556,495,469
A_TB1_to_TB2,T0-TP,TA,831,-0.0033257618987138954,469,362
A_TB1_to_TB2,T1-T0,AG,930,-0.022476637161294832,518,412
A_TB1_to_TB2,T1-T0,AL,805,-0.06035563916720375,489,316
A_TB1_to_TB2,T1-T0,AU,928,-0.010195833713345832,501,427
A_TB1_to_TB2,T1-T0,CF,797,-0.015499487101748775,474,323
A_TB1_to_TB2,T1-T0,CU,881,-0.038367376760348036,518,363
A_TB1_to_TB2,T1-T0,I,823,-0.01255930839786809,492,331
A_TB1_to_TB2,T1-T0,M,845,-0.012066207710209291,510,335
A_TB1_to_TB2,T1-T0,MA,796,-0.0162662298021182,474,322
A_TB1_to_TB2,T1-T0,NI,985,-0.05701380358952874,648,337
A_TB1_to_TB2,T1-T0,P,805,-0.0056251722061762,466,339
A_TB1_to_TB2,T1-T0,RB,854,-0.024532214316280776,517,337
A_TB1_to_TB2,T1-T0,RU,850,-0.008125686799556041,507,343
A_TB1_to_TB2,T1-T0,SC,905,-0.014936576127055063,524,381
A_TB1_to_TB2,T1-T0,SN,964,-0.04922403550946656,585,379
A_TB1_to_TB2,T1-T0,TA,831,-0.005702047371047183,484,347
A_TB1_to_TB2,T2-T1,AG,930,0.002977969647722272,421,509
A_TB1_to_TB2,T2-T1,AL,805,-0.010399114876781594,410,395
A_TB1_to_TB2,T2-T1,AU,928,0.003564222657127693,429,499
A_TB1_to_TB2,T2-T1,CF,797,-0.0034447103684259496,388,409
A_TB1_to_TB2,T2-T1,CU,881,0.004203579190033802,397,484
A_TB1_to_TB2,T2-T1,I,823,-0.0026938855634787563,379,444
A_TB1_to_TB2,T2-T1,M,845,-0.0030476866518983742,396,449
A_TB1_to_TB2,T2-T1,MA,796,-0.004344170606472073,380,416
A_TB1_to_TB2,T2-T1,NI,985,-0.011035320245876593,468,517
A_TB1_to_TB2,T2-T1,P,805,-7.813623448781496e-05,375,430
A_TB1_to_TB2,T2-T1,RB,854,-0.0028692003025223927,391,463
A_TB1_to_TB2,T2-T1,RU,850,-0.0018202123570995603,400,450
A_TB1_to_TB2,T2-T1,SC,905,0.0020988847111625443,405,500
A_TB1_to_TB2,T2-T1,SN,964,0.0010096281111701116,440,524
A_TB1_to_TB2,T2-T1,TA,831,-0.0029789331657133445,373,458
B_TB1TB2_to_TB3,T0-TP,AG,869,-0.0044726782870599426,471,398
B_TB1TB2_to_TB3,T0-TP,AL,851,0.0009327839691758601,433,418
