window,target,kind,mean_nll_k0,mean_nll_k1,delta_k1_minus_k0
A_TB1_to_TB2,z_d_up,node,0.7682556373883138,0.7567765340808795,-0.01147910330743429
A_TB1_to_TB2,z_dmfe,node,0.40485935369705467,0.2621028276340016,-0.14275652606305306
A_TB1_to_TB2,z_dmae,node,0.4019152964479682,0.26519558770015544,-0.13671970874781275
A_TB1_to_TB2,z_dcr,node,0.474843396553969,-0.3237811841994969,-0.798624580753466
A_TB1_to_TB2,z_range,node,0.40722591299574645,0.18132211812260565,-0.2259037948731408
A_TB1_to_TB2,z_uresid,node,0.26261074839609094,0.08946962927616701,-0.17314111911992391
A_TB1_to_TB2,z_lresid,node,0.25360818051390555,0.0787288556220883,-0.17487932489181723
A_TB1_to_TB2,z_delta_upper_count,discrete_count,0.036794045072572105,0.03593553166744913,-0.0008585134051229751
A_TB1_to_TB2,z_delta_lower_count,discrete_count,0.03571987347793277,0.03496133328468242,-0.0007585401932503483
B_TB1TB2_to_TB3,z_d_up,node,0.8176606398918018,0.8104345496063184,-0.0072260902854833775
B_TB1TB2_to_TB3,z_dmfe,node,0.42808891504483065,0.27259829096348354,-0.15549062408134712
B_TB1TB2_to_TB3,z_dmae,node,0.42601836170663054,0.2782651695816678,-0.14775319212496274
B_TB1TB2_to_TB3,z_dcr,node,0.48106712023751286,-0.31637748572289875,-0.7974446059604117
B_TB1TB2_to_TB3,z_range,node,0.3878769112299315,0.17845347868198044,-0.20942343254795107
B_TB1TB2_to_TB3,z_uresid,node,0.22993412822362502,0.06561880917249704,-0.16431531905112798
B_TB1TB2_to_TB3,z_lresid,node,0.22251379897792045,0.06353465039823565,-0.15897914857968481
B_TB1TB2_to_TB3,z_delta_upper_count,discrete_count,0.030620608962057705,0.029996953551262,-0.0006236554107957037
B_TB1TB2_to_TB3,z_delta_lower_count,discrete_count,0.030562025782364242,0.02976780719456611,-0.0007942185877981324
