window,model,target,kind,prevalence,logloss,brier,pr_auc,p_zero,p_interior,p_one,cat_nll,interior_nll,actual_mean_increment,predicted_mean_increment,mean_ztp_lambda
A_TB1_to_TB2,K1_STATE,z_dmfe,hurdle_occurrence,0.13556298573823247,0.2595535218715668,0.08096195757389069,0.5431437816770243,,,,,,,,
A_TB1_to_TB2,K1_STATE,z_dmae,hurdle_occurrence,0.132999273913784,0.2604144811630249,0.08129750192165375,0.5230324638584396,,,,,,,,
A_TB1_to_TB2,K1_STATE,z_range,hurdle_occurrence,0.9993008058660595,0.0043534692376852036,0.000432804023148492,0.9997812091429714,,,,,,,,
A_TB1_to_TB2,K1_STATE,z_uresid,hurdle_occurrence,0.049060121731491525,0.033275503665208817,0.005473512690514326,0.91299678735251,,,,,,,,
A_TB1_to_TB2,K1_STATE,z_lresid,hurdle_occurrence,0.0474017766702224,0.032288797199726105,0.005280504934489727,0.9114864946144043,,,,,,,,
A_TB1_to_TB2,K1_STATE,z_dcr,dcr,,,,,0.19482417060336868,0.6984142635603324,0.10676156583629894,0.25906598567962646,-0.834529326657786,,,
A_TB1_to_TB2,K1_STATE,z_delta_upper_count,hurdle_count_closure,0.0059252220837778,0.03553256032817303,0.0058809172205116925,0.01089235718781777,,,,,,0.005996934302643492,0.00490569492819432,0.011834365529763297
A_TB1_to_TB2,K1_STATE,z_delta_lower_count,hurdle_count_closure,0.005710085427180724,0.034493664664385394,0.005675090935082818,0.009847820661928986,,,,,,0.005799725700762839,0.005103810811825547,0.043337776306423395
B_TB1TB2_to_TB3,K1_STATE,z_dmfe,hurdle_occurrence,0.14681819451037334,0.2673014998435974,0.08402231335639954,0.5737037884711347,,,,,,,,
B_TB1TB2_to_TB3,K1_STATE,z_dmae,hurdle_occurrence,0.1422760822420164,0.2653825283050537,0.08329237252473831,0.5621308309423613,,,,,,,,
B_TB1TB2_to_TB3,K1_STATE,z_range,hurdle_occurrence,0.9970960265825259,0.011095642112195492,0.0020088909659534693,0.9995540860559254,,,,,,,,
B_TB1TB2_to_TB3,K1_STATE,z_uresid,hurdle_occurrence,0.04169807984065377,0.028280198574066162,0.0045376187190413475,0.9140710018718334,,,,,,,,
B_TB1TB2_to_TB3,K1_STATE,z_lresid,hurdle_occurrence,0.040804549558354046,0.027841703966259956,0.004449266474694014,0.9135494065313121,,,,,,,,
B_TB1TB2_to_TB3,K1_STATE,z_dcr,dcr,,,,,0.1974050391384879,0.6993084447919284,0.10328651606958367,0.25945815443992615,-0.8234358392810611,,,
B_TB1TB2_to_TB3,K1_STATE,z_delta_upper_count,hurdle_count_closure,0.00475618723182457,0.029604651938152086,0.004745252457500142,0.009155953933435563,,,,,,0.00483064808868288,0.005486187067343719,0.018792894837825366
B_TB1TB2_to_TB3,K1_STATE,z_delta_lower_count,hurdle_count_closure,0.00475618723182457,0.02941984297777216,0.004724994954470107,0.010063611185691117,,,,,,0.004821340481575591,0.0055508312462816695,0.03658672287952485
