block,target,model,mse,mae,spearman,log_loss,brier,roc_auc,pr_auc
TB2,pi,PAYOFF_M0,0.3575423628172885,0.3786367535059093,0.002890048751026897,,,,
TB2,pi,PAYOFF_M1,0.3575940645125384,0.3786588042460816,0.0021923085851040967,,,,
TB2,harm_flag,HARM_M0,,,,0.6773371382326887,0.2421121951019616,0.5391156997415638,0.4467737210385789
TB2,harm_flag,HARM_M1,,,,0.6773635366346481,0.2421176610597739,0.5390664392935391,0.4466999511614912
TB2,pi,PAYOFF_DELTA,-5.170169524987278e-05,,,,,,
TB2,harm_flag,HARM_DELTA,,,,-2.6398401959393247e-05,,,
TB3,pi,PAYOFF_M0,0.8675132390507163,0.3963749180452949,0.01188740833020585,,,,
TB3,pi,PAYOFF_M1,0.8674978607803991,0.39637122911739525,0.011705703305631955,,,,
TB3,harm_flag,HARM_M0,,,,0.6812962371286848,0.24435571312098897,0.5429245984814026,0.46584397349379003
TB3,harm_flag,HARM_M1,,,,0.6812815309690309,0.2443515414140041,0.5427938874327999,0.4654828786578476
TB3,pi,PAYOFF_DELTA,1.5378270317167875e-05,,,,,,
TB3,harm_flag,HARM_DELTA,,,,1.4706159653932183e-05,,,
