symbol,n_bars,n_discontinuities,discontinuity_bars,n_identities,n_identities_expiring_before_end_of_data,n_identities_roll_censored
AG,44451,0,,5762,0,0
AL,37323,0,,5473,0,0
AU,44451,0,,5911,0,0
CF,27819,0,,5125,0,0
CU,37323,0,,5528,0,0
I,27819,0,,5170,0,0
M,27819,0,,5052,0,0
MA,27819,0,,5020,0,0
NI,37323,0,,5613,0,0
P,27819,0,,5021,0,0
RB,27819,0,,5203,0,0
RU,27819,0,,5050,0,0
SC,44449,2,30496;30498,5624,3806,77
SN,37323,0,,5652,0,0
TA,27819,0,,5085,0,0
