window,target,constant_ztp_lambda,state_dependent_magnitude,mean_occ_nll_m0,mean_occ_nll_mz,mean_occ_nll_mc,delta_occ_nll_mz_minus_m0,delta_count_nll_mz_minus_m0,count_minus_occurrence_residual
A_TB1_to_TB2,z_delta_upper_count,0.011834365529763295,False,0.03554834184865266,0.03554157536198393,0.03551097891711239,-6.766486668729092e-06,-6.766486668729068e-06,1.7763568394002505e-15
A_TB1_to_TB2,z_delta_lower_count,0.0433377763064234,False,0.034492151049818044,0.03448038459260435,0.03447984866732408,-1.1766457213687074e-05,-1.1766457213687059e-05,1.7763568394002505e-15
B_TB1TB2_to_TB3,z_delta_upper_count,0.018792894837825362,False,0.029600320306166442,0.029548507121338205,0.02956046677235368,-5.181318482823363e-05,-5.1813184828233644e-05,1.7763568394002505e-15
B_TB1TB2_to_TB3,z_delta_lower_count,0.036586722879524844,False,0.029416312196246668,0.02943055340814666,0.029396774800266503,1.4241211899988797e-05,1.424121189998861e-05,8.881784197001252e-16
