event_id,symbol,trigger_time,timeframe,object_type,structure_class,bias,object_price_center,source_index,confirmed_index,age_bars,zone_low,zone_high,canonical_bar_low,canonical_bar_high,canonical_endpoints_swapped,relation,distance_pct
AG:1h:1:1:2676:2688:2,AG,2026-02-06 09:25:00,4h,EQL,equal,0,9720.0009765625,657,667,388,9720.0009765625,9720.0009765625,,,,below,46.39311175511527
AG:1h:1:1:2676:2688:3,AG,2026-03-19 14:35:00,5m,current_internal_high,internal,0,19025.0,31748,31753,14,19025.0,19025.0,,,,above,5.694444444444445
AG:1h:1:1:2676:2688:3,AG,2026-03-19 14:35:00,5m,current_internal_low,internal,0,18940.0,31747,31752,15,18940.0,18940.0,,,,above,5.222222222222222
AG:1h:1:1:2676:2688:3,AG,2026-03-19 14:35:00,5m,current_swing_high,swing,0,19355.0,31675,31725,42,19355.0,19355.0,,,,above,7.527777777777778
AG:1h:1:1:2676:2688:3,AG,2026-03-19 14:35:00,5m,current_swing_low,swing,0,18802.0,31665,31715,52,18802.0,18802.0,,,,above,4.455555555555556
AG:1h:1:1:2676:2688:3,AG,2026-03-19 14:35:00,5m,active_bull_swing_ob,swing,1,18100.0,29241,29286,2481,17900.0,18300.0,17900.0,18300.0,False,overlap,0.0
AG:1h:1:1:2676:2688:3,AG,2026-03-19 14:35:00,5m,active_bear_internal_ob,internal,-1,19001.0,31748,31754,13,18977.0,19025.0,18977.0,19025.0,False,above,5.427777777777778
AG:1h:1:1:2676:2688:3,AG,2026-03-19 14:35:00,5m,active_bull_internal_ob,internal,1,17854.0,26970,26982,4785,17805.0,17903.0,17805.0,17903.0,False,below,0.538888888888889
AG:1h:1:1:2676:2688:3,AG,2026-03-19 14:35:00,5m,active_bull_swing_ob,swing,1,17854.0,26970,27095,4672,17805.0,17903.0,17805.0,17903.0,False,below,0.538888888888889
AG:1h:1:1:2676:2688:3,AG,2026-03-19 14:35:00,5m,active_bull_internal_ob,internal,1,16993.5,26570,26577,5190,16950.0,17037.0,16950.0,17037.0,False,below,5.35
AG:1h:1:1:2676:2688:3,AG,2026-03-19 14:35:00,5m,EQH,equal,0,18019.0,26172,26184,5583,18019.0,18019.0,,,,above,0.10555555555555554
