meta_base_bar_index,meta_base_bar_time,meta_decision_time,feat_15m_ret_1,feat_15m_ret_4,feat_15m_ret_8,feat_15m_ret_16,feat_15m_location_32,feat_15m_volume_ratio_32,feat_15m_oi_log_change_4,feat_time_tod_sin,feat_time_tod_cos,feat_time_dow_sin,feat_time_dow_cos,feat_time_decision_gap_minutes,feat_time_after_long_gap,feat_time_bars_since_segment_start,feat_5m_1h_rv,feat_5m_4h_rv,feat_5m_rv_rate_ratio_1h_4h,target_raw_return_h4,target_long_mfe_h4,target_short_mfe_h4,target_raw_return_h8,target_long_mfe_h8,target_short_mfe_h8,target_raw_return_h16,target_long_mfe_h16,target_short_mfe_h16
6699,2026-04-01 00:45:00,2026-04-01 09:00:00,0.00306908341943668,0.013142908386342356,0.013926194717530649,0.019589475851271132,0.9284436493738819,0.9538233823382338,-0.01838033413970308,0.7071067811865476,-0.7071067811865475,0.9749279121818236,-0.22252093395631434,495.0,1,15,0.00010010762764949056,0.0001716332798074057,2.333058664655806,-0.006357841668301531,0.0034149151000692026,0.012299884258039946,-0.006010976128583021,0.0034149151000692026,0.012299884258039946,-0.002548922071423472,0.0034149151000692026,0.013643067804507482
6700,2026-04-01 09:00:00,2026-04-01 09:15:00,0.0003729852181244553,0.0131919545021848,0.011735525731104701,0.01882180751425544,0.7792592592592592,1.9353315953841892,-0.0012245599237861171,0.6593458151000686,-0.7518398074789776,0.9749279121818236,-0.22252093395631434,15.0,0,0,0.00011494054282291774,0.000178954773935342,2.5691528713158958,-0.0007994244569962715,0.0007189360057237113,0.007808361418712933,-0.0013327293600420035,0.0028195257407252804,0.007808361418712933,-0.00013319303686493443,0.0048626984096310855,0.00915154496518064
6701,2026-04-01 09:15:00,2026-04-01 09:30:00,-0.00429775230075613,0.009731259588731334,0.008732271992995422,0.017024328284678703,0.66,0.9926677253030763,0.0017477142628834486,0.6087614290087204,-0.7933533402912353,0.9749279121818236,-0.22252093395631434,15.0,0,1,0.00012465670840719007,0.0001825381840589293,2.7316302953237837,0.0027249429128863604,0.004510824266619465,0.0035106091179558795,0.005176381695513926,0.007117278041482302,0.0035106091179558795,0.00371157019449961,0.00916045071038826,0.004853792664423506
6702,2026-04-01 09:30:00,2026-04-01 09:45:00,0.0011763763621672751,0.00032069269897228025,0.009584866581247908,0.015646147179703362,0.6925925925925925,0.8538479122819463,0.002151841643575736,0.5555702330196022,-0.8314696123025453,0.9749279121818236,-0.22252093395631434,15.0,0,2,6.783615211034554e-05,0.00019324815377417946,1.4041252303939857,-0.0006949642105861178,0.0033344479044516632,0.0015509683288746224,-0.004069726359308035,0.005940901679314508,0.006030169026591231,0.00042743034871895136,0.007984074348220549,0.006030169026591231
6703,2026-04-01 09:45:00,2026-04-01 10:00:00,0.0012550571096152652,-0.0014933336108491346,0.011649574775493221,0.015057285983909097,0.7274074074074074,0.6109061455907664,0.006024338624468939,0.49999999999999994,-0.8660254037844387,0.9749279121818236,-0.22252093395631434,15.0,0,3,4.6933167141654696e-05,0.0001919335573039446,0.9781127969682066,0.0003468655397186149,0.0020793907948368057,0.0028060254384894338,-0.002163953664913024,0.004685844569699735,0.007285226136205976,-0.0028863134047045205,0.006729017238605702,0.007285226136205976
6704,2026-04-01 10:00:00,2026-04-01 10:30:00,0.0010668943719771562,-0.0007994244569964337,0.012392530045188366,0.008620973850305802,0.7570370370370371,0.6654164004698803,-0.006737343835485632,0.3826834323650899,-0.9238795325112867,0.9749279121818236,-0.22252093395631434,30.0,1,4,3.589276979617154e-05,0.00017346784918874597,0.8276523854773232,0.0005069032323574976,0.004659158333124843,0.0028327116750645805,-0.0010145779692334257,0.004659158333124843,0.0073119123727810225,-0.007984181305663135,0.006702331002030726,0.01000370403849242
6705,2026-04-01 10:30:00,2026-04-01 10:45:00,-0.000773384930873533,0.0027249429128861635,0.012456202501617497,0.009974075232388913,0.7355555555555555,0.6213309386755169,-0.005301781730285171,0.32143946530316175,-0.9469301294951056,0.9749279121818236,-0.22252093395631434,15.0,0,0,3.5820818639151645e-05,0.00017712075182515997,0.808958143414188,0.002451438782627615,0.004392335128596034,0.002617942404531714,0.0014662563776474315,0.004392335128596034,0.0075787355773097595,-0.008977562942648766,0.006435507797501932,0.012942557550382733
6706,2026-04-01 10:45:00,2026-04-01 11:00:00,-0.0022435307613051236,-0.0006949642105862353,-0.000374271511613955,0.008997817980757716,0.6733333333333333,0.5801400906468892,-9.88337616938395e-05,0.258819045102521,-0.9659258262890682,0.9749279121818236,-0.22252093395631434,15.0,0,1,2.303721325901117e-05,0.00017625579255398275,0.5228131892903423,-0.0033747621487219084,0.006635865889900714,0.0053352048160051225,0.0032568101397732682,0.006635865889900714,0.0053352048160051225,-0.0026238301532339253,0.008679038558806628,0.01069902678907798
6707,2026-04-01 11:00:00,2026-04-01 11:15:00,0.002296886859920022,0.00034686553971852163,-0.001146468071130613,0.012779726646400036,0.7290076335877863,0.5368249345106116,0.0028630683986374805,0.19509032201612816,-0.9807852804032304,0.9749279121818236,-0.22252093395631434,15.0,0,2,2.4221049852871828e-05,0.00017729483667348523,0.5464580990021382,-0.0025108192046316073,0.004338979029981352,0.007632091675924439,0.003462054057159448,0.006382151698887271,0.007632091675924439,-0.006852825490229896,0.006382151698887271,0.012995913648997453
6708,2026-04-01 11:15:00,2026-04-01 13:30:00,0.00018672392921281755,-0.000533304903045817,-0.0013327293600422507,0.01040279637106245,0.7343511450381679,1.0974459928508522,-0.00685756583412811,-0.3826834323650892,-0.923879532511287,0.9749279121818236,-0.22252093395631434,135.0,1,3,3.0769084909435145e-05,0.00018526318416222395,0.6643324208978831,-0.0016815025381104933,0.00391254508132655,0.007978836941658175,0.0010395149866574787,0.006035406433153615,0.007978836941658175,-0.004570672841894044,0.006035406433153615,0.013342658914731114
6709,2026-04-01 13:30:00,2026-04-01 13:45:00,0.002211358754799164,0.00245143878262688,0.005176381695513044,0.013908653688508466,0.7977099236641222,0.9418581230206177,0.0032830213509420503,-0.44228869021900147,-0.8968727415326881,0.9749279121818236,-0.22252093395631434,15.0,0,0,2.4427079114324326e-05,0.00018802554981410096,0.5196544647996008,-0.0009851824049801475,0.000399121937048448,0.010030174359937251,-0.001464811501014301,0.003984069014874513,0.010030174359937251,-0.005122880010198022,0.003984069014874513,0.015393996333010277
6710,2026-04-01 13:45:00,2026-04-01 14:00:00,-0.008069731692653903,-0.0033747621487218993,-0.0040697263593081345,0.005515140221939774,0.5412621359223301,1.190209610356209,-0.0029447813314540383,-0.5000000000000001,-0.8660254037844386,0.9749279121818236,-0.22252093395631434,15.0,0,1,4.908962466872879e-05,0.00021857350602284058,0.8983636775007673,0.006631572288495176,0.007989888185884841,0.0006441051187499171,0.004497156708026862,0.012053800707528501,0.0006441051187499171,0.0019566068505041502,0.012053800707528501,0.007324264640356161
6711,2026-04-01 14:00:00,2026-04-01 14:15:00,0.0031608298040097793,-0.002510819204632142,-0.0021639536649136204,0.0094856211105796,0.6367313915857605,0.8481222883578016,-0.005164394532158667,-0.5555702330196023,-0.8314696123025452,0.9749279121818236,-0.22252093395631434,15.0,0,2,5.1113880879804155e-05,0.00022237572552382122,0.9194147564335434,0.005972873261791132,0.008892970903518767,0.0018470686391138258,-0.0007223597397915183,0.008892970903518767,0.0023830892351383733,-0.004019728855656958,0.008892970903518767,0.010485094444365853
6712,2026-04-01 14:15:00,2026-04-01 14:30:00,0.0011760619322540578,-0.0015214812015909018,-0.002054786104636719,0.010337743940551647,0.6707317073170732,0.7022095386344964,-0.0015413686424778916,-0.6087614290087207,-0.7933533402912352,0.9749279121818236,-0.22252093395631434,15.0,0,3,4.135203347870401e-05,0.00022295443100722842,0.7418921129647938,0.0027210175247678508,0.007716908971264132,0.0021125544351771643,-0.006969603336429816,0.007716908971264132,0.008989126069259164,-0.0040418154837378265,0.007716908971264132,0.011661156376620598
6713,2026-04-01 14:30:00,2026-04-01 14:45:00,0.002747657551410043,-0.0009851824049800229,0.0014662563776468573,0.013922458879264354,0.7522559474979491,0.8547438837261426,-0.00965760422078965,-0.6593458151000688,-0.7518398074789775,0.9749279121818236,-0.22252093395631434,15.0,0,4,4.512748572770501e-05,0.000230032091888371,0.7847163473104315,-0.0004796290960341162,0.004969251419854613,0.004860211986586595,-0.010443819320296177,0.004969251419854613,0.014408813928030235,-0.004672843311404228,0.004969251419854613,0.014408813928030235
6714,2026-04-01 14:45:00,2026-04-01 21:00:00,-0.0004529769991794552,0.006631572288494425,0.0032568101397725258,0.0028825386281585708,0.7383100902379,0.7009123208870727,-0.020126339569857876,-0.7071067811865477,0.7071067811865474,0.9749279121818236,-0.22252093395631434,375.0,1,5,1.5815578956827145e-05,0.00015577856899491263,0.40610410170974537,-0.0010410967158104795,0.006515547283691161,0.0033139161227500958,-0.004787321428349326,0.006515547283691161,0.01286251806419341,-0.003983376696442938,0.006515547283691161,0.01286251806419341
6715,2026-04-01 21:00:00,2026-04-01 21:15:00,0.002502130777306988,0.005972873261791634,0.0034620540571594915,0.0023155859860288786,0.815422477440525,2.7040953537782797,0.01858018524943006,-0.6593458151000687,0.7518398074789775,0.9749279121818236,-0.22252093395631434,15.0,0,0,2.8017745302044344e-05,0.00015028584317637502,0.7457188171520002,-0.006695233001582563,0.0018857656881137352,0.00835596249692938,-0.01031487954738937,0.0018857656881137352,0.01645796770615702,-0.015026598884363944,0.0018857656881137352,0.022448687836009826
6716,2026-04-01 21:15:00,2026-04-01 21:30:00,-0.002075793804769077,0.0027210175247684987,0.0011995363231775968,-0.0001331930368646539,0.7365217391304347,1.3274854297275973,0.02651568204119492,-0.6087614290087209,0.7933533402912349,0.9749279121818236,-0.22252093395631434,15.0,0,1,2.950961218481111e-05,0.0001375235003691218,0.858314749278645,-0.009690620861197763,0.002713633675437915,0.01171014359402701,-0.0056101878285516075,0.002713633675437915,0.014382173901388528,-0.025743461579068566,0.002713633675437915,0.02664592701162895
6717,2026-04-01 21:30:00,2026-04-01 21:45:00,-0.00045298906939272854,-0.00047962909603427306,-0.001464811501014296,0.003711570194498748,0.7153024911032029,1.3565330859144964,0.026373535965687367,-0.5555702330196022,0.8314696123025452,0.9749279121818236,-0.22252093395631434,15.0,0,2,3.131285824233304e-05,0.00013668824172351402,0.9163292422963809,-0.009964190224262039,0.0018639334380627327,0.013929184831995935,-0.00365806850918374,0.0018639334380627327,0.013929184831995935,-0.03099239864636731,0.0018639334380627327,0.038581258799188625
6718,2026-04-01 21:45:00,2026-04-01 22:00:00,-0.0021077634836128567,-0.0021344155804676745,0.0044971567080267505,0.00042743034871861596,0.5993975903614458,1.3014250597646582,0.05173949922066612,-0.5000000000000004,0.8660254037844384,0.9749279121818236,-0.22252093395631434,15.0,0,3,3.368577274210536e-05,0.00012162818962667246,1.1078278101647658,-0.0037462247125388494,0.0,0.011821421348383017,-0.0025405498575227013,0.0,0.011821421348383017,-0.025125386974745843,0.0015745723219541042,0.036473495315575845
6719,2026-04-01 22:00:00,2026-04-01 22:15:00,-0.0020586866438083717,-0.006695233001583034,-0.0007223597397914006,-0.002886313404705021,0.49736008447729674,1.3287880131966359,0.009776478991371462,-0.4422886902190014,0.8968727415326883,0.9749279121818236,-0.22252093395631434,15.0,0,4,1.8557192570403497e-05,0.00012190986860512382,0.6088823745848428,-0.0036196465458067447,0.0008293316330285321,0.009762734704574332,-0.0032973691158654523,0.0008560728184669805,0.009762734704574332,-0.026001546163927844,0.003633258965762871,0.034414808671766994
6720,2026-04-01 22:15:00,2026-04-01 22:30:00,-0.005071181664384028,-0.009690620861197985,-0.006969603336429486,-0.009024389441066205,0.25280898876404495,1.5883820263112933,0.007314544555480751,-0.38268343236508956,0.9238795325112868,0.9749279121818236,-0.22252093395631434,15.0,0,5,3.524643987354961e-05,0.00013687717044649986,1.0300166129552222,0.004080433032646136,0.005472557049406342,0.004691553040190908,0.002927787852691824,0.005927254482850432,0.004691553040190908,-0.02713001237906965,0.008704440630146318,0.032117553890108765
