meta_base_bar_index,meta_base_bar_time,meta_decision_time,feat_15m_ret_1,feat_15m_ret_4,feat_15m_ret_8,feat_15m_ret_16,feat_15m_location_32,feat_15m_volume_ratio_32,feat_15m_oi_log_change_4,feat_time_tod_sin,feat_time_tod_cos,feat_time_dow_sin,feat_time_dow_cos,feat_time_decision_gap_minutes,feat_time_after_long_gap,feat_time_bars_since_segment_start,feat_5m_1h_rv,feat_5m_4h_rv,feat_5m_rv_rate_ratio_1h_4h,target_raw_return_h4,target_long_mfe_h4,target_short_mfe_h4,target_raw_return_h8,target_long_mfe_h8,target_short_mfe_h8,target_raw_return_h16,target_long_mfe_h16,target_short_mfe_h16
6699,2026-04-27 22:45:00,2026-04-27 23:00:00,-0.002685718969464901,-0.00498968226794716,-0.012188753487734516,-0.012666853844791603,0.0995260663507109,1.2803446886894498,0.007413343929783878,-0.2588190451025207,0.9659258262890683,0.0,1.0,15.0,0,7,2.2461833922677685e-05,0.0001603433755266031,0.5603432969752085,-0.0010224674642959882,0.001719690879526679,0.004366230691952577,0.0006452306923498335,0.0022028215757748503,0.004366230691952577,0.003114765420323784,0.008462371746919157,0.004366230691952577
6700,2026-04-27 23:00:00,2026-04-27 23:15:00,-0.0017226533114449438,-0.004837418731769461,-0.0035497267414115186,-0.014336396180841149,0.10629067245119306,1.5310301477165582,0.013804251585545657,-0.19509032201612872,0.9807852804032303,0.0,1.0,15.0,0,8,3.8759656806306804e-05,0.0001802027572611188,0.8603565760127185,0.00010775281514657434,0.0034423441909726986,0.0008085164165005007,0.0013460763911610294,0.003925474887221108,0.0008085164165005007,0.003334950108283627,0.010185025058365412,0.0008085164165005007
6701,2026-04-27 23:15:00,2026-04-27 23:30:00,0.0030126986419354296,-0.0005907150508743797,-0.004127696230204592,-0.011164347685966192,0.227765726681128,0.961315410946235,0.01217003201641731,-0.13052619222005168,0.9914448613738104,0.0,1.0,15.0,0,9,4.659393619185945e-05,0.0001889734514109365,0.9862535894640045,-0.0015590143737747443,0.00042964554903666215,0.0038212150584364443,-0.0010749221716522957,0.0009127762452851027,0.0038212150584364443,-0.00776535394779641,0.007172326416429141,0.008523545156605652
6702,2026-04-27 23:30:00,2026-04-27 23:45:00,-0.0008598452808339374,-0.0022555189198083525,-0.0026845653706679684,-0.008352120508183347,0.19305856832971802,0.5685903870471523,0.010379658717475593,-0.06540312923014367,0.9978589232386035,0.0,1.0,15.0,0,10,3.841127608172978e-05,0.00017543953518485243,0.8757724087961728,0.0,0.0017726215261199957,0.002961369777601473,0.0011283953804698819,0.0017726215261199957,0.002961369777601473,-0.00371657533728374,0.008032171697264253,0.010104643834072431
6703,2026-04-27 23:45:00,2026-04-28 00:00:00,-0.0014526675139521217,-0.0010224674642955733,-0.006012149732242733,-0.00943150445560903,0.13449023861171366,0.5401709700999295,0.0030897797703826058,0.0,1.0,0.7818314824680298,0.6234898018587336,15.0,0,11,3.274065197734672e-05,0.00017649858679562455,0.7420037196163741,0.0016676981566458875,0.003225289040070884,0.0015087022636505719,0.003761827308119664,0.004673282213993094,0.0015087022636505719,-0.007729141523472868,0.009484839211214985,0.008651976320121744
6704,2026-04-28 00:00:00,2026-04-28 00:15:00,-0.000592433032002404,0.00010775281514696644,-0.004729665916622494,-0.014387967830302273,0.11258278145695365,0.5909067871867363,-0.005004204366146681,0.06540312923014306,0.9978589232386035,0.7818314824680298,0.6234898018587336,15.0,0,12,1.309371721298448e-05,0.00016830584297467134,0.31118865469109064,0.0012383235760144956,0.003817722072074524,0.00021551724221355954,0.005372890638629139,0.0061763401582689515,0.00021551724221355954,-0.00827680470877604,0.010077272243218678,0.010615350981870617
6705,2026-04-28 00:15:00,2026-04-28 00:30:00,0.0013459314530148703,-0.0015590143737735929,-0.0021497294246479726,-0.014050502267803466,0.16777041942604856,0.3444729849031325,-0.004704346513022983,0.13052619222005157,0.9914448613738104,0.7818314824680298,0.6234898018587336,15.0,0,13,5.190548082831958e-06,0.0001596074944967617,0.13008281595291302,0.0004840922021225196,0.0024717906190596314,0.0015614486952283087,0.00413412309291296,0.004991021174480758,0.0015614486952283087,-0.0064229069814733955,0.008731340790204038,0.011961282434885371
6706,2026-04-28 00:30:00,2026-04-28 00:45:00,0.0006991690929396555,0.0,-0.0022555189198083525,-0.011917945622885284,0.20412844036697247,0.5219835552161837,-0.005462867843624153,0.19509032201612825,0.9807852804032304,0.7818314824680298,0.6234898018587336,15.0,0,14,8.122652747280985e-06,0.00015984947685179727,0.20325753720950407,0.0011283953804698819,0.0013968733803105724,0.002260617788167956,0.0053084657756677115,0.008032171697264253,0.002260617788167956,-0.006147891876569669,0.008032171697264253,0.012660451527825058
6707,2026-04-28 00:45:00,2026-04-28 01:00:00,0.00021503064269445815,0.0016676981566465798,0.0006452306923510065,-0.01154352279538351,0.22037914691943128,0.29139190400539616,-0.004740937387222033,0.25881904510252074,0.9659258262890683,0.7818314824680298,0.6234898018587336,15.0,0,15,6.955724462121279e-06,0.00015762644169916185,0.17651161536454998,0.0020941291514739316,0.003005584057347094,0.0024756484308630336,0.0024695347279738915,0.007817141054569222,0.0024756484308630336,-0.027685691988085993,0.007817141054569222,0.02912350675771338
6708,2026-04-28 01:00:00,2026-04-28 01:15:00,-0.0010218076126360387,0.0012383235760129452,0.0013460763911599116,-0.002203650350251607,0.2005420054200542,0.39705564071498217,-0.0032736221338289795,0.3214394653031616,0.9469301294951057,0.7818314824680298,0.6234898018587336,15.0,0,16,8.117766997305304e-06,8.311369625458003e-05,0.39068251626977635,0.004134567062614681,0.004938016582254418,0.0014538408182278534,0.0019888737171226975,0.008838948667204452,0.0014538408182278534,-0.023849545956328627,0.008838948667204452,0.028101699145078297
