instrument,horizon,model,stratum,offset,mod,n,auc,brier_skill,logloss_skill,return_spread
AG,H15,D0b,ALL,0,3,7268,0.4924241425401905,-0.0005590122344516502,-0.00040382276738459844,-6.830145686989498e-05
AG,H15,D0b,ALL,1,3,7267,0.4910629618723774,-0.000498885047903963,-0.00036032523579354603,-3.129315571497181e-05
AG,H15,D0b,ALL,2,3,7267,0.4950345566786062,-0.0005286796589909493,-0.00038194938492064345,2.822034769319399e-05
AG,H15,D0b,TOP50,0,3,6285,0.5007014695584513,-0.0011191975068818305,-0.0008113324978069603,-4.881051094630091e-05
AG,H15,D0b,TOP50,1,3,6285,0.49690452187728085,-0.0011757828338156973,-0.0008513517060999565,8.081117070637514e-05
AG,H15,D0b,TOP50,2,3,6285,0.5029724891728916,-0.0010412101677679253,-0.000755001379336262,-4.0496414173052876e-06
AG,H15,D0b,TOP30,0,3,5177,0.5043216661464647,-0.0006333810699370446,-0.00045898135734390166,2.761887603965433e-05
AG,H15,D0b,TOP30,1,3,5177,0.5028427070808583,-0.0007128096665540706,-0.0005164422923511491,0.00040815036314988736
AG,H15,D0b,TOP30,2,3,5177,0.5111571248559423,-0.00022755528037965433,-0.00016815968366201695,0.0003310681716102074
AG,H15,D0b,TOP20,0,3,4336,0.5017001242328754,-0.0010451803677562488,-0.0007589856191432265,7.748023115783682e-05
AG,H15,D0b,TOP20,1,3,4336,0.4959208669091344,-0.0013042469421591374,-0.0009464510204710841,0.0002597525772804469
AG,H15,D0b,TOP20,2,3,4336,0.49794055588785,-0.0016035876579689745,-0.001165014932116959,0.00020914354608492735
AG,H30,D0b,ALL,0,6,3633,0.49886470351692863,-0.0012239971826415452,-0.0008884926818344407,-8.153897708119534e-05
AG,H30,D0b,ALL,1,6,3633,0.49830682198363696,-0.0005138943335512014,-0.00037491611764939314,0.0001311992628463589
AG,H30,D0b,ALL,2,6,3633,0.5048545457857442,-0.0010809417822792433,-0.0007844006264352554,6.653355871604193e-05
AG,H30,D0b,ALL,3,6,3633,0.509680437555292,-0.0014543013155174922,-0.00105500694391103,9.157755118968788e-05
AG,H30,D0b,ALL,4,6,3632,0.4984664215531519,-0.002058930708675799,-0.0014931417325425578,0.00037395488842781197
AG,H30,D0b,ALL,5,6,3633,0.49416761309861823,-0.0024193281384687904,-0.0017538348663328485,0.00034086904454078376
AG,H30,D0b,TOP50,0,6,3132,0.5035843826396489,-0.0018535002176349735,-0.001358177245026404,-0.00012911146686878149
AG,H30,D0b,TOP50,1,6,3132,0.5017102338889171,-0.001845391196002577,-0.0013518948142636766,9.897550953567442e-05
AG,H30,D0b,TOP50,2,6,3132,0.5040524685669591,-0.002951807095154635,-0.002152949816394134,0.00023563946190366557
AG,H30,D0b,TOP50,3,6,3151,0.5127849321810978,-0.002517719290353382,-0.0018385784756049794,-0.00020415712414461766
AG,H30,D0b,TOP50,4,6,3151,0.5068140241073136,-0.003050860942870548,-0.002224236771138699,0.0001154700412522598
AG,H30,D0b,TOP50,5,6,3152,0.49681267752424607,-0.004170247529988735,-0.0030369381443862142,0.00016448529918829355
AG,H30,D0b,TOP30,0,6,2602,0.5106649221226764,-0.0009777110649806797,-0.0007465977109279986,0.0010886388226184342
AG,H30,D0b,TOP30,1,6,2602,0.5096145788573762,-0.0017809235970691617,-0.0013282207775697774,0.0012238815176333386
AG,H30,D0b,TOP30,2,6,2602,0.5168147689651574,-0.0015856970004686222,-0.0011819718340326801,0.0011059870841292336
AG,H30,D0b,TOP30,3,6,2569,0.5222918959008371,-0.0009544171722608574,-0.0007323484475882935,0.00013068592831794244
AG,H30,D0b,TOP30,4,6,2569,0.521142886313003,-0.0015655492624331302,-0.001171422080542328,0.0006121463196354454
AG,H30,D0b,TOP30,5,6,2570,0.522453980063285,-0.0014284246014835134,-0.0010725428111806323,0.0005933819272266723
AG,H30,D0b,TOP20,0,6,2171,0.5247782361116572,-0.00019761839638654521,-0.0002005590041846972,0.0008654504472593478
AG,H30,D0b,TOP20,1,6,2171,0.5212909787030391,-0.0011385504221390619,-0.0008998300164027029,0.0009493810333729705
AG,H30,D0b,TOP20,2,6,2171,0.5299092008654027,-0.0012593850714643917,-0.0009755026695152935,0.0008147196190037105
AG,H30,D0b,TOP20,3,6,2164,0.5166621617563143,-0.0024625144534113907,-0.0018477969071366562,-0.00017304463110543779
AG,H30,D0b,TOP20,4,6,2164,0.5223754394991853,-0.0017592643835695476,-0.0013393580409255534,0.00032644639573293523
AG,H30,D0b,TOP20,5,6,2164,0.5254554716528826,-0.002307890526216605,-0.0017350272121039456,0.0004902089484019145
CU,H15,D0b,ALL,0,3,6099,0.5241478739941949,0.0014996152660031736,0.0010853126454283268,3.4829988557376916e-05
CU,H15,D0b,ALL,1,3,6099,0.5128315649653268,-0.000214296700922878,-0.00015677465706742666,0.00010797954647280301
CU,H15,D0b,ALL,2,3,6100,0.5151637983711758,2.893715623841775e-05,1.7780216459928333e-05,0.00011769772776773846
CU,H15,D0b,TOP50,0,3,4692,0.52275360251365,0.001215335372497739,0.0008808904329632439,-9.087544682086858e-05
CU,H15,D0b,TOP50,1,3,4692,0.5059666791235788,-0.0009455377782854324,-0.000684942091667029,2.2550855525460627e-05
CU,H15,D0b,TOP50,2,3,4693,0.5105226239593619,-0.0005447182653972593,-0.0003969490323820768,2.4295886039634688e-05
CU,H15,D0b,TOP30,0,3,2908,0.5345530102184664,0.003042845090361901,0.002202170422782035,0.0002647901204833902
CU,H15,D0b,TOP30,1,3,2908,0.5134393476971809,-0.00043011058073139097,-0.00031192693517612113,0.00027293959389557734
CU,H15,D0b,TOP30,2,3,2909,0.5184382117118522,0.0005278119524875224,0.0003781184153252015,0.0002042338907104968
CU,H15,D0b,TOP20,0,3,2057,0.5266992082186338,0.0016680964169709656,0.0012065414564272903,6.091344005961774e-05
CU,H15,D0b,TOP20,1,3,2057,0.5062752073896842,-0.002632151804683236,-0.0019066840649990535,0.00025444876813367255
CU,H15,D0b,TOP20,2,3,2058,0.5103047508953262,-0.0010840697821579148,-0.0007909525586300425,0.000127308685401112
CU,H30,D0b,ALL,0,6,3049,0.5271653065545299,0.002254984973651064,0.001630959036596713,3.937866855952061e-05
CU,H30,D0b,ALL,1,6,3050,0.512648271994826,0.0007271653442284531,0.0005270728429703775,-7.213151599664746e-05
CU,H30,D0b,ALL,2,6,3050,0.5122253368025143,0.000347989707855767,0.00025183294424280245,-0.00017733076205872137
CU,H30,D0b,ALL,3,6,3050,0.5200871693149564,1.3304679901127159e-05,4.316493624312301e-06,0.00016251528027838016
CU,H30,D0b,ALL,4,6,3049,0.5203382697689789,0.0004645486573588986,0.0003315699854784526,0.00021573418484736677
