instrument,horizon,model,stratum,n,up_rate,auc,brier,brier_skill,log_loss,logloss_skill,calibration_slope,return_spread,mean_ret_top20,mean_ret_bottom20,mfe_up_top20,mae_up_top20,mfe_up_bottom20,folds_evaluated,nonoverlap
AG,H5,D0a,ALL,21805,0.5019032332033937,0.507955315938082,0.2501414687505661,-0.0005803725978972274,0.6934362021967909,-0.00042742631354486527,0.07519258302060354,4.1530587851350826e-05,3.103941142028739e-05,-1.0491176431063432e-05,0.0022621041220999634,0.0,0.002142974139002811,7,
AG,H5,D0a,TOP50,18857,0.5044280638489685,0.5056425641953326,0.2501550136987914,-0.0006985405802022449,0.6934591323931173,-0.0005066567730704907,0.07308551498231733,3.4339628511882483e-05,3.150631145641537e-05,-2.833317055467114e-06,0.002328603171516149,0.0,0.0021232377694695563,7,
AG,H5,D0a,TOP30,15533,0.5082727097148008,0.5089873786960004,0.24995239239318037,-8.334329212456026e-05,0.6930519594087358,-6.011533530791979e-05,0.12639132222676774,-2.110783600622853e-05,6.70555900116855e-05,8.816342601791404e-05,0.002467863177202082,0.0,0.002182880436862822,7,
AG,H5,D0a,TOP20,13008,0.5104551045510455,0.5071306859031603,0.24992779868238824,-0.00014849650238812906,0.6930028283199368,-0.00010720025444199699,0.1157276115108584,3.9014512516665856e-05,4.212744460195468e-05,3.112932085288823e-06,0.002493126025748769,0.0,0.0027199959104668536,7,
AG,H5,D0b,ALL,21805,0.5019032332033937,0.5014679447521606,0.250125073641609,-0.0005147912118481646,0.6933976181037473,-0.0003717606520492467,-0.056930126704596906,-0.00013458255363577325,-6.978184683085097e-05,6.480070680492226e-05,0.0025150386256479708,0.0,0.0014275472805039444,7,
AG,H5,D0b,TOP50,18857,0.5044280638489685,0.49628045518015373,0.2502239200967077,-0.0009741877911533248,0.6935957770306344,-0.0007038044679554822,-0.09835788315005622,-2.738628617636456e-05,3.2902283921190924e-05,6.0288570097555484e-05,0.002143453264287794,0.0,0.0014328236074174874,7,
AG,H5,D0b,TOP30,15533,0.5082727097148008,0.5022565997385493,0.250082214906473,-0.0006027755403423818,0.6933128208250722,-0.000436533141457085,0.012137091928221395,-1.2773021865010241e-05,2.823391451385508e-05,4.100693637886532e-05,0.002571935229464832,0.0,0.0014626763749277377,7,
AG,H5,D0b,TOP20,13008,0.5104551045510455,0.49797993402630625,0.25010225550153325,-0.0008466290282309608,0.6933530852311375,-0.000612673601037228,-0.08081064012444154,-6.308445853287391e-05,-7.476692931299735e-05,-1.1682470780123436e-05,0.0025735308768149584,0.0,0.002263900253389939,7,
AG,H5,D0c,ALL,21805,0.5019032332033937,0.5139480831948207,0.25047033686318315,-0.0018958641087674089,0.6941191230183206,-0.0014126830937568613,0.07777240411040609,-0.00011084242150051705,-6.758242259635161e-05,4.325999890416543e-05,0.002658030884404216,0.0,0.0013196515634025646,7,
AG,H5,D0c,TOP50,18857,0.5044280638489685,0.5048608926754569,0.25056763155834344,-0.0023491414766858565,0.6943105733549813,-0.0017350959274506916,0.03570606882290987,-5.7144696140830934e-05,-4.2408269881790796e-05,1.4736426259040137e-05,0.0026134109627829745,0.0,0.0017765919390481876,7,
AG,H5,D0c,TOP30,15533,0.5082727097148008,0.5034497937962599,0.250038343676623,-0.00042724256863269083,0.6932241617216337,-0.00030859982851194623,0.04767925712082066,-2.9948067449435704e-05,3.94242365591374e-05,6.93723040085731e-05,0.002369918237829248,0.0,0.002080273877270353,7,
AG,H5,D0c,TOP20,13008,0.5104551045510455,0.4972553964286795,0.2506501985598893,-0.003039360004428504,0.6944637017171515,-0.00221546005297224,-0.0450210047862045,-8.261339452045597e-05,-3.0439011257481934e-05,5.217438326297403e-05,0.0026672470838634468,0.0,0.0022461882190445365,7,
AG,H15,D0a,ALL,21802,0.5129804605082102,0.501422766856616,0.25003780134383413,-0.0008257313130113353,0.6932240521488825,-0.0005974135299300354,0.075054005113169,0.00013214048467550691,0.00012414382679794522,-7.996657877561685e-06,0.004367502173234779,0.0012062892826126112,0.0037815956467550475,7,
AG,H15,D0a,TOP50,18855,0.5160965261203925,0.5080197875233072,0.25001885728821366,-0.0011129752447545105,0.6931877414155259,-0.0008068486781369621,0.08792489016190193,0.00031235638508075083,0.00017642524908003738,-0.00013593113600071345,0.004558052963131972,0.0012408319476865067,0.003943474988630992,7,
AG,H15,D0a,TOP30,15531,0.5224389929817784,0.5152721587141891,0.24950774674285595,-4.5111451549395554e-05,0.6921616800028242,-3.15753470347957e-05,0.13064152740201854,0.0003896195965128734,0.000462126225142475,7.250662862960161e-05,0.0048156008349620125,0.0012010911211203183,0.004053105179182173,7,
AG,H15,D0a,TOP20,13008,0.5251383763837638,0.513429845517323,0.24944208884926672,-0.00029685764838949247,0.6920294768352242,-0.00021203766824839931,0.11191844918707855,0.00017928626550050363,0.00024567287466394045,6.638660916343683e-05,0.004408626795467881,0.0011564577774718738,0.004969131672431059,7,
AG,H15,D0b,ALL,21802,0.5129804605082102,0.49284055795338766,0.249963634177533,-0.0005288625673505187,0.6930748354493802,-0.00038203461583341536,-0.2360659503998293,-2.779777302748524e-05,2.9141392218222894e-05,5.6939165245708133e-05,0.003905603397728005,0.0010676845432747535,0.002684411574682892,7,
AG,H15,D0b,TOP50,18855,0.5160965261203925,0.5001929084391166,0.2500186262512124,-0.001112050137975773,0.6931870762234614,-0.0008058882907353571,-0.006258857703597392,6.4684227743497895e-06,1.0103028171907821e-05,3.634605397558032e-06,0.004185370172094484,0.001151498763091795,0.002757458436204974,7,
AG,H15,D0b,TOP30,15531,0.5224389929817784,0.5061072384025812,0.24962735568834357,-0.0005245127638622282,0.6924036405262535,-0.0003811586458615235,0.07732998246753718,0.0002530481984496177,0.000270057242444122,1.7009043994504284e-05,0.005020499628087653,0.0012959696625348596,0.003026917780375273,7,
