group,horizon,model,stratum,instrument_count,median_auc,positive_share_auc,median_brier_skill,positive_share_brier_skill,median_logloss_skill,positive_share_logloss_skill,median_return_spread,positive_share_return_spread,median_calibration_slope,positive_share_calibration_slope
ALL_8,H15,D0a,ALL,8,0.5041195695045754,1.0,-0.0013855501815129845,0.0,-0.0010143505341754233,0.0,-1.23776242735666e-05,0.5,0.03268425834204433,0.5
ALL_8,H15,D0a,TOP20,8,0.4908955859302626,1.0,-0.00225425048565997,0.0,-0.0016407689581144913,0.0,-7.564994126839948e-05,0.375,-0.1125558895554723,0.25
ALL_8,H15,D0a,TOP30,8,0.4941365334155241,1.0,-0.0013112889667439287,0.0,-0.00095054643693393,0.0,-6.312453218133646e-05,0.375,-0.09254352205030547,0.25
ALL_8,H15,D0a,TOP50,8,0.4999473844871193,1.0,-0.0013444222877375678,0.0,-0.0009727001468549101,0.0,-7.049441322968134e-05,0.25,-0.01738477283917944,0.5
ALL_8,H15,D0b,ALL,8,0.49543213634092076,1.0,-0.0007500392211611251,0.125,-0.000545857564040797,0.125,-2.9695124977667327e-05,0.375,-0.08923828001498459,0.375
ALL_8,H15,D0b,TOP20,8,0.5062167114618628,1.0,-0.0022211703503933755,0.125,-0.0016020583945957068,0.125,2.5170053367188298e-05,0.5,0.04707261563710072,0.625
ALL_8,H15,D0b,TOP30,8,0.5035953715100481,1.0,-0.0016360866463940305,0.25,-0.0012152158262176416,0.25,-8.606689710478094e-06,0.5,0.06444436331272765,0.75
ALL_8,H15,D0b,TOP50,8,0.4980596910199044,1.0,-0.0013562125225896615,0.0,-0.0009816841096808027,0.0,-2.4838412384738914e-05,0.25,-0.013566891322198498,0.375
ALL_8,H15,D0c,ALL,8,0.5049970582643427,1.0,-0.0012575526226170641,0.0,-0.000950079743923693,0.0,2.2742119499761198e-05,0.625,0.05749558496550086,0.625
ALL_8,H15,D0c,TOP20,8,0.5002011659855659,1.0,-0.004997008857221097,0.0,-0.0037396193741419115,0.0,-9.885445899501773e-05,0.25,-0.004792833032318639,0.5
ALL_8,H15,D0c,TOP30,8,0.5023007064554421,1.0,-0.0041601232574436375,0.0,-0.0031007911079453665,0.0,-7.388711802178914e-05,0.5,0.0126499874475774,0.5
ALL_8,H15,D0c,TOP50,8,0.5022119554075417,1.0,-0.0026044942652100334,0.0,-0.0019231248439939286,0.0,-9.809850879710774e-05,0.25,-0.01770418326711041,0.375
ALL_8,H30,D0a,ALL,8,0.5050126878879624,1.0,-0.0011273438395219548,0.0,-0.0008331194944043441,0.0,-2.2550939647703667e-06,0.5,0.07085623334397714,0.625
ALL_8,H30,D0a,TOP20,8,0.495554964962842,1.0,-0.0025578568247979216,0.125,-0.001851636437159132,0.125,-0.00013436759950377403,0.375,-0.08216512350308787,0.25
ALL_8,H30,D0a,TOP30,8,0.4936871295922288,1.0,-0.0020310877555134166,0.125,-0.0014667856988538341,0.125,-7.103181281780448e-05,0.375,-0.08166673871840605,0.25
ALL_8,H30,D0a,TOP50,8,0.49515440872182537,1.0,-0.0014110536543979757,0.0,-0.0010238030747007354,0.0,-1.5475674051946586e-05,0.375,-0.006780811166897584,0.5
ALL_8,H30,D0b,ALL,8,0.49778920844816027,1.0,-0.0012430947253657676,0.125,-0.0009009003967290763,0.125,-1.2775284893476091e-07,0.5,-0.04605398000699448,0.25
ALL_8,H30,D0b,TOP20,8,0.4924799985737869,1.0,-0.0032759462581342103,0.0,-0.0023828899151999705,0.0,-0.000250336116328286,0.125,-0.0720882346027773,0.375
ALL_8,H30,D0b,TOP30,8,0.49316825986755297,1.0,-0.0019249012686916034,0.125,-0.001413476789012158,0.125,-0.0002922208319719751,0.25,-0.020377671492896838,0.25
ALL_8,H30,D0b,TOP50,8,0.4895985338393996,1.0,-0.0025082937809226546,0.0,-0.0018233663353990348,0.0,-0.00014841743168276275,0.125,-0.11394447792116981,0.25
ALL_8,H30,D0c,ALL,8,0.5051348955294658,1.0,-0.001432158601708089,0.0,-0.0010409011349432618,0.0,-3.482164520340687e-05,0.5,0.07083547108947064,0.875
ALL_8,H30,D0c,TOP20,8,0.4923303269169305,1.0,-0.009016449447637243,0.0,-0.00663028762290907,0.0,-0.0004159568107186438,0.125,-0.016959389416547926,0.375
ALL_8,H30,D0c,TOP30,8,0.49770078529939554,1.0,-0.0039042914010656293,0.0,-0.0028352772348397837,0.0,-0.00034536132960516085,0.25,-0.017090226784419925,0.25
ALL_8,H30,D0c,TOP50,8,0.4988849274959366,1.0,-0.00451418554607208,0.0,-0.0032980623192981895,0.0,-0.00031984604787939374,0.125,-0.013750326636313547,0.375
ALL_8,H5,D0a,ALL,8,0.5066790542539485,1.0,-0.0011641404486660845,0.125,-0.0008497138824127282,0.125,-6.8286131593663e-06,0.5,0.06180730186000227,0.75
ALL_8,H5,D0a,TOP20,8,0.4909130723337945,1.0,-0.0029858816549671596,0.0,-0.0021774031611702105,0.0,-3.256622691785175e-05,0.375,-0.03961459395641371,0.375
ALL_8,H5,D0a,TOP30,8,0.4918876932782548,1.0,-0.0023874229829533578,0.0,-0.0017523058554841375,0.0,8.302535019945394e-06,0.5,-0.034298189711249684,0.375
ALL_8,H5,D0a,TOP50,8,0.4955969101898794,1.0,-0.0014768448922610755,0.0,-0.0010889265569954398,0.0,-3.485663056234391e-05,0.25,-0.04958867699985256,0.375
ALL_8,H5,D0b,ALL,8,0.5011321256692278,1.0,-0.0005571243199719023,0.0,-0.00040788693232907125,0.0,-9.305795445153328e-06,0.375,-0.030167651990179355,0.375
ALL_8,H5,D0b,TOP20,8,0.49971730176458573,1.0,-0.0022708281887123816,0.0,-0.0017050024343048253,0.0,-7.1684916198274955e-06,0.5,-0.045425900036003636,0.375
ALL_8,H5,D0b,TOP30,8,0.5030722151089132,1.0,-0.0016931587112989366,0.0,-0.001268334069305932,0.0,-7.24154109373345e-06,0.375,0.009994436147068964,0.625
