wf,coverage_target,test_coverage,n,roc_auc,direction_accuracy,abs_direction_accuracy
WF1,cov50,0.4231,7781,0.618526672431615,0.6690656727927001,0.6690656727927001
WF1,cov30,0.2256,4149,0.6224519484681384,0.6999276934201012,0.6999276934201012
WF1,cov20,0.1316,2420,0.6250111881276738,0.7173553719008264,0.7173553719008264
WF1,cov10,0.0513,943,0.6181549347837567,0.7136797454931071,0.7136797454931071
WF2,cov50,0.5126,8336,0.6049464999877898,0.6811420345489443,0.6811420345489443
WF2,cov30,0.3001,4881,0.5638769868270227,0.7170661749641467,0.7170661749641467
WF2,cov20,0.1874,3047,0.5675096778096981,0.7341647522152938,0.7341647522152938
WF2,cov10,0.0954,1552,0.5444089780615089,0.7577319587628866,0.7577319587628866
WF3,cov50,0.5161,8040,0.6538208106096959,0.7200248756218905,0.7200248756218905
WF3,cov30,0.3038,4732,0.6357496116259962,0.7639475908706678,0.7639475908706678
WF3,cov20,0.1958,3050,0.6320852991674962,0.7829508196721311,0.7829508196721311
WF3,cov10,0.086,1340,0.6723041822090676,0.8208955223880597,0.8208955223880597
