wf,identity_vs_L0,map_vs_identity,core_vs_map,field_vs_core,trend_vs_core,ob_vs_core,full_vs_core,ncore_vs_lcore,L_core,N_core
WF1,-0.001,0.0931,0.0095,-0.0113,0.0007,-0.0007,-0.0109,0.0191,0.6014,0.6205
WF2,0.0063,0.1068,0.0066,-0.0223,0.0005,-0.0018,-0.0218,0.012,0.6356,0.6476
WF3,0.0073,0.1199,0.0087,-0.0006,0.0004,-0.0013,0.0001,0.021,0.6439,0.6648
