roc_auc,pr_auc,log_loss,brier,accuracy,balanced_accuracy,abs_direction_accuracy,wf,model,n,n_pos,nonlinear
0.4997692472156605,0.4000708777457,0.6778093866212912,0.24234104942268406,0.5987275001359509,0.5,0.5987275001359509,WF1,L0,18389,7379,
0.49876744754826857,0.4027410878320336,0.68335168841646,0.24459923499131628,0.5881777149382783,0.5025418994103968,0.5881777149382783,WF1,L_identity,18389,7379,
0.5918880186167905,0.4751531800610761,0.6735782471265535,0.23964761415494718,0.5853499374626135,0.5510412677851166,0.5853499374626135,WF1,L_map,18389,7379,
0.6014104020799877,0.4863909637265662,0.6706713670424673,0.238063864641443,0.5997607265212899,0.5656456406777759,0.5997607265212899,WF1,L_core,18389,7379,
0.5901012754485659,0.4761217590578001,0.6919032698320152,0.24702326681270573,0.5777366904127468,0.5588064614718427,0.5777366904127468,WF1,L_core_field,18389,7379,
0.6021019342147161,0.48790939595354454,0.6711334241038833,0.23809881440299213,0.6001413888737832,0.5646897773944002,0.6001413888737832,WF1,L_core_trend,18389,7379,
0.600725861334895,0.4858738802508588,0.6717364516507306,0.23852321472987284,0.5954102996356517,0.5626606311772405,0.5954102996356517,WF1,L_core_ob,18389,7379,
0.5904914516106599,0.47428913131931205,0.6947742778197272,0.24784506181875388,0.5799119038555658,0.5595503551761332,0.5799119038555658,WF1,L_full,18389,7379,
0.620527667747501,0.5013962903212229,0.6558187103956992,0.23200409315182308,0.6057969438251128,0.5726530132704699,0.6057969438251128,WF1,N_core,18389,7379,HistGradientBoosting
0.615856619399703,0.4936834548486396,0.657266825901565,0.23263214147621505,0.5986187394638098,0.558859500024556,0.5986187394638098,WF1,N_full,18389,7379,HistGradientBoosting
0.5159193771413283,0.42977008243688714,0.6786504677455895,0.24278070432011484,0.5853163622947796,0.5,0.5853163622947796,WF2,L0,16263,6744,
0.5222492129432836,0.4329074331266727,0.6784415333190833,0.2426692780999692,0.5851318944844125,0.500447597032943,0.5851318944844125,WF2,L_identity,16263,6744,
0.6290146808835971,0.5216489224883094,0.6548958551621312,0.2313790921243884,0.6086822849412777,0.5630572998973022,0.6086822849412777,WF2,L_map,16263,6744,
0.6356117446071833,0.5321615855250179,0.6529187683295887,0.2303083110727622,0.6181516325401217,0.5748206714497583,0.6181516325401217,WF2,L_core,16263,6744,
0.6133183623388174,0.5052294579846246,0.6732185842629979,0.23822769711736866,0.6037016540613663,0.5551283647352233,0.6037016540613663,WF2,L_core_field,16263,6744,
0.6361513721012741,0.5324870871875166,0.6531001741334372,0.2303682870102287,0.6202422677242821,0.575785262215782,0.6202422677242821,WF2,L_core_trend,16263,6744,
0.6337894075120035,0.5298271539942669,0.6539851665921188,0.2307735673916726,0.6162454651663285,0.5717874748723194,0.6162454651663285,WF2,L_core_ob,16263,6744,
0.6137720189264974,0.5053386021339223,0.674066252395431,0.23851891847203177,0.5998893193137798,0.5515907452747624,0.5998893193137798,WF2,L_full,16263,6744,
0.6476334260990413,0.5508769050868972,0.6464957680975422,0.22737660840064525,0.6249769415237041,0.5835040912742786,0.6249769415237041,WF2,N_core,16263,6744,HistGradientBoosting
0.6425318573691102,0.5455242595583856,0.6492556318474678,0.2287950979784284,0.6174752505687757,0.5663323568259623,0.6174752505687757,WF2,N_full,16263,6744,HistGradientBoosting
0.5079555090618606,0.38781343240877925,0.6660887768984338,0.23657803573524433,0.6204018745586442,0.5,0.6204018745586442,WF3,L0,15577,5913,
0.5152667598500553,0.3892508535207865,0.6663830516147429,0.23673397760448625,0.6197599024202349,0.5005985310736362,0.6197599024202349,WF3,L_identity,15577,5913,
0.6351734182623762,0.5070225527465284,0.6369431106381643,0.22335752251778462,0.6284265262887591,0.5697790772492533,0.6284265262887591,WF3,L_map,15577,5913,
0.6438588037862472,0.5243275484708935,0.6329868782119594,0.22143072906459538,0.6390832637863517,0.5813543675653488,0.6390832637863517,WF3,L_core,15577,5913,
0.6433062449110334,0.5203872178313929,0.6332782269171607,0.22164240707973962,0.6375425306541697,0.5806706033008423,0.6375425306541697,WF3,L_core_field,15577,5913,
0.6442538811945393,0.5241679544555728,0.6328590441832891,0.2214660204413649,0.6379277139372151,0.5831472220542233,0.6379277139372151,WF3,L_core_trend,15577,5913,
0.6425200100687339,0.5242768541212119,0.6356827478004489,0.22267743967564113,0.6333697117545098,0.5850205497651935,0.6333697117545098,WF3,L_core_ob,15577,5913,
0.6439237458602272,0.5246723667742124,0.6350560787800473,0.22249364306060873,0.6338832894652372,0.5874365401662965,0.6338832894652372,WF3,L_full,15577,5913,
0.664810515093021,0.5469001918148686,0.6245477510310887,0.2175805638062186,0.6559029338126725,0.6017366063578623,0.6559029338126725,WF3,N_core,15577,5913,HistGradientBoosting
0.6601288758045747,0.5335828607145153,0.6261069534983422,0.21839544647690123,0.6486486486486487,0.5892603169523207,0.6486486486486487,WF3,N_full,15577,5913,HistGradientBoosting
