wf,model,symbol,n,auc,accuracy,balanced_accuracy
WF1,L0,AG,686,0.575,0.6822,0.0
WF1,L0,AL,1500,0.4894,0.6,0.0
WF1,L0,AU,706,0.5321,0.6572,0.0
WF1,L0,CF,1842,0.5246,0.576,0.0
WF1,L0,CU,1015,0.491,0.6365,0.0
WF1,L0,I,1893,0.4806,0.5869,0.0
WF1,L0,M,1482,0.4757,0.6039,0.0
WF1,L0,MA,1369,0.5212,0.5771,0.0
WF1,L0,NI,1026,0.4514,0.5984,0.0
WF1,L0,P,1005,0.4407,0.61,0.0
WF1,L0,RB,1504,0.5366,0.6097,0.0
WF1,L0,RU,1120,0.4976,0.575,0.0
WF1,L0,SC,939,0.4789,0.623,0.0
WF1,L0,SN,915,0.5285,0.5902,0.0
WF1,L0,TA,1387,0.5588,0.5494,0.0
WF1,L_identity,AG,686,0.5043,0.6691,0.0668
WF1,L_identity,AL,1500,0.4951,0.5967,0.0653
WF1,L_identity,AU,706,0.5534,0.6544,0.0022
WF1,L_identity,CF,1842,0.5539,0.5874,0.2002
WF1,L_identity,CU,1015,0.475,0.5655,0.1856
WF1,L_identity,I,1893,0.4913,0.5489,0.1359
WF1,L_identity,M,1482,0.4927,0.6046,0.0333
WF1,L_identity,MA,1369,0.5183,0.5661,0.0544
WF1,L_identity,NI,1026,0.4989,0.5994,0.0012
WF1,L_identity,P,1005,0.4688,0.6,0.0082
WF1,L_identity,RB,1504,0.5081,0.613,0.0196
WF1,L_identity,RU,1120,0.5164,0.5723,0.006
WF1,L_identity,SC,939,0.4358,0.5911,0.0324
WF1,L_identity,SN,915,0.5368,0.5869,0.0028
WF1,L_identity,TA,1387,0.4804,0.5487,0.0371
WF1,L_map,AG,686,0.6504,0.6137,0.42
WF1,L_map,AL,1500,0.5931,0.5847,0.3656
WF1,L_map,AU,706,0.598,0.6034,0.349
WF1,L_map,CF,1842,0.6372,0.6059,0.4276
WF1,L_map,CU,1015,0.5788,0.5557,0.4531
WF1,L_map,I,1893,0.62,0.5922,0.477
WF1,L_map,M,1482,0.6029,0.6161,0.3115
WF1,L_map,MA,1369,0.5905,0.5588,0.381
WF1,L_map,NI,1026,0.5931,0.5906,0.1505
WF1,L_map,P,1005,0.5903,0.5652,0.2145
WF1,L_map,RB,1504,0.5967,0.5984,0.2007
WF1,L_map,RU,1120,0.5944,0.5768,0.2706
WF1,L_map,SC,939,0.5388,0.5335,0.3416
WF1,L_map,SN,915,0.6161,0.6066,0.1849
WF1,L_map,TA,1387,0.5893,0.566,0.2295
WF1,L_core,AG,686,0.6804,0.656,0.4227
WF1,L_core,AL,1500,0.6105,0.6053,0.3872
WF1,L_core,AU,706,0.6245,0.6388,0.3284
WF1,L_core,CF,1842,0.6408,0.608,0.4123
WF1,L_core,CU,1015,0.5829,0.5695,0.4635
WF1,L_core,I,1893,0.6165,0.588,0.4795
WF1,L_core,M,1482,0.6084,0.635,0.3396
WF1,L_core,MA,1369,0.5761,0.5668,0.3875
WF1,L_core,NI,1026,0.6088,0.5994,0.1391
WF1,L_core,P,1005,0.6016,0.5731,0.2121
WF1,L_core,RB,1504,0.5993,0.6137,0.1881
WF1,L_core,RU,1120,0.6063,0.5938,0.2577
WF1,L_core,SC,939,0.5574,0.5772,0.3632
WF1,L_core,SN,915,0.628,0.6251,0.1805
WF1,L_core,TA,1387,0.6021,0.5761,0.2306
WF1,L_core_field,AG,686,0.6544,0.6501,0.3126
WF1,L_core_field,AL,1500,0.5915,0.5573,0.5494
WF1,L_core_field,AU,706,0.6418,0.67,0.2732
WF1,L_core_field,CF,1842,0.5821,0.5434,0.5684
WF1,L_core_field,CU,1015,0.6029,0.5773,0.4637
WF1,L_core_field,I,1893,0.5935,0.5753,0.3803
WF1,L_core_field,M,1482,0.6284,0.6167,0.3942
WF1,L_core_field,MA,1369,0.5814,0.5259,0.7117
WF1,L_core_field,NI,1026,0.5671,0.5692,0.2678
WF1,L_core_field,P,1005,0.6046,0.5841,0.2261
WF1,L_core_field,RB,1504,0.577,0.5911,0.2639
WF1,L_core_field,RU,1120,0.576,0.5518,0.5098
WF1,L_core_field,SC,939,0.5572,0.5783,0.4258
WF1,L_core_field,SN,915,0.6147,0.6295,0.118
WF1,L_core_field,TA,1387,0.5878,0.5494,0.3087
WF1,L_core_trend,AG,686,0.6883,0.6589,0.4306
WF1,L_core_trend,AL,1500,0.6139,0.62,0.3583
WF1,L_core_trend,AU,706,0.6168,0.6176,0.3477
WF1,L_core_trend,CF,1842,0.6229,0.5945,0.423
WF1,L_core_trend,CU,1015,0.6013,0.5754,0.4397
WF1,L_core_trend,I,1893,0.6065,0.5721,0.5246
WF1,L_core_trend,M,1482,0.6196,0.6363,0.3258
WF1,L_core_trend,MA,1369,0.5751,0.5639,0.3406
WF1,L_core_trend,NI,1026,0.6048,0.617,0.1853
WF1,L_core_trend,P,1005,0.6092,0.597,0.134
WF1,L_core_trend,RB,1504,0.6283,0.637,0.1621
WF1,L_core_trend,RU,1120,0.598,0.5839,0.2206
WF1,L_core_trend,SC,939,0.5526,0.5729,0.3349
WF1,L_core_trend,SN,915,0.6457,0.6383,0.1965
WF1,L_core_trend,TA,1387,0.5903,0.558,0.2528
