n,n_selected,selection_rate,selected_clear_rate,clear_selected_rate,direction_auc_all_clear_test,direction_auc_inside_clear_gate,direction_accuracy_given_clear,actionable_precision,tradeoff_selected_rate,predicted_LONG_actionable_precision,predicted_SHORT_actionable_precision,n_predicted_LONG,n_predicted_SHORT,clear_thr,clear_thr_unavailable,wf,tag,dir_tail_lo,dir_tail_hi
24649,3622,0.1469430808552071,0.8500828271673109,0.16743705476099843,0.6338227552254175,0.633978782716923,0.6593049691458266,0.560463832136941,0.14991717283268913,0.5532687651331719,0.566497461928934,1652,1970,0.7395,False,WF1,CALIBRATED_TWO_STAGE,0.2331,0.5729
22390,2758,0.12317999106744082,0.8288614938361131,0.1405644714997233,0.6588777399312632,0.6658101644658467,0.747594050743657,0.6196519216823785,0.17113850616388687,0.6167608286252354,0.6214622641509434,1062,1696,0.681,False,WF2,CALIBRATED_TWO_STAGE,0.2364,0.5812
21882,2929,0.13385430947810986,0.8398770911573916,0.15792514604866148,0.6593083499372244,0.6628933324360196,0.7686991869918699,0.6456128371457835,0.1601229088426084,0.669,0.6334888543286677,1000,1929,0.6703,False,WF3,CALIBRATED_TWO_STAGE,0.2317,0.5694
24649,4864,0.19733052050793135,0.791735197368421,0.2094186742074066,0.6338227552254175,0.633978782716923,0.6486626850168787,0.5135690789473685,0.20826480263157895,0.5132991133924405,0.5137816979051819,2143,2721,0.5,False,WF1,J2_FIXED_0.5,0.2331,0.5729
22390,3308,0.14774452880750336,0.7902055622732769,0.16073295209985858,0.6588777399312632,0.6658101644658467,0.7482785003825555,0.5912938331318017,0.2097944377267231,0.5889665889665889,0.5927758535378526,1287,2021,0.5,False,WF2,J2_FIXED_0.5,0.2364,0.5812
21882,3552,0.16232519879352894,0.7956081081081081,0.18142132631443794,0.6593083499372244,0.6628933324360196,0.7717622080679406,0.6140202702702703,0.20439189189189189,0.6218487394957983,0.6094516272848863,1309,2243,0.5,False,WF3,J2_FIXED_0.5,0.2317,0.5694
