candidate,wf,symbol,n_selected,selection_rate,selected_clear_rate,direction_accuracy_given_clear,actionable_precision
CALIBRATED_TWO_STAGE,WF1,AG,100,0.0903,0.83,0.747,0.62
CALIBRATED_TWO_STAGE,WF1,AL,287,0.1531,0.9024,0.5753,0.5192
CALIBRATED_TWO_STAGE,WF1,AU,143,0.1198,0.8252,0.6864,0.5664
CALIBRATED_TWO_STAGE,WF1,CF,435,0.1967,0.9218,0.6334,0.5839
CALIBRATED_TWO_STAGE,WF1,CU,216,0.1556,0.8981,0.6237,0.5602
CALIBRATED_TWO_STAGE,WF1,I,258,0.1159,0.8915,0.5957,0.531
CALIBRATED_TWO_STAGE,WF1,M,305,0.1675,0.8131,0.7097,0.577
CALIBRATED_TWO_STAGE,WF1,MA,262,0.1503,0.7901,0.6425,0.5076
CALIBRATED_TWO_STAGE,WF1,NI,196,0.1274,0.8316,0.6258,0.5204
CALIBRATED_TWO_STAGE,WF1,P,238,0.1722,0.8319,0.6869,0.5714
CALIBRATED_TWO_STAGE,WF1,RB,364,0.1879,0.8571,0.6635,0.5687
CALIBRATED_TWO_STAGE,WF1,RU,201,0.1338,0.7861,0.7025,0.5522
CALIBRATED_TWO_STAGE,WF1,SC,191,0.1247,0.7958,0.6447,0.5131
CALIBRATED_TWO_STAGE,WF1,SN,126,0.092,0.873,0.8091,0.7063
CALIBRATED_TWO_STAGE,WF1,TA,300,0.1647,0.82,0.7073,0.58
CALIBRATED_TWO_STAGE,WF2,AG,125,0.1188,0.664,0.6024,0.4
CALIBRATED_TWO_STAGE,WF2,AL,170,0.1357,0.9059,0.8312,0.7529
CALIBRATED_TWO_STAGE,WF2,AU,136,0.107,0.875,0.7983,0.6985
CALIBRATED_TWO_STAGE,WF2,CF,208,0.128,0.774,0.7453,0.5769
CALIBRATED_TWO_STAGE,WF2,CU,126,0.1094,0.7381,0.7527,0.5556
CALIBRATED_TWO_STAGE,WF2,I,197,0.0801,0.9391,0.6595,0.6193
CALIBRATED_TWO_STAGE,WF2,M,188,0.1047,0.9096,0.8304,0.7553
CALIBRATED_TWO_STAGE,WF2,MA,277,0.1715,0.8087,0.6295,0.509
CALIBRATED_TWO_STAGE,WF2,NI,141,0.1045,0.766,0.6852,0.5248
CALIBRATED_TWO_STAGE,WF2,P,203,0.1499,0.8374,0.7588,0.6355
CALIBRATED_TWO_STAGE,WF2,RB,258,0.1255,0.9109,0.6894,0.6279
CALIBRATED_TWO_STAGE,WF2,RU,213,0.143,0.8028,0.7836,0.6291
CALIBRATED_TWO_STAGE,WF2,SC,219,0.1507,0.8676,0.8421,0.7306
CALIBRATED_TWO_STAGE,WF2,SN,115,0.1096,0.7565,0.8161,0.6174
CALIBRATED_TWO_STAGE,WF2,TA,182,0.1285,0.7418,0.8222,0.6099
CALIBRATED_TWO_STAGE,WF3,AG,94,0.0714,0.8085,0.6579,0.5319
CALIBRATED_TWO_STAGE,WF3,AL,288,0.1911,0.8924,0.7393,0.6597
CALIBRATED_TWO_STAGE,WF3,AU,149,0.1133,0.8188,0.7541,0.6174
CALIBRATED_TWO_STAGE,WF3,CF,205,0.1489,0.7951,0.8282,0.6585
CALIBRATED_TWO_STAGE,WF3,CU,235,0.168,0.8638,0.7291,0.6298
CALIBRATED_TWO_STAGE,WF3,I,240,0.1208,0.8917,0.7336,0.6542
CALIBRATED_TWO_STAGE,WF3,M,231,0.1514,0.8831,0.7304,0.645
CALIBRATED_TWO_STAGE,WF3,MA,175,0.1374,0.8171,0.8811,0.72
CALIBRATED_TWO_STAGE,WF3,NI,151,0.1142,0.7881,0.7311,0.5762
CALIBRATED_TWO_STAGE,WF3,P,184,0.1498,0.837,0.8182,0.6848
CALIBRATED_TWO_STAGE,WF3,RB,211,0.0922,0.8341,0.6932,0.5782
CALIBRATED_TWO_STAGE,WF3,RU,266,0.1887,0.8571,0.8158,0.6992
CALIBRATED_TWO_STAGE,WF3,SC,162,0.1231,0.8272,0.709,0.5864
CALIBRATED_TWO_STAGE,WF3,SN,142,0.1124,0.8028,0.9211,0.7394
CALIBRATED_TWO_STAGE,WF3,TA,196,0.1449,0.7806,0.8039,0.6276
T3_HGB_20pct,WF1,AG,110,0.0993,0.9091,0.64,0.5818
T3_HGB_20pct,WF1,AL,404,0.2156,0.9257,0.5187,0.4802
T3_HGB_20pct,WF1,AU,115,0.0963,0.887,0.7549,0.6696
T3_HGB_20pct,WF1,CF,607,0.2745,0.9522,0.5779,0.5502
T3_HGB_20pct,WF1,CU,200,0.1441,0.91,0.5824,0.53
T3_HGB_20pct,WF1,I,628,0.2821,0.9379,0.5908,0.5541
T3_HGB_20pct,WF1,M,470,0.2581,0.9574,0.64,0.6128
T3_HGB_20pct,WF1,MA,336,0.1928,0.8929,0.59,0.5268
T3_HGB_20pct,WF1,NI,243,0.1579,0.8683,0.6019,0.5226
T3_HGB_20pct,WF1,P,205,0.1483,0.9317,0.6283,0.5854
T3_HGB_20pct,WF1,RB,452,0.2334,0.9137,0.5787,0.5288
T3_HGB_20pct,WF1,RU,250,0.1664,0.94,0.6851,0.644
T3_HGB_20pct,WF1,SC,136,0.0888,0.8897,0.6198,0.5515
T3_HGB_20pct,WF1,SN,146,0.1066,0.8425,0.6992,0.589
T3_HGB_20pct,WF1,TA,358,0.1965,0.9078,0.6585,0.5978
