n,n_selected,selection_rate,selected_clear_rate,clear_selected_rate,direction_auc_all_clear_test,direction_auc_inside_clear_gate,direction_accuracy_given_clear,actionable_precision,tradeoff_selected_rate,predicted_LONG_actionable_precision,predicted_SHORT_actionable_precision,n_predicted_LONG,n_predicted_SHORT,wf,tag,coverage_target,action_margin_thr
24649,1939,0.0786644488620228,0.9071686436307375,0.0956550111479689,0.5771342540058017,0.5771342540058017,0.571915861284821,0.518824136152656,0.09283135636926251,0.564729867482161,0.4718162839248434,981,958,WF1,T3_LOGISTIC_10pct,0.1,0.5333
24649,4362,0.17696458274169338,0.9126547455295736,0.2164881178965686,0.5771342540058017,0.5771342540058017,0.5795026375282593,0.5288858321870702,0.0873452544704264,0.5425531914893617,0.516564952048823,2068,2294,WF1,T3_LOGISTIC_20pct,0.2,0.4813
24649,7213,0.2926285041989533,0.9170941355885207,0.35972592310620477,0.5771342540058017,0.5771342540058017,0.5830687830687831,0.5347289615971164,0.08290586441147928,0.5346951036347252,0.5347579814624099,3329,3884,WF1,T3_LOGISTIC_30pct,0.3,0.4339
22390,1740,0.07771326485037963,0.9224137931034483,0.09869027854639366,0.6131682131148828,0.6131682131148828,0.6280373831775701,0.5793103448275863,0.07758620689655173,0.5763598326359832,0.5829081632653061,956,784,WF2,T3_LOGISTIC_10pct,0.1,0.5127
22390,3719,0.16610093791871372,0.9282065071255714,0.2122609604623993,0.6131682131148828,0.6131682131148828,0.6097914252607184,0.5660123689163754,0.07179349287442861,0.5381836945304438,0.596294216732173,1938,1781,WF2,T3_LOGISTIC_20pct,0.2,0.4692
22390,5747,0.25667708798570793,0.927266399860797,0.3276763204820759,0.6131682131148828,0.6131682131148828,0.5875398761493713,0.5448059857316861,0.07273360013920306,0.508034188034188,0.5829199149539334,2925,2822,WF2,T3_LOGISTIC_30pct,0.3,0.4282
21882,1626,0.0743076501233891,0.9249692496924969,0.09655260961674263,0.5876339301214184,0.5876339301214184,0.636968085106383,0.5891758917589176,0.07503075030750307,0.5746971736204576,0.6013590033975085,743,883,WF3,T3_LOGISTIC_10pct,0.1,0.5061
21882,3448,0.15757243396398868,0.9303944315545244,0.20594466200166914,0.5876339301214184,0.5876339301214184,0.6458852867830424,0.6009280742459396,0.06960556844547564,0.6177836761778368,0.5878413189077795,1507,1941,WF3,T3_LOGISTIC_20pct,0.2,0.462
21882,5313,0.24280230326295585,0.9256540560888387,0.31572189766964115,0.5876339301214184,0.5876339301214184,0.6386742578283855,0.5911914172783738,0.0743459439111613,0.6026200873362445,0.5825339067151836,2290,3023,WF3,T3_LOGISTIC_30pct,0.3,0.4189
24649,2062,0.08365450931072255,0.9136760426770126,0.10245255315677851,0.6011010269342054,0.6011010269342054,0.6273885350318471,0.5732298739088264,0.0863239573229874,0.5369836695485111,0.6101860920666013,1041,1021,WF1,T3_HGB_10pct,0.1,0.5743
24649,4660,0.18905432269057568,0.9214592274678112,0.23350916308662786,0.6011010269342054,0.6011010269342054,0.607824871914299,0.5600858369098712,0.07854077253218884,0.5367322360497792,0.586906408483172,2491,2169,WF1,T3_HGB_20pct,0.2,0.5062
24649,7572,0.3071929895736135,0.9228737453777074,0.38000978846049266,0.6011010269342054,0.6011010269342054,0.5850028620492272,0.5398837823560486,0.07712625462229265,0.5302579365079365,0.5508474576271186,4032,3540,WF1,T3_HGB_30pct,0.3,0.4604
22390,1784,0.07967842786958464,0.8923766816143498,0.09789091803480293,0.6391181316582668,0.6391181316582668,0.7110552763819096,0.6345291479820628,0.10762331838565023,0.6157894736842106,0.6558752997601919,950,834,WF2,T3_HGB_10pct,0.1,0.5595
22390,3715,0.1659222867351496,0.9141318977119784,0.20881756133554694,0.6391181316582668,0.6391181316582668,0.6678445229681979,0.6104979811574697,0.08586810228802154,0.5844362096347274,0.6374589266155531,1889,1826,WF2,T3_HGB_20pct,0.2,0.5011
22390,5809,0.2594461813309513,0.9202960922706146,0.32872163807415605,0.6391181316582668,0.6391181316582668,0.6331836887392442,0.5827164744362197,0.07970390772938543,0.5503634475597092,0.6147260273972602,2889,2920,WF2,T3_HGB_30pct,0.3,0.4631
21882,1598,0.07302805959235902,0.9180225281602002,0.09417731270462862,0.6249077668550495,0.6249077668550495,0.7239263803680982,0.6645807259073843,0.08197747183979975,0.6747663551401869,0.6594543744120414,535,1063,WF3,T3_HGB_10pct,0.1,0.5465
21882,3212,0.14678731377387808,0.924346201743462,0.19060152789368942,0.6249077668550495,0.6249077668550495,0.6833950825193668,0.6316936488169365,0.07565379825653798,0.6528138528138528,0.6198347107438017,1155,2057,WF3,T3_HGB_20pct,0.2,0.4923
21882,5182,0.23681564756420803,0.9220378232342725,0.3067342877319124,0.6249077668550495,0.6249077668550495,0.6488070322310591,0.5982246236974141,0.07796217676572752,0.6076320939334638,0.5920968769917144,2044,3138,WF3,T3_HGB_30pct,0.3,0.4565
