n,n_selected,selection_rate,selected_clear_rate,clear_selected_rate,direction_auc_all_clear_test,direction_auc_inside_clear_gate,direction_accuracy_given_clear,actionable_precision,tradeoff_selected_rate,predicted_LONG_actionable_precision,predicted_SHORT_actionable_precision,n_predicted_LONG,n_predicted_SHORT,wf,tag,joint_margin_thr
24649,3507,0.14227757718365858,0.894781864841745,0.17064549458915657,0.6338227552254175,0.633978782716923,0.3365200764818356,0.3011120615911035,0.10521813515825491,0.550755939524838,0.5883620689655172,926,928,WF1,TWO_STAGE_PRODUCT,0.5027
22390,2152,0.09611433675748102,0.9121747211895911,0.12070343725019984,0.6588777399312632,0.6658101644658467,0.29495669893020887,0.2690520446096654,0.08782527881040893,0.6640826873385013,0.6694386694386695,387,481,WF2,TWO_STAGE_PRODUCT,0.5138
21882,2608,0.11918471803308656,0.9187116564417178,0.15381652436284265,0.6593083499372244,0.6628933324360196,0.25375626043405675,0.2331288343558282,0.08128834355828221,0.6949152542372882,0.7196428571428571,295,560,WF3,TWO_STAGE_PRODUCT,0.4954
