wf,n_test_all,n_selected,selected_LONG_DOMINATES,selected_SHORT_DOMINATES,selected_TRADEOFF,selected_UNRESOLVED_CENSOR,selected_NO_COMPARABLE_TARGET,selected_unknown_rate,evaluable_actionable_precision,live_conservative_actionable_lower_bound
WF1,25903,1159,504,413,213,29,0,0.025,0.654,0.6376
WF2,24440,1813,729,719,308,54,3,0.0314,0.6526,0.6321
WF3,23869,1720,557,743,303,117,0,0.068,0.685,0.6384
