wf,selected_count,no_target_count,no_target_rate,execution_candidate_count,execution_candidate_rate,target_equals_contact_price_count,nearest_distance_ATR_median
WF1,1159,0,0.0,1159,1.0,646,0.3226
WF2,1813,0,0.0,1813,1.0,686,0.3571
WF3,1720,0,0.0,1720,1.0,641,0.4018
