wf,h,structure_scale,action,n_contacts,n_action_available,availability,median_target_atr,median_risk_atr,median_RR,target_first_rate,stop_first_rate,same_bar_ambiguous_rate,censored_rate,E_R_lower,E_R_upper
WF1,1,0.2,OUTWARD,25383,0,0.0,,,,,,,,,
WF2,1,0.2,OUTWARD,24692,0,0.0,,,,,,,,,
WF3,1,0.2,OUTWARD,23810,0,0.0,,,,,,,,,
WF1,1,0.4,OUTWARD,25383,0,0.0,,,,,,,,,
WF2,1,0.4,OUTWARD,24692,0,0.0,,,,,,,,,
WF3,1,0.4,OUTWARD,23810,0,0.0,,,,,,,,,
WF1,1,0.8,OUTWARD,25383,0,0.0,,,,,,,,,
WF2,1,0.8,OUTWARD,24692,0,0.0,,,,,,,,,
WF3,1,0.8,OUTWARD,23810,0,0.0,,,,,,,,,
WF1,1,1.2,OUTWARD,25383,0,0.0,,,,,,,,,
WF2,1,1.2,OUTWARD,24692,0,0.0,,,,,,,,,
WF3,1,1.2,OUTWARD,23810,0,0.0,,,,,,,,,
WF1,1,0.2,INWARD,25383,0,0.0,,,,,,,,,
WF2,1,0.2,INWARD,24692,0,0.0,,,,,,,,,
WF3,1,0.2,INWARD,23810,0,0.0,,,,,,,,,
WF1,1,0.4,INWARD,25383,0,0.0,,,,,,,,,
WF2,1,0.4,INWARD,24692,0,0.0,,,,,,,,,
WF3,1,0.4,INWARD,23810,0,0.0,,,,,,,,,
WF1,1,0.8,INWARD,25383,0,0.0,,,,,,,,,
WF2,1,0.8,INWARD,24692,0,0.0,,,,,,,,,
WF3,1,0.8,INWARD,23810,0,0.0,,,,,,,,,
WF1,1,1.2,INWARD,25383,0,0.0,,,,,,,,,
WF2,1,1.2,INWARD,24692,0,0.0,,,,,,,,,
WF3,1,1.2,INWARD,23810,0,0.0,,,,,,,,,
WF1,2,0.2,OUTWARD,25383,21981,0.8659732892093133,1.7857142857142858,0.6,3.166748046875,0.22869751148719347,0.7305400118283972,0.011055002047222602,0.029707474637186662,-0.33373162672816425,1.151085026599449
WF2,2,0.2,OUTWARD,24692,21034,0.8518548517738539,1.7857142857142858,0.5834345931450523,3.1666666666666665,0.22981838927450793,0.7400874774175145,0.009746125320909004,0.020348007987068557,-0.3211267849571545,-0.26293215799340924
WF3,2,0.2,OUTWARD,23810,21115,0.8868122637547249,1.875,0.5555555555555556,3.5833333333333335,0.22192753966374615,0.7446365143263083,0.008098508169547715,0.02533743784039782,-0.3119274052269441,-0.27318046167101223
WF1,2,0.4,OUTWARD,25383,19625,0.7731552613954221,1.7346938775510203,0.6666666666666666,2.96,0.25187261146496814,0.7050191082802548,0.010292993630573248,0.03281528662420382,-0.2830954959617057,1.3737355042970045
WF2,2,0.4,OUTWARD,24692,18589,0.7528349262919164,1.7241379310344829,0.6451612903225806,2.8333333333333335,0.25326806175695304,0.7145623755984722,0.009414169670235084,0.022755392974339664,-0.29422337128542203,-0.24009151922252484
WF3,2,0.4,OUTWARD,23810,18497,0.7768584628307433,1.8181818181818183,0.625,3.0,0.2487430394117965,0.7147645564145537,0.00816348597069795,0.02832891820295183,-0.24878051888094346,-0.21151559555787836
WF1,2,0.8,OUTWARD,25383,12765,0.5028956388133791,1.7307692307692306,0.8946996466431095,2.0,0.31719545632589113,0.6329808068938504,0.007520564042303173,0.04230317273795535,-0.1981239124352965,2.3351257980837437
WF2,2,0.8,OUTWARD,24692,11687,0.47331119390895837,1.6666666666666667,0.9164477533895244,1.8,0.3343886369470352,0.6307007786429366,0.0069307777872850175,0.027979806622743218,-0.13947455383576862,-0.11609168430869457
WF3,2,0.8,OUTWARD,23810,11626,0.48828223435531287,1.7647058823529411,0.9,2.0,0.3210906588680544,0.6375365559951832,0.005934973335627043,0.03543781180113539,-0.14345881637893174,-0.12801309034575947
WF1,2,1.2,OUTWARD,25383,7038,0.27727219004845766,1.7647058823529413,1.2745098039215688,1.4166666666666667,0.3895993179880648,0.5458937198067633,0.00312588803637397,0.061381074168797956,-0.11818882097569876,4.537895108199153
WF2,2,1.2,OUTWARD,24692,6898,0.27936173659484853,1.6666666666666667,1.2624200688637481,1.3986090463985117,0.38271962887793565,0.5730646564221513,0.007538416932444187,0.03667729776746883,-0.12881632200296456,-0.1021617946749467
WF3,2,1.2,OUTWARD,23810,6357,0.26698866022679546,1.8181818181818181,1.2903225806451613,1.4,0.3787950291017776,0.5653610193487494,0.004719207173194903,0.05112474437627812,-0.10444511642374615,-0.09260514805565737
WF1,2,0.2,INWARD,25383,22637,0.8918173580743017,2.878787878787879,0.6578947368421053,4.5,0.1763484560675001,0.756637363608252,0.004240844634889782,0.06277333568935813,-0.35262846176843693,-0.3356729756445571
WF2,2,0.2,INWARD,24692,22119,0.8957962092985582,3.035714285714286,0.6496062992125984,5.0,0.1712102717121027,0.7566345675663457,0.004837470048374701,0.0673176906731769,-0.36269353201873455,-0.3432754324274355
WF3,2,0.2,INWARD,23810,21736,0.9128937421251575,3.125,0.625,5.0,0.16424365108575634,0.7583271991166728,0.0043246227456753775,0.07310452705189548,-0.33719437473034264,-0.31232069240302635
WF1,2,0.4,INWARD,25383,20604,0.811724382460702,2.8260869565217392,0.6923076923076923,4.2,0.19151621044457387,0.7363618714812658,0.004222481071636575,0.06789943700252378,-0.3015591297620146,-0.28540037869547624
WF2,2,0.4,INWARD,24692,19881,0.8051595658512879,3.0,0.6946244300455964,4.478260869565218,0.1878678134902671,0.7345203963583321,0.0045772345455459985,0.07303455560585484,-0.30323725839321075,-0.2861168852851362
WF3,2,0.4,INWARD,23810,19549,0.8210415791684166,3.037974683544304,0.6741573033707865,4.523809523809524,0.18149265947107268,0.7372755639674664,0.004501509028594813,0.07673026753286613,-0.29078049094337843,-0.2635310477720304
WF1,2,0.8,INWARD,25383,14177,0.5585234211874089,2.727272727272727,0.9090909090909091,3.0,0.24567962192283277,0.6684065740283558,0.002609861042533681,0.08330394300627778,-0.17278284677263975,-0.1620130563053352
WF2,2,0.8,INWARD,24692,13420,0.5434958691074032,2.9545454545454546,0.8996951219512195,3.3310710641015007,0.23815201192250374,0.6699701937406856,0.004247391952309985,0.08763040238450075,-0.20283858703528365,-0.19318670184579143
WF3,2,0.8,INWARD,23810,12843,0.5393952120957581,2.9365079365079363,0.9090909090909091,3.3333333333333335,0.2327337849412131,0.6700926574787822,0.0029588102468270654,0.09421474733317761,-0.1716479370592998,-0.16226371901016473
WF1,2,1.2,INWARD,25383,7662,0.301855572627349,2.6666666666666665,1.25,2.1666666666666665,0.3007047768206735,0.5976246410858783,0.002218741842860872,0.09945184025058731,-0.12646183593277763,-0.12073295173704324
