variant,wf,action,structure_scale,base_h,later_h,waiting_distance,matched_n,median_delta_RR,mean_delta_target_first,median_delta_E_R_lower,median_delta_E_R_upper,median_delta_target_distance_atr,median_delta_risk_distance_atr,share_delta_RR_positive,share_delta_target_first_positive,share_delta_E_R_lower_positive
first_available,WF1,OUTWARD,0.2,2,3,1,20182,0.20634920634920634,-0.03344564463383213,0.0,0.0,0.0,0.0,0.5272024576355168,0.0507878307402636,0.11535031215934992
first_available,WF2,OUTWARD,0.2,2,3,1,19571,0.19444444444444442,-0.02227786009912626,0.0,0.0,0.0,0.0,0.5239384804046804,0.05589903428542231,0.12257932655459608
first_available,WF3,OUTWARD,0.2,2,3,1,19778,0.25,-0.022499747193851755,0.0,0.0,0.05917336066423351,0.0,0.5312468399231469,0.048842147841035494,0.11411669531803013
first_available,WF1,OUTWARD,0.4,2,3,1,18201,0.23809523809523808,-0.044667875391462004,0.0,0.0,0.05681818181818181,0.0,0.5304653590462063,0.04323938245151365,0.11680676885885391
first_available,WF2,OUTWARD,0.4,2,3,1,17408,0.20833333333333331,-0.03285845588235294,0.0,0.0,0.0,0.0,0.5302734375,0.04968979779411765,0.12787224264705882
first_available,WF3,OUTWARD,0.4,2,3,1,17400,0.22508259030559596,-0.03436781609195402,0.0,0.0,0.06493506493506496,0.0,0.5309195402298851,0.04264367816091954,0.11913793103448275
first_available,WF1,OUTWARD,0.8,2,3,1,12101,0.3928571428571429,-0.06462275844971489,0.0,0.0,0.14286337082569478,-0.11904761904761907,0.5737542351871746,0.0278489381042889,0.1395752417155607
first_available,WF2,OUTWARD,0.8,2,3,1,11180,0.3236842105263158,-0.06771019677996422,0.0,0.0,0.08333333333333304,-0.101010101010101,0.5636851520572451,0.02558139534883721,0.13738819320214668
first_available,WF3,OUTWARD,0.8,2,3,1,11095,0.4307692307692307,-0.0622803064443443,0.0,0.0,0.10752688172043012,-0.13289772585436488,0.5857593510590356,0.021360973411446597,0.13600721045515998
first_available,WF1,OUTWARD,1.2,2,3,1,6820,0.4228758169934643,-0.08944281524926687,0.0,0.0,0.20408163265306123,-0.19999999999999998,0.6096774193548387,0.009237536656891495,0.1567448680351906
first_available,WF2,OUTWARD,1.2,2,3,1,6712,0.3241076175286701,-0.07255661501787843,0.0,0.0,0.1470588235294117,-0.15625,0.5923718712753278,0.015196662693682956,0.1567342073897497
first_available,WF3,OUTWARD,1.2,2,3,1,6224,0.4,-0.06458868894601542,0.0,0.0,0.1918151080926802,-0.22683956511053077,0.6237146529562982,0.01301413881748072,0.16838046272493573
first_available,WF1,INWARD,0.2,2,3,1,21032,0.1164286389860969,-0.02073031570939521,0.0,0.0,0.0,0.0,0.5121243818942564,0.03366298972993534,0.08991061240015215
first_available,WF2,INWARD,0.2,2,3,1,20839,0.23469818488813843,-0.019626661548058928,0.0,0.0,0.0,0.0,0.5213301981860934,0.03541436729209655,0.08839195738759058
first_available,WF3,INWARD,0.2,2,3,1,20476,0.04999999999999999,-0.007667513186169174,0.0,0.0,0.0,0.0,0.5041023637429185,0.03648173471381129,0.08746825551865599
first_available,WF1,INWARD,0.4,2,3,1,19346,0.10000000000000009,-0.02832626899617492,0.0,0.0,0.0,0.0,0.5120438333505635,0.02822288845239326,0.09092318825597023
first_available,WF2,INWARD,0.4,2,3,1,18867,0.16666666666666666,-0.0235331531245031,0.0,0.0,0.0,0.0,0.516245296019505,0.031854560873482804,0.09137647744739492
first_available,WF3,INWARD,0.4,2,3,1,18517,0.10769230769230731,-0.01328508937732894,0.0,0.0,0.0,0.0,0.5110439056002593,0.03148458173570233,0.08997137765296755
first_available,WF1,INWARD,0.8,2,3,1,13521,0.1428571428571428,-0.0376451445898972,0.0,0.0,0.0,0.0,0.518230900081355,0.016640781007321942,0.1001405221507285
first_available,WF2,INWARD,0.8,2,3,1,12989,0.18956521739130427,-0.04034182770036184,0.0,0.0,0.0,-0.065359477124183,0.5311417353144969,0.01493571483563015,0.09815998152282701
first_available,WF3,INWARD,0.8,2,3,1,12424,0.14425179631365204,-0.0231809401159047,0.0,0.0,0.0,-0.08196721311475419,0.520363811976819,0.01955891822279459,0.09554088860270445
first_available,WF1,INWARD,1.2,2,3,1,7467,0.1964285714285714,-0.03776617115307352,0.0,0.0,0.0,-0.12195121951219501,0.5411811972679791,0.01124949779027722,0.12173563680192849
first_available,WF2,INWARD,1.2,2,3,1,7294,0.22222222222222215,-0.035234439265149436,0.0,0.0,0.0,-0.12955655530903598,0.5492185357828352,0.010282423910063065,0.11735673156018646
