reason,wf,h,scale,action,n
STRUCTURE_UNAVAILABLE,WF1,1,0.2,OUTWARD,24911
NO_TARGET,WF1,1,0.2,OUTWARD,472
STRUCTURE_UNAVAILABLE,WF2,1,0.2,OUTWARD,23675
NO_TARGET,WF2,1,0.2,OUTWARD,1017
STRUCTURE_UNAVAILABLE,WF3,1,0.2,OUTWARD,23558
STRUCTURE_UNAVAILABLE,WF1,1,0.4,OUTWARD,24911
NO_TARGET,WF1,1,0.4,OUTWARD,472
STRUCTURE_UNAVAILABLE,WF2,1,0.4,OUTWARD,23675
NO_TARGET,WF2,1,0.4,OUTWARD,1017
STRUCTURE_UNAVAILABLE,WF3,1,0.4,OUTWARD,23558
STRUCTURE_UNAVAILABLE,WF1,1,0.8,OUTWARD,24911
NO_TARGET,WF1,1,0.8,OUTWARD,472
STRUCTURE_UNAVAILABLE,WF2,1,0.8,OUTWARD,23675
NO_TARGET,WF2,1,0.8,OUTWARD,1017
STRUCTURE_UNAVAILABLE,WF3,1,0.8,OUTWARD,23558
STRUCTURE_UNAVAILABLE,WF1,1,1.2,OUTWARD,24911
NO_TARGET,WF1,1,1.2,OUTWARD,472
STRUCTURE_UNAVAILABLE,WF2,1,1.2,OUTWARD,23675
NO_TARGET,WF2,1,1.2,OUTWARD,1017
STRUCTURE_UNAVAILABLE,WF3,1,1.2,OUTWARD,23558
STRUCTURE_UNAVAILABLE,WF1,1,0.2,INWARD,25361
NO_TARGET,WF1,1,0.2,INWARD,22
STRUCTURE_UNAVAILABLE,WF2,1,0.2,INWARD,24627
NO_TARGET,WF2,1,0.2,INWARD,65
STRUCTURE_UNAVAILABLE,WF3,1,0.2,INWARD,23805
STRUCTURE_UNAVAILABLE,WF1,1,0.4,INWARD,25361
NO_TARGET,WF1,1,0.4,INWARD,22
STRUCTURE_UNAVAILABLE,WF2,1,0.4,INWARD,24627
NO_TARGET,WF2,1,0.4,INWARD,65
STRUCTURE_UNAVAILABLE,WF3,1,0.4,INWARD,23805
STRUCTURE_UNAVAILABLE,WF1,1,0.8,INWARD,25361
NO_TARGET,WF1,1,0.8,INWARD,22
STRUCTURE_UNAVAILABLE,WF2,1,0.8,INWARD,24627
NO_TARGET,WF2,1,0.8,INWARD,65
STRUCTURE_UNAVAILABLE,WF3,1,0.8,INWARD,23805
STRUCTURE_UNAVAILABLE,WF1,1,1.2,INWARD,25361
NO_TARGET,WF1,1,1.2,INWARD,22
STRUCTURE_UNAVAILABLE,WF2,1,1.2,INWARD,24627
NO_TARGET,WF2,1,1.2,INWARD,65
STRUCTURE_UNAVAILABLE,WF3,1,1.2,INWARD,23805
OK,WF1,2,0.2,OUTWARD,21981
GEOMETRY_INVALID,WF1,2,0.2,OUTWARD,2003
STRUCTURE_UNAVAILABLE,WF1,2,0.2,OUTWARD,903
NO_TARGET,WF1,2,0.2,OUTWARD,496
OK,WF2,2,0.2,OUTWARD,21034
STRUCTURE_UNAVAILABLE,WF2,2,0.2,OUTWARD,1043
GEOMETRY_INVALID,WF2,2,0.2,OUTWARD,1567
NO_TARGET,WF2,2,0.2,OUTWARD,1048
STRUCTURE_UNAVAILABLE,WF3,2,0.2,OUTWARD,1111
OK,WF3,2,0.2,OUTWARD,21115
GEOMETRY_INVALID,WF3,2,0.2,OUTWARD,1319
OK,WF1,2,0.4,OUTWARD,19625
STRUCTURE_UNAVAILABLE,WF1,2,0.4,OUTWARD,3759
GEOMETRY_INVALID,WF1,2,0.4,OUTWARD,1503
NO_TARGET,WF1,2,0.4,OUTWARD,496
OK,WF2,2,0.4,OUTWARD,18589
STRUCTURE_UNAVAILABLE,WF2,2,0.4,OUTWARD,3871
GEOMETRY_INVALID,WF2,2,0.4,OUTWARD,1184
NO_TARGET,WF2,2,0.4,OUTWARD,1048
STRUCTURE_UNAVAILABLE,WF3,2,0.4,OUTWARD,4062
OK,WF3,2,0.4,OUTWARD,18497
GEOMETRY_INVALID,WF3,2,0.4,OUTWARD,986
OK,WF1,2,0.8,OUTWARD,12765
STRUCTURE_UNAVAILABLE,WF1,2,0.8,OUTWARD,11684
NO_TARGET,WF1,2,0.8,OUTWARD,496
GEOMETRY_INVALID,WF1,2,0.8,OUTWARD,438
STRUCTURE_UNAVAILABLE,WF2,2,0.8,OUTWARD,11628
OK,WF2,2,0.8,OUTWARD,11687
NO_TARGET,WF2,2,0.8,OUTWARD,1048
GEOMETRY_INVALID,WF2,2,0.8,OUTWARD,329
STRUCTURE_UNAVAILABLE,WF3,2,0.8,OUTWARD,11642
OK,WF3,2,0.8,OUTWARD,11626
GEOMETRY_INVALID,WF3,2,0.8,OUTWARD,277
OK,WF1,2,1.2,OUTWARD,7038
STRUCTURE_UNAVAILABLE,WF1,2,1.2,OUTWARD,17767
NO_TARGET,WF1,2,1.2,OUTWARD,496
GEOMETRY_INVALID,WF1,2,1.2,OUTWARD,82
STRUCTURE_UNAVAILABLE,WF2,2,1.2,OUTWARD,16666
OK,WF2,2,1.2,OUTWARD,6898
NO_TARGET,WF2,2,1.2,OUTWARD,1048
STRUCTURE_UNAVAILABLE,WF3,2,1.2,OUTWARD,17135
OK,WF3,2,1.2,OUTWARD,6357
GEOMETRY_INVALID,WF3,2,1.2,OUTWARD,53
OK,WF1,2,0.2,INWARD,22637
GEOMETRY_INVALID,WF1,2,0.2,INWARD,1754
STRUCTURE_UNAVAILABLE,WF1,2,0.2,INWARD,969
NO_TARGET,WF1,2,0.2,INWARD,23
OK,WF2,2,0.2,INWARD,22119
STRUCTURE_UNAVAILABLE,WF2,2,0.2,INWARD,1045
GEOMETRY_INVALID,WF2,2,0.2,INWARD,1462
NO_TARGET,WF2,2,0.2,INWARD,66
OK,WF3,2,0.2,INWARD,21736
STRUCTURE_UNAVAILABLE,WF3,2,0.2,INWARD,797
GEOMETRY_INVALID,WF3,2,0.2,INWARD,1271
