feature,wf,action,structure_scale,rr_bin,decile,n,target_first_rate,E_R_lower
path_efficiency,WF1,OUTWARD,0.2,>=3.0,3,27811,0.05314443925065621,-0.5899201015382259
path_efficiency,WF1,OUTWARD,0.2,2.0-3.0,3,5329,0.18521298555076,-0.358109880406078
path_efficiency,WF1,OUTWARD,0.2,0.75-1.0,3,1738,0.49769850402761795,-0.055837670382160046
path_efficiency,WF1,OUTWARD,0.2,0.5-0.75,3,2866,0.6106071179344034,0.011243249207022748
path_efficiency,WF1,OUTWARD,0.2,1.0-1.5,3,4123,0.41110841620179484,-0.07252853590534608
path_efficiency,WF1,OUTWARD,0.2,<0.5,3,3365,0.7589895988112927,-0.008268776344700234
path_efficiency,WF1,OUTWARD,0.2,1.5-2.0,3,2844,0.2974683544303797,-0.15245011911540873
path_efficiency,WF2,OUTWARD,0.2,1.0-1.5,3,4145,0.41881785283474066,-0.05555880740507337
path_efficiency,WF2,OUTWARD,0.2,>=3.0,3,26558,0.05098275472550644,-0.5853814126673811
path_efficiency,WF2,OUTWARD,0.2,0.75-1.0,3,1783,0.4845765563656758,-0.08675873573724054
path_efficiency,WF2,OUTWARD,0.2,<0.5,3,3241,0.7102746066029003,-0.0591070450540617
path_efficiency,WF2,OUTWARD,0.2,1.5-2.0,3,2943,0.28372409106354063,-0.20796164359080338
path_efficiency,WF2,OUTWARD,0.2,0.5-0.75,3,2585,0.5760154738878143,-0.05548409192061032
path_efficiency,WF2,OUTWARD,0.2,2.0-3.0,3,4854,0.2311495673671199,-0.21372863618143967
path_efficiency,WF3,OUTWARD,0.2,>=3.0,3,28697,0.056800362407220265,-0.5251064824476757
path_efficiency,WF3,OUTWARD,0.2,0.75-1.0,3,1985,0.5279596977329974,0.0018301329857934275
path_efficiency,WF3,OUTWARD,0.2,2.0-3.0,3,4755,0.23112513144058885,-0.19300190467251654
path_efficiency,WF3,OUTWARD,0.2,<0.5,3,2863,0.734544184421935,-0.024618471345900755
path_efficiency,WF3,OUTWARD,0.2,0.5-0.75,3,2275,0.5907692307692308,-0.03108536872287225
path_efficiency,WF3,OUTWARD,0.2,1.5-2.0,3,2686,0.29672375279225616,-0.172929650439884
path_efficiency,WF3,OUTWARD,0.2,1.0-1.5,3,3754,0.44379328716036226,-0.008703588608195686
path_efficiency,WF1,OUTWARD,0.4,>=3.0,3,24932,0.059281244986362905,-0.548611847677805
path_efficiency,WF1,OUTWARD,0.4,2.0-3.0,3,5364,0.18680089485458612,-0.3536206341668329
path_efficiency,WF1,OUTWARD,0.4,0.75-1.0,3,1743,0.4939759036144578,-0.06302140683769579
path_efficiency,WF1,OUTWARD,0.4,0.5-0.75,3,2876,0.60778859527121,0.0076819377415204195
