variant,group_dim,group_value,metric,n,share,median
first_available,waiting_distance,11,matched_n,340720,,340720.0
first_available,base_h_later_h,2|3,share_positive__delta_RR,346012,0.5325653445545241,0.22393434951204771
first_available,base_h_later_h,2|3,share_positive__delta_target_first,346012,0.032998855531022046,0.0
first_available,base_h_later_h,2|3,share_positive__delta_E_R_lower,346012,0.1107447140561599,0.0
first_available,base_h_later_h,2|3,matched_n,346012,,346012.0
first_available,base_h_later_h,2|5,share_positive__delta_RR,343159,0.5799439909779431,0.75
first_available,base_h_later_h,2|5,share_positive__delta_target_first,343159,0.06296206714671625,0.0
first_available,base_h_later_h,2|5,share_positive__delta_E_R_lower,343159,0.1153605180106015,0.0
first_available,base_h_later_h,2|5,matched_n,343159,,343159.0
first_available,base_h_later_h,2|8,share_positive__delta_RR,341700,0.6108457711442786,1.1666666666666665
first_available,base_h_later_h,2|8,share_positive__delta_target_first,341700,0.0769212759730758,0.0
first_available,base_h_later_h,2|8,share_positive__delta_E_R_lower,341700,0.11601990049751244,0.0
first_available,base_h_later_h,2|8,matched_n,341700,,341700.0
first_available,base_h_later_h,2|13,share_positive__delta_RR,340720,0.6409632542850434,1.6228402756021114
first_available,base_h_later_h,2|13,share_positive__delta_target_first,340720,0.08176215073961024,0.0
first_available,base_h_later_h,2|13,share_positive__delta_E_R_lower,340720,0.1111088283634656,0.0
first_available,base_h_later_h,2|13,matched_n,340720,,340720.0
first_available,base_h_later_h,3|5,share_positive__delta_RR,77445,0.5290076828717154,0.26666666666666666
first_available,base_h_later_h,3|5,share_positive__delta_target_first,77445,0.04418619665569114,0.0
first_available,base_h_later_h,3|5,share_positive__delta_E_R_lower,77445,0.1011040092969204,0.0
first_available,base_h_later_h,3|5,matched_n,77445,,77445.0
first_available,base_h_later_h,3|8,share_positive__delta_RR,77036,0.5703047925645153,0.6666666666666665
first_available,base_h_later_h,3|8,share_positive__delta_target_first,77036,0.06638454748429305,0.0
first_available,base_h_later_h,3|8,share_positive__delta_E_R_lower,77036,0.10543122695882444,0.0
first_available,base_h_later_h,3|8,matched_n,77036,,77036.0
first_available,base_h_later_h,3|13,share_positive__delta_RR,77045,0.6054124213122202,1.0356902356902355
first_available,base_h_later_h,3|13,share_positive__delta_target_first,77045,0.08164059964955546,0.0
first_available,base_h_later_h,3|13,share_positive__delta_E_R_lower,77045,0.10476993964566163,0.0
first_available,base_h_later_h,3|13,matched_n,77045,,77045.0
first_available,base_h_later_h,5|8,share_positive__delta_RR,54087,0.5676964889899606,0.4907407407407405
first_available,base_h_later_h,5|8,share_positive__delta_target_first,54087,0.037772477674857176,0.0
first_available,base_h_later_h,5|8,share_positive__delta_E_R_lower,54087,0.10231663800913343,0.0
first_available,base_h_later_h,5|8,matched_n,54087,,54087.0
first_available,base_h_later_h,5|13,share_positive__delta_RR,53786,0.5971442382776188,0.875
first_available,base_h_later_h,5|13,share_positive__delta_target_first,53786,0.06520284088796341,0.0
first_available,base_h_later_h,5|13,share_positive__delta_E_R_lower,53786,0.10114156100100398,0.0
first_available,base_h_later_h,5|13,matched_n,53786,,53786.0
first_available,base_h_later_h,8|13,share_positive__delta_RR,32624,0.5661169691025012,0.5
first_available,base_h_later_h,8|13,share_positive__delta_target_first,32624,0.05229279058361942,0.0
first_available,base_h_later_h,8|13,share_positive__delta_E_R_lower,32624,0.09588033349681216,0.0
first_available,base_h_later_h,8|13,matched_n,32624,,32624.0
h2_cohort,overall,ALL,share_positive__delta_RR,1371591,0.590848146422658,0.8333333333333335
h2_cohort,overall,ALL,share_positive__delta_target_first,1371591,0.06355101484334616,0.0
h2_cohort,overall,ALL,share_positive__delta_E_R_lower,1371591,0.11330418470229099,0.0
h2_cohort,overall,ALL,matched_n,1371591,,1371591.0
h2_cohort,wf,WF1,share_positive__delta_RR,469475,0.5918802918153256,0.8333333333333335
h2_cohort,wf,WF1,share_positive__delta_target_first,469475,0.06465946003514564,0.0
h2_cohort,wf,WF1,share_positive__delta_E_R_lower,469475,0.11474945417753873,0.0
