family,timeframe,importance
DSA,5m,18.35218093501865
SMC,15m,16.52850142581775
SMC,5m,14.990876674071561
SMC,1h,9.083416877978001
MOMENTUM,1h,8.019762149902043
MOMENTUM,15m,7.89601016634816
MOMENTUM,5m,7.0205710970588795
DSA,15m,6.580352405905539
ACTION,NA,3.443475511644294
DSA,1h,3.407121750337138
EVENT,NA,2.612923343414674
QUANTILE,NA,2.0648076625033194
