model,feature_count,train_action_rows,test_action_rows,test_candidates,weighted_q_rmse,weighted_q_mae,weighted_q_corr
ACTION_LABEL_ONLY,2,46374,20910,3485,1.2763348697841388,1.163623771833378,-0.0020876441801201927
EVENT_ACTION,9,46374,20910,3485,1.2888152348258575,1.167069641882155,0.0015427995632460668
FULL,62,46374,20910,3485,1.208912178452629,1.0477330924913348,0.32500765404786275
FULL_NO_SMC,26,46374,20910,3485,1.2166643188811606,1.055256500301463,0.31014212971973776
FULL_NO_DSA,56,46374,20910,3485,1.2926218700699774,1.16599309136559,0.01719064354056353
FULL_NO_MOMENTUM,53,46374,20910,3485,1.207192973959513,1.0445679010084759,0.3283030165876637
FULL_NO_QUANTILE,60,46374,20910,3485,1.2099432381206763,1.048281726830143,0.3231821001819666
