trade_mode,target_R,train_mean_R
FOLLOW,1.5,0.02221209977258802
FOLLOW,2.0,0.014965972229383806
FOLLOW,2.5,0.012518155713453032
FADE,2.0,0.0021303263931650345
FADE,2.5,-0.006070614041052908
FADE,1.5,-0.013895492336615134
