model,scope,scope_value,candidate_n,weighted_selected_R,weighted_oracle_R,weighted_regret_R,trade_rate,follow_share_among_trades,fade_share_among_trades,positive_realized_R_rate
ACTION_LABEL_ONLY,ALL,ALL,3485,-0.016255135184777933,1.5215480915085349,1.5378032266933128,1.0,1.0,0.0,0.40501910640799527
ACTION_LABEL_ONLY,SYMBOL,AG,1235,-0.10105540391706423,1.5184252236171056,1.61948062753417,1.0,1.0,0.0,0.3734151329243354
ACTION_LABEL_ONLY,SYMBOL,CU,1024,0.004292927183986909,1.5408387059753292,1.5365457787913424,1.0,1.0,0.0,0.41703703703703704
ACTION_LABEL_ONLY,SYMBOL,M,623,0.15951631458667925,1.674152066733054,1.514635752146375,1.0,1.0,0.0,0.4635416666666667
ACTION_LABEL_ONLY,SYMBOL,RB,603,-0.04735655598260154,1.3462284115090755,1.3935849674916774,1.0,1.0,0.0,0.39276649746192893
ACTION_LABEL_ONLY,SOURCE_TF,15m,993,0.030351995012410708,1.503435096011048,1.4730831009986374,1.0,1.0,0.0,0.42396882159390054
ACTION_LABEL_ONLY,SOURCE_TF,1h,454,-0.025472746068942145,1.4189157452375734,1.4443884913065155,1.0,1.0,0.0,0.39745206034612046
ACTION_LABEL_ONLY,SOURCE_TF,5m,2038,-0.034160112039888224,1.550996417175515,1.5851565292154035,1.0,1.0,0.0,0.3985479302209353
EVENT_ACTION,ALL,ALL,3485,-0.017399567287186588,1.5215480915085349,1.5389476587957216,0.8721063780918279,0.5723753197269716,0.4276246802730285,0.3528989663579611
EVENT_ACTION,SYMBOL,AG,1235,-0.015167833369282634,1.5184252236171056,1.5335930569863887,0.8590320381731424,0.5908036139388305,0.40919638606116937,0.3484818385431882
EVENT_ACTION,SYMBOL,CU,1024,-0.04187701536685707,1.5408387059753292,1.5827157213421863,0.8658024691358026,0.5865678026522172,0.41343219734778264,0.348
EVENT_ACTION,SYMBOL,M,623,0.004359761428166871,1.674152066733054,1.6697923053048873,0.8946386295995671,0.5450047427465591,0.45499525725344103,0.36104149756493503
EVENT_ACTION,SYMBOL,RB,603,-0.0012883183430492254,1.3462284115090755,1.3475167298521247,0.8879904923052131,0.5386676163816766,0.4613323836183234,0.3624929498025944
EVENT_ACTION,SOURCE_TF,15m,993,-0.039176314310548424,1.503435096011048,1.5426114103215967,0.9107321970190768,0.5444495358178116,0.45555046418218836,0.35492010833050636
EVENT_ACTION,SOURCE_TF,1h,454,-0.0786889765933525,1.4189157452375734,1.4976047218309256,0.8954280024591598,0.5223203563606585,0.4776796436393415,0.347482196988944
EVENT_ACTION,SOURCE_TF,5m,2038,0.004855722579697923,1.550996417175515,1.5461406945958174,0.8507119349116364,0.5962681015384466,0.4037318984615532,0.35318481703959864
FULL,ALL,ALL,3485,0.3134845258900893,1.5215480915085349,1.2080635656184455,0.9165669354161416,0.4037722558513775,0.5962277441486223,0.45451992525405227
FULL,SYMBOL,AG,1235,0.33715147221928427,1.5184252236171056,1.1812737513978215,0.8995910020449899,0.40251031078491867,0.5974896892150813,0.45084721004966405
FULL,SYMBOL,CU,1024,0.232275669655118,1.5408387059753292,1.3085630363202112,0.9018518518518519,0.4824777549623546,0.5175222450376454,0.42907407407407405
FULL,SYMBOL,M,623,0.39791612121309033,1.674152066733054,1.2762359455199637,0.9267113095238096,0.35909273384183055,0.6409072661581694,0.46428571428571425
FULL,SYMBOL,RB,603,0.3213669728349606,1.3462284115090755,1.0248614386741153,0.9670050761421319,0.3221784776902887,0.6778215223097113,0.49619289340101524
FULL,SOURCE_TF,15m,993,0.27911728632413135,1.503435096011048,1.2243178096869167,0.9115918435630395,0.3757214492048648,0.6242785507951352,0.44503740767925637
FULL,SOURCE_TF,1h,454,0.30472090137068325,1.4189157452375734,1.11419484386689,0.9375320728559954,0.35392922612290084,0.6460707738770992,0.468095574557956
FULL,SOURCE_TF,5m,2038,0.3299821122564244,1.550996417175515,1.221014304919091,0.9142473861636821,0.4265109951364638,0.5734890048635362,0.4556853911333868
